orthographic_normalization,simplification,note
drogue ; médicinale en plante ; galanga,drogue ; médicinale ; plante ; galanga,
drogue ; médicinale en plante ; fleur de benjoin,drogue ; médicinale ; plante ; fleur de benjoin,
drogue ; médicinale en plante ; diverse,drogue ; médicinale ; plante,
drogue ; médicinale en plante ; cumin,drogue ; médicinale ; plante ; cumin,
drogue ; médicinale en plante ; coque levant,drogue ; médicinale ; plante ; coque levant,
drogue ; médicinale en plante ; coloquinte,drogue ; médicinale ; coloquinte,
drogue ; médicinale en plante ; civadille,drogue ; médicinale ; cévadille,
drogue ; médicinale en plante ; cassia siguea,drogue ; médicinale ; cassia lignea,
drogue ; médicinale en plante ; casse en bâton,,
drogue ; médicinale en plante ; carrue,drogue ; médicinale ; plante ; carrue,
drogue ; médicinale en plante ; ?,drogue ; médicinale ; plante,
drogue ; gomme ; myrrhe,gomme ; myrrhe,
drogue ; gomme ; lacque,gomme ; laque,
drogue ; composée pour la médecine ; storax,drogue ; médicinale ; storax,
drogue ; composée pour la médecine ; scammonée,,
drogue ; composée pour la médecine ; sang dragon,drogue ; médicinale ; sang dragon,
drogue ; composée pour la médecine ; sableuée,drogue ; médicinale ; sableuée,
drogue ; composée pour la médecine ; poudre brillant,drogue ; médicinale ; poudre brillant,
drogue ; composée pour la médecine ; manne,,
drogue ; composée pour la médecine ; jus de réglisse,drogue ; médicinale ; jus de réglisse,
drogue ; composée pour la médecine ; cristal de tartot,drogue ; médicinale ; cristal de tartre,
drogue ; composée pour la médecine ; cavefico,drogue ; médicinale ; cavefico,
drogue ; composée pour la médecine ; camphre,drogue ; médicinale ; camphre,
drogue ; composée pour la médecine ; aloès,drogue ; médicinale ; aloès,
drogue ; composée pour la médecine ; diverse,drogue ; médicinale ; diverse,
drogue ; composée pour la médecine ; crème à tartre,drogue ; médicinale ; crème de tartre,
drogue ; composée pour la médecine ; castoreum du ?,,
drogue ; composée pour la médecine ; canéfice,drogue ; médicinale ; canéfice,
drogue ; composée pour la médecine ; canyolore,drogue ; médicinale ; canyolore,
drogue ; composée pour la médecine ; cantharides,,
drogue ; composée pour la médecine ; benjoin,drogue ; médicinale ; benjoin,
drogue ; composée pour la médecine ; baume du Pérou,,
drogue ; chimique ; sublimé,drogue ; chimique ; sublimé,
drogue ; chimique ; sel divers,drogue ; chimique ; sel divers,
drogue ; chimique ; sel sublimé,drogue ; chimique ; sel sublimé,
drogue ; chimique ; sel saturne,drogue ; chimique ; sel saturne,
drogue ; chimique ; sel gemme,drogue ; chimique ; sel gemme,
drogue ; chimique ; sel de tamarin,drogue ; chimique ; sel de tamarin,
drogue ; chimique ; sel de potasse,drogue ; chimique ; sel de potasse,
drogue ; chimique ; sel de plomb,drogue ; chimique ; sel de plomb,
drogue ; chimique ; sel de paume,drogue ; chimique ; sel de paume,
drogue ; chimique ; sel de Globert,drogue ; chimique ; sel de Globert,
drogue ; chimique ; ?,drogue ; chimique ; ?,
drogue ; chimique ; sel d'epsum,drogue ; chimique ; sel d'epsum,
drogue ; chimique ; esprit de vice,drogue ; chimique ; esprit de vice,
drogue ; chimique ; esprit de sel,drogue ; chimique ; esprit de sel,
drogue ; chimique ; eau forte,drogue ; chimique ; eau forte,
droguerie ; en épicerie,,
drogue ; verdet,drogue ; verdet,
drogue ; séné,drogue ; séné,
drogue ; sel ; de saturne,drogue ; sel ; de saturne,
drogue ; saffranum,,
drogue ; safran,drogue ; safran,
drogue ; quinquina,drogue ; quinquina,
drogue ; pour la peinture et la teinture ; stil de grain,drogue ; pour la peinture et la teinture ; stil de grain,
drogue ; pour la peinture et la teinture ; racine ; d'alizari,,
drogue ; pour la peinture et la teinture ; ocre ; en pierre,drogue ; pour la peinture et la teinture ; ocre ; en pierre,
drogue ; pour la peinture et la teinture ; graine d'écarlate,,
drogue ; pour la peinture et la teinture ; diverse,drogue ; pour la peinture et la teinture ; diverse,
drogue ; pour la peinture et la teinture ; cochenille,drogue ; pour la peinture et la teinture ; cochenille,
drogue ; pour la peinture et la teinture ; alquifoux,,
drogue ; pour la peinture et teinture ; alizari,drogue ; pour la peinture et la teinture ; alizari,
drogue ; pour la peinture et la teinture ; lackmoir,drogue ; pour la peinture et la teinture ; lackmoir,
drogue ; pour la peinture et la teinture ; iris,drogue ; pour la peinture et la teinture ; iris,
drogue ; pour la peinture et la teinture ; Inde ; platte,drogue ; pour la peinture et la teinture ; Inde ; platte,
drogue ; pour la peinture et la teinture ; verdet,drogue ; pour la peinture et la teinture ; verdet,
drogue ; pour la peinture et la teinture ; térébenthine ; huile,,
drogue ; pour la peinture et la teinture ; galle,drogue ; pour la peinture et la teinture ; galle,
drogue ; pour la peinture et la teinture,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture ; sumac,drogue ; pour la peinture ; sumac,
drogue ; pour la peinture ; galle,drogue ; pour la peinture ; galle,
drogue ; odorante ; encens,drogue ; odorante ; encens,
drogue ; odorante,drogue ; odorante,
drogue ; mêlée ; gomme ; commune,drogue ; mêlée ; gomme ; commune,
drogue ; mêlée,drogue ; mêlée,
drogue ; métallique ; sel ; ammoniac,drogue ; métallique ; sel ; ammoniac,
drogue ; métallique ; diverse,drogue ; métallique ; divers,
drogue ; médicinale ; tamarin,drogue ; médicinale ; tamarin,
drogue ; médicinale ; storax,drogue ; médicinale ; storax,
drogue ; médicinale ; scammonée,,
drogue ; médicinale ; réglisse ; en bois,drogue ; médicinale ; réglisse ; en bois,
drogue ; médicinale ; réglisse,drogue ; médicinale ; réglisse,
drogue ; médicinale ; rhubarbe,drogue ; médicinale ; rhubarbe,
drogue ; médicinale ; crème de tartre,drogue ; médicinale ; crème de tartre,
drogue ; médicinale ; cassia lignea,drogue ; médicinale ; cassia lignea,
drogue ; médicinale ; camphre,drogue ; médicinale ; camphre,
drogue ; médicinale ; borax,drogue ; médicinale ; borax,
drogue ; médicinale,drogue ; médicinale,
drogue ; huile de vitriol,drogue ; huile de vitriol,
drogue ; gomme ; élastique,drogue ; gomme ; élastique,
drogue ; gomme ; sandaraque,,
drogue ; gomme ; laque,,
drogue ; gomme ; gutte,drogue ; gomme ; gutte,
drogue ; gomme ; commune,drogue ; gomme ; commune,
drogue ; gomme ; barbarie,drogue ; gomme ; barbarie,
drogue ; gomme ; arabique,drogue ; gomme ; arabique,
drogue ; gomme ; adragante,,
drogue ; gomme ; Sénégal,gomme ; Sénégal,
drogue ; galle,drogue ; galle,
drogue ; diverse,drogue,
drogue ; cochenille,drogue ; cochenille,
drogue ; chimique ; sel ammoniac,drogue ; chimique ; sel ammoniac,
drogue ; chimique ; diverse,drogue ; chimique ; diverse,
drogue ; chimique et métallique ; diverse,drogue ; chimique et métallique ; diverse,
drogue ; chimique et métallique ; arsenic,drogue ; chimique et métallique ; arsenic,
drogue ; chimique et métallique ; argent ; vif,drogue ; chimique et métallique ; argent ; vif,
drogue ; chimique et métallique,drogue ; chimique et métallique,
drogue ; canéfice,drogue ; canéfice,
drogue ; alun,drogue ; alun,
droguerie,droguerie,
drogue ; pour la peinture,drogue ; pour la peinture,
droguerie ; de Languedoc,,
drogue ; commune,,
droguerie ; à teindre,,
droguer,,
drogue ; d'apothicaire,drogue ; d'apothicaire,
drogue ; pour la peinture et la teinture ; vitriol ; de Chypre,drogue ; pour la peinture et la teinture ; vitriol ; de Chypre,
drogue ; pour la peinture et la teinture ; vert de gris,drogue ; pour la peinture et la teinture ; vert de gris,
drogue ; pour la peinture et la teinture ; tournesol et d'acmail,drogue ; pour la peinture et la teinture ; tournesol et d'acmail,
drogue ; pour la peinture et la teinture ; teinture,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; semence,drogue ; pour la peinture et la teinture ; semence,
drogue ; pour la peinture et la teinture ; perle ; bleue,drogue ; pour la peinture et la teinture ; perle ; bleue,
drogue ; pour la peinture et la teinture ; peinture,drogue ; pour la peinture et la teinture,
drogue ; pour la peinture et la teinture ; orbe,drogue ; pour la peinture et la teinture ; orbe,
drogue ; pour la peinture et la teinture ; mastie,drogue ; pour la peinture et la teinture ; mastie,
drogue ; pour la peinture et la teinture ; céruse,drogue ; pour la peinture et la teinture ; blanc de céruse,
drogue ; pour la peinture et la teinture ; couleur et huile,drogue ; pour la peinture et la teinture ; couleur et huile,
drogue ; pour la peinture et la teinture ; brun rouge,drogue ; pour la peinture et la teinture ; brun rouge,
drogue ; pour la peinture et la teinture ; borax ; raffiné,drogue ; pour la peinture et la teinture ; borax ; raffiné,
drogue ; pour la peinture et la teinture ; bleu ; en pierre,drogue ; pour la peinture et la teinture ; bleu ; en pierre,
drogue ; pour la peinture et la teinture ; blanc,drogue ; pour la peinture et la teinture ; blanc,
drogue ; pour la peinture et la teinture ; azur,drogue ; pour la peinture et la teinture ; azur,
drogue ; pour la peinture et la teinture ; alun ; en dracy,drogue ; pour la peinture et la teinture ; alun ; en dracy,
drogue ; pour la peinture et la teinture ; alun,drogue ; pour la peinture et la teinture ; alun,
drogue ; pour la peinture et la teinture ; verni,drogue ; pour la peinture et la teinture ; verni,
drogue ; pour la peinture et la teinture ; vermillon,drogue ; pour la peinture et la teinture ; vermillon,
drogue ; pour la peinture et la teinture ; verdes,drogue ; pour la peinture et la teinture ; verdet,
drogue ; pour la peinture et la teinture ; tournesol,drogue ; pour la peinture et la teinture ; tournesol,
drogue ; pour la peinture et la teinture ; tartre,drogue ; pour la peinture et la teinture ; tartre,
drogue ; pour la peinture et la teinture ; sumac,drogue ; pour la peinture et la teinture ; sumac,
drogue ; pour la peinture et la teinture ; sanguine,drogue ; pour la peinture et la teinture ; sanguine,
drogue ; pour la peinture et la teinture ; saffranum,drogue ; safran,
drogue ; pour la peinture et la teinture ; rouge de Venise,,
drogue ; pour la peinture et la teinture ; rocou,drogue ; pour la peinture et la teinture ; rocou,
drogue ; pour la peinture et la teinture ; pastel,drogue ; pour la peinture et la teinture ; pastel,
drogue ; pour la peinture et la teinture ; orseille,drogue ; pour la peinture et la teinture ; orseille,
drogue ; pour la peinture et la teinture ; ocre,drogue ; pour la peinture et la teinture ; ocre,
drogue ; pour la peinture et la teinture ; noir de fumée,drogue ; pour la peinture et la teinture ; noir de fumée,
drogue ; pour la peinture et la teinture ; noir d'ivoire,drogue ; pour la peinture et la teinture ; noir d'ivoire,
drogue ; pour la peinture et la teinture ; minium,drogue ; pour la peinture et la teinture ; minium,
drogue ; pour la peinture et la teinture ; mine de plomb,drogue ; pour la peinture et la teinture ; mine de plomb,
drogue ; pour la peinture et la teinture ; laque,drogue ; pour la peinture et la teinture ; laque,
drogue ; pour la peinture et la teinture ; jais,drogue ; pour la peinture et la teinture ; jais,
drogue ; pour la peinture et la teinture ; huile de térébenthine,drogue ; térébenthine ; huile,
drogue ; pour la peinture et la teinture ; herbe à teindre,drogue ; pour la peinture et la teinture ; herbe à teindre,
drogue ; pour la peinture et la teinture ; garance,drogue ; pour la peinture et la teinture ; garance,
drogue ; pour la peinture et la teinture ; curcuma,drogue ; pour la peinture et la teinture ; curcuma,
drogue ; pour la peinture et la teinture ; craie,craie,
drogue ; pour la peinture et la teinture ; couperose,drogue ; pour la peinture et la teinture ; couperose,
drogue ; pour la peinture et la teinture ; térébenthine,drogue ; térébenthine ; essence et huile,
drogue ; pour la peinture et la teinture ; noix ; de galles,drogue ; pour la peinture et la teinture ; noix ; de galles,
drogue ; pour la peinture et la teinture ; indigo,drogue ; pour la peinture et la teinture ; indigo,
drogue ; pour la peinture et la teinture ; ?,drogue ; pour la peinture et la teinture,
drogue ; métallique ; litharge,drogue ; litharge,
drogue,drogue,
drap ; gros ; de Cobras,,
drap ; rafiné,drap ; fin,
drap et draperie ; casinier,,
drap et draperie,,
drap et draperie ; de laine ; diverse,,
drap ; de lit ; neuf,drap ; de lit ; neuf,
drap ; de lit ; commun,drap ; de lit ; commun,
drap ; de laine ; diverse,drap ; diverse,
drap ; d'Elberd,drap ; d'Elberd,
drap ; serge ; sergette,drap ; serge ; sergette,
drap ; raz ; des Lo,drap ; raz ; des Lo,
drap ; palencourt,drap ; palencourt,
drap ; non indiqué,,
drap ; droguet ; de castor,drap ; droguet ; de castor,
drap ; droguet ; de milan,drap ; droguet ; de milan,
drap ; draperie ; d'aufine,drap ; draperie ; d'aufine,
drap ; draperie ; d'Amiens,drap ; draperie ; d'Amiens,
drap ; de Sedan ; de retour,drap ; de Sedan ; de retour,
drap ; de soie,drap ; de soie,
drap ; de lit toile ; de lin,,
drap ; de laine ; draperie ; diverse,drap ; de laine ; draperie ; diverse,
drap ; de douzaine,drap ; de douzaine,
drap ; de Ségovie,drap ; de Ségovie,
drap ; de montagne,drap ; de montagne,
drap ; de Limoux,drap ; de Limoux,
drap ; de Latte,drap ; de Latte,
drap ; du Dauphiné,drap ; du Dauphiné,
drap ; d'or et d'argent fin,drap ; d'or et d'argent fin,
drap ; d'aucrin,drap ; d'aucrin,
"drap ; d'Angleterre, de Hollande et d'Espagne","drap ; d'Angleterre, de Hollande et d'Espagne",
drap ; de Reims,drap ; de Reims,
drap ; ratine ; diverse,drap ; ratine ; diverse,
drap ; poudrin,drap ; poudrin,
drap ; naturel ; Sirre,drap ; naturel ; Sirre,
drap ; naturel ; diverse,drap ; naturel ; diverse,
drap ; naturel ; de Sedan,drap ; naturel ; de Sedan,
drap ; naturel ; commune,drap ; naturel ; commune,
drap ; native ; divers,drap ; native ; divers,
drap ; draperie ; petite ; du Maroc,drap ; draperie ; petite ; du Maroc,
drap ; draperie ; petite ; divers,drap ; draperie ; petite ; divers,
drap ; draperie ; petite ; de main,drap ; draperie ; petite ; de main,
drap ; draperie ; petite ; de Silésie,drap ; draperie ; petite ; de Silésie,
drap ; draperie ; petite ; de Sedan,drap ; draperie ; petite ; de Sedan,
drap ; draperie ; petite ; de Languedoc,drap ; draperie ; petite ; de Languedoc,
drap ; divers ; fin,drap ; divers ; fin,
drap ; divers ; écarlate,drap ; divers ; écarlate,
drap ; divers ; de Limbourg,drap ; divers ; de Limbourg,
drap ; divers ; anglais,drap ; divers ; anglais,
drap ; de Souvier,,
drap ; de Soudrain,drap ; de Soudrain,
drap ; de Panguede,drap ; de Panguede,
drap ; de Moucu,drap ; de Moucu,
drap ; de Hille,drap ; de Lille,
drap ; de Bergoopseau,drap ; de Bergoopseau,
drap ; de Beauvais,drap ; de Beauvais,
drap ; d'Elbeuf ; de retour,drap ; d'Elbeuf ; de retour,
drap ; d'Amboise,drap ; d'Amboise,
drap ; brodé ; en or et argent,drap ; brodé ; en or et argent,
draperie ; grossière,drap ; grossier,
draperie et étoffe,draperie et étoffe,
draperie ; petite,,
draperie ; de Languedoc ; ordinaire,drap ; de Languedoc ; ordinaire,
draperie ; de Languedoc ; fin,drap ; de Languedoc ; fin,
draperie et étoffe ; de laine,draperie et étoffe ; de laine,
draperie ; de Poitou,drap ; de Poitou,
draperie ; à la valeur,drap ; à la valeur,
draperie ; platine,drap ; platine,
draperie ; de Silésie ; petit,drap ; de Silésie ; petit,
draperie ; petit,drap ; petit,
draperie ; ordinaire,draperie ; ordinaire,
draperie ; d'or; d'argent et soie,drap ; d'or; d'argent et soie,
draperie ; fine,drap ; fin,
draperie ; écarlate,,
draperie ; drap ; écarlate,drap ; écarlate,
draperie ; drap,drap,
draperie ; divers,drap ; divers,
draperie ; de laine ; diverse,drap ; de laine ; diverse,
draperie ; de laine ; de Sedan,drap ; de laine ; de Sedan,
draperie ; de laine ; Londrin,drap ; de laine ; Londrin,
draperie ; de laine,drap ; de laine,
draperie ; de dauphine,,
draperie ; de Languedoc,drap ; de Languedoc,
draperie ; de Champagne,drap ; de Champagne,
draperie ; commune,drap ; commun,
draperie ; callemande,drap ; callemande,
draperie ; de Silésie,drap ; de Silésie,
draperie,drap,
drapeau ; vigogne,drapeau ; vigogne,
drapeau ; vieux,drapeau ; vieux,
drapeau ; poil et laine,drapeau ; poil et laine,
drapeau ; mi vigogne,drapeau ; mi vigogne,
drapeau ; mi castor,drapeau ; mi castor,
drapeau ; castor,drapeau ; castor,
drapeau,drapeau,
drap ; petite,drap ; petit,
drap ; pour les nègre,,
drap ; ordinaire,drap ; ordinaire,
drap ; lourdin,,
drap ; grossier,drap ; grossier,
drap ; goudronné,drap ; goudronné,
drap ; fin ; du Languedoc,drap ; fin ; du Languedoc,
drap ; de linge ; commun,drap ; de linge ; commun,
drap ; de lin ; vieux,drap ; de lin ; vieux,
drap ; de lin,drap ; de lin,
drap ; de fil ; vieux,drap ; de fil ; vieux,
drap ; de coutil,drap ; de coutil,
drap ; de colimard,,
drap ; de burs ou de frise,drap ; de burs ou de frise,
drap ; de lit ; vieux,drap ; de lit vieux,
drap ; de lit ; ayant servi,,
drap ; de Komrix,drap ; de Komrix,
drap ; de Glouster,drap ; de Glouster,
drap ; de Colmar,,
drap ; cordeillat,,
drap ; de Londrin,drap ; de Londrin,
drap ; verd,drap ; vert,
drap ; serge ; écarlate,drap ; serge ; écarlate,
drap ; serge ; fil et laine,drap ; serge ; fil et laine,
drap ; serge ; des prise,drap ; serge ; des prise,
drap ; de laine et fil ; serge,drap ; de fil et laine ; serge,
drap ; à doubler,drap ; à doubler,
drap ; raz ; blanche,,
drap ; raz ; de castor,drap ; raz ; de castor,
drap ; raz ; de Maroc,,
drap ; raz ; d'Angleterre,drap ; raz ; d'Angleterre,
drap ; ratine,drap ; ratine,
drap ; petit,drap ; petit,
drap ; noir,drap ; noir,
drap ; imprimé,drap ; imprimé,
drap ; fin,drap ; fin,
drap ; droguet ; fil a laine,drap ; droguet ; fil a laine,
drap ; droguet ; d'Angleterre,drap ; droguet ; d'Angleterre,
drap ; droguet,drap ; droguet,
drap ; droguet ; de fil et laine,drap ; droguet ; de fil et laine,
drap ; droguet ; de Hollande,drap ; droguet ; de Hollande,
drap ; drapé,drap ; drapé,
drap ; draperie ; ratine,drap ; draperie ; ratine,
drap ; draperie ; tricot,drap ; draperie ; tricot,
drap ; de laine ; serge ; de Rome,,
drap ; de laine ; sergette,drap ; serge ; sergette,
drap ; de laine ; raz de Maroc,,
drap ; draperie ; raz de Maroc,,
drap ; draperie ; raz de castor,,
drap ; de laine ; ratine,drap ; ratine,
drap ; de laine ; pinchina,drap ; pinchina,
drap ; draperie ; petite,drap ; draperie ; petite,
drap ; de laine ; ordinaire,drap ; ordinaire,
drap ; draperie ; ordinaire,drap ; draperie ; ordinaire,
drap ; draperie ; moutade,drap ; draperie ; moutade,
drap ; de laine ; molleton,,
drap ; draperie ; layette,drap ; draperie ; layette,
drap ; de laine ; irtaine,drap ; irtaine,
drap ; draperie ; iada,drap ; draperie ; iada,
drap ; draperie ; futaine,drap ; draperie ; futaine,
drap ; draperie ; frac,drap ; draperie ; frac,
drap ; de laine ; flanelle,drap ; flanelle,
drap ; draperie ; fine,drap ; draperie ; fine,
drap ; de laine ; espagnolette,drap ; espagnolette,
drap ; droguet ; de laine,drap ; droguet ; de laine,
drap ; draperie ; drague,,
drap ; draperie ; divers,drap ; draperie ; divers,
drap ; draperie ; de Montauban,drap ; draperie ; de Montauban,
drap ; draperie ; fin,,
drap ; draperie ; de Languedoc,drap ; draperie ; de Languedoc,
drap ; draperie ; de Carcassonne,drap ; draperie ; de Carcassonne,
drap ; draperie ; Damas,drap ; draperie ; Damas,
drap ; draperie ; dauphine,,
drap ; draperie ; d'Abbeville,drap ; draperie ; d'Abbeville,
drap ; de laine ; crêpe,drap ; crêpe,
drap ; de laine ; crêpe ; de Reims,,
drap ; de laine ; capot,drap ; capoterie,
drap ; draperie ; cadi,drap ; draperie ; cadi,
drap ; de laine ; bure,,
drap ; de laine ; bayette,drap ; bayette,
drap ; de laine ; oroguet,drap ; droguet,
drap ; de laine ; ?,drap,
drap ; divers,drap ; divers,
drap ; des prise,drap ; des prise,
drap ; de pagnon,,
drap ; de Maroc,drap ; de Maroc,
drap ; de lit,drap ; de lit,
drap ; de laine ; étranger,drap ; étranger,
drap ; de laine ; écarlate,drap ; écarlate,
drap ; de laine ; du sceau,drap ; du sceau,
drap ; de laine ; du nord,drap ; du nord,
drap ; de laine ; divers,drap ; divers,
drap ; de laine ; des prise,drap ; des prise,
drap ; de laine ; de cérémonie,drap ; de cérémonie,
drap ; de laine ; de castor,drap ; de castor,
drap ; de laine ; de Vir,drap ; de laine ; de Vir,
drap ; de laine ; de van Robais,drap ; de Van Robais,
drap ; de laine ; de Sir,drap ; de Sir,
drap ; de laine ; de Silésie,drap ; de Silésie,
drap ; de laine ; de Sedan,drap ; de Sedan,
drap ; de laine ; de Saint Robert,drap ; de Saint Robert,
drap ; de laine ; de Rouen,drap ; de Rouen,
drap ; de laine ; de Rome,drap ; de Rome,
drap ; de laine ; de Nison,drap ; de Nison,
drap ; de laine ; de Montauban,drap ; de Montauban,
drap ; de laine ; de Louviers,,
drap ; de laine ; de Lille,drap ; de Lille,
drap ; de laine ; de Languedoc,drap ; de Languedoc,
drap ; de laine ; de France,drap ; de France,
drap ; de laine ; de cours,,
drap ; de laine ; de Cherbourg,drap ; de Cherbourg,
drap ; de laine ; de Carcassonne,drap ; de Carcassonne,
drap ; de laine ; de Beauvais,drap ; de laine ; de Beauvais,
drap ; de laine ; de ?,drap ; de ?,
drap ; de laine ; de Hollande,drap ; de Hollande,
drap ; de laine ; d'Elbeuf,drap ; d'Elbeuf,
drap ; serge ; d'Arnetal,drap ; serge ; d'Arnetal,
drap ; de laine ; d'Angleterre,drap ; d'Angleterre,
drap ; de laine ; d'Andelis,drap ; d'Andelis,
drap ; de laine ; d'Amiens,drap ; d'Amiens,
drap ; de laine ; d'Abbeville,drap ; d'Abbeville,
drap ; de laine ; cordeillard,drap ; cordeillard,
drap ; de laine ; commun,drap ; de laine ; commun,
drap ; de laine ; bleu,drap ; bleu,
drap ; de laine ; avarié,drap ; de laine ; avarié,
drap ; de laine ; au ? de soie,drap ; de laine ; au ? de soie,
drap ; de laine ; Londrin,drap ; londrin,
drap ; de laine ; cordellat,drap ; cordellat,
drap ; de laine,drap,
drap ; de la Bouille,drap ; de la Bouille,
drap ; de coton,drap ; de coton,
drap ; de Vir,drap ; de Vir,
drap ; de Van Robais,drap ; de Van Robais,
drap ; de Silésie,drap ; de Silésie,
drap ; de Sedan,drap ; de Sedan,
drap ; de Saint Lô,drap ; de Saint Lô,
drap ; de Rouen,drap ; de Rouen,
drap ; de Romorantin,,
drap ; de Picardie,drap ; de Picardie,
drap ; de Normandie,drap ; de Normandie,
drap ; de Montauban,drap ; de Montauban,
drap ; de Louviers ; au 6e de soie,drap ; de Louvier ; au 6e de soie,
drap ; de Louviers,,
drap ; de Lodève,drap ; de Lodève,
drap ; de Lille,drap ; de Lille,
drap ; de Languedoc,drap ; de Languedoc,
drape de Lille,,
drap ; de Glates,drap ; de Glates,
drap ; de France,drap ; de France,
drap ; de castor,drap ; de castor,
drap ; de Carcassonne,drap ; de Carcassonne,
drap ; de bourbon,drap ; de bourbon,
drap ; d'estames,drap ; d'estames,
drap ; d'Aumale,drap ; d'Aumale,
drap ; dauphine,étoffe ; de laine ; dauphine,
drap ; de Hollande,drap ; de Hollande,
drap ; d'Espagne,drap ; d'Espagne,
drap ; d'Elbeuf,drap ; d'Elbeuf,
drap ; d'Angleterre,drap ; d'Angleterre,
drap ; d'Andelis,drap ; d'Andelis,
drap ; d'Amiens,drap ; d'Amiens,
drap ; crêpe,drap ; crêpe,
drap ; crêpe ; de Reims,,
drap ; commun,drap ; commun,
drap ; casimir,drap ; casimir,
drap ; carizé,drap ; carizé,
drap ; brodé ; en soie,drap ; brodé ; en soie,
drap ; brodé ; au ciseau ; en soie,drap ; brodé ; au ciseau ; en soie,
drap ; au 6e de soie,drap ; au 6e de soie,
drap ; serge ; à doubler,drap ; serge ; à doubler,
drap ; serge ; imprimée,drap ; serge ; imprimée,
drap ; serge ; forte,drap ; serge ; forte,
drap ; serge ; drapée,drap ; serge ; drapée,
drap ; de laine ; serge,drap ; serge ; de laine,
drap ; serge ; de Montauban,drap ; serge ; de Montauban,
drap ; serge ; de Lille,drap ; serge ; de Lille,
drap ; serge ; d'Aumale,drap ; serge ; d'aumale,
drap ; Londrin,drap ; londrin,
drap ; Languedoc,drap ; Languedoc,
drap ; gaufré,,
drap ; écarlate,drap ; écarlate,
drap ; d'Arnetal,drap ; d'Arnetal,
drap ; d'Abbeville,drap ; d'Abbeville,
"drap , droguet ; fil et laine",drap ; droguet ; de fil et laine,
drap,drap,
drague ; de bière,drague ; de bière,
dragonne ; d'épée,dragonne ; d'épée,
dragée,dragée,
dracodium,,
drache,drache,
douelle ; à quartz,douelle ; à quartz,
douelle ; à cuve,,
douelle ; à baril,,
douelle ; fonçaille,douelle ; fonçaille,
douelle ; de tonneau,,
douelle ; barrique,,
douelle,douelle,
douzaine de ?,douzaine de ?,
douve ; pour pipe,douve ; pour pipe,
douve ; en bois pour teinture en cuve,douve ; en bois pour teinture en cuve,
douve ; à tonneau,,
douve,douve,
douvelle ; de sapin,,
douvelle,,
douvain,douvain,
douelle ; de sapin,douelle ; de sapin,
douelle ; à tonneau,douelle ; à tonneau,
douelle ; à tierçon,,
douelle ; à pipe,douelle ; à pipe,
douelle ; à fond,douelle ; à fond,
douelle ; à barrique,douelle ; à barrique,
doublure ; de petit gris,,
fil ; double,fil ; double,
dossier ; de chaise,dossier ; de chaise,
dospin ; en pierre,dospin ; en pierre,
poisson ; dos,poisson ; dos,
"dorure ; fausse ; en or et argent ; battu, tiré et laminé","dorure ; fausse ; en or et argent ; battu, tiré et laminé",
dorure ; fausse ; en or et argent,dorure ; fausse ; en or et argent,
dorure ; fine ; en galon ; d'or,dorure ; fine ; en galon ; d'or,
dorure ; fine,dorure ; fine,
dorure ; fausse,dorure ; fausse,
dorure ; ? ; en faux,dorure ; fausse,
dorure,dorure,
dorpin ; en pierre,dorpin ; en pierre,
doréas,doréas,
dominoterie et carte géographique,dominoterie et carte géographique,
dominoterie ; en image,dominoterie ; en image,
dominoterie,dominoterie,
domino,domino,
dividi,,
marchandise ; diverse,marchandise,
divers ; articles,,
ditors,ditors,
distillat,distillat,
dissouchaye,dissouchaye,
disque de charrue en fer,disque de charrue en fer,
dioxyde de plomb,,
dindon,dindon,
dindonneau,,
dimelle,dimelle,
dictionnaire ; hollandais,,
dictionnaire ; du commerce,dictionnaire ; du commerce,
dictamus,dictamus,
diamant fin,diamant fin,
fleur ; de dictame,fleur ; de dictame,
dé ; à coudre ; de cuivre et fer,,
dé ; à coudre,dé ; à coudre,
dé ; en cuivre,,
dé ; de fer ; à coudre,,
dé ; de fer,dé ; de fer,
dé ; de cuivre ; à coudre,,
dé ; de cuivre,dé ; de cuivre,
dé ; d'acier,,
dé,dé,
baldaquin,baldaquin,
dévidoir,,
devant de veste ; de basin,,
dessus de table ; de marbre,,
dé ; à jouer,dé ; à jouer,
miroir,miroir,
dé ; de laiton,dé ; de laiton,
denvitte,,
dent ; de vache marine,dent ; de vache marine,
dent ; de cheval ; marin,dent ; de cheval ; marin,
dentelle et blonde,dentelle et blonde,
dentelle ; de fil ; de tulle,dentelle ; de fil ; de tulle,
dentelle ; de fil ; diverse,dentelle ; de fil ; diverse,
dentelle ; de fil ; de crin,dentelle ; de fil ; de crin,
dentelle ; de fil ; de laine,dentelle ; de fil ; de laine,
dentelle ; de fil ; blanc ; de Lille,dentelle ; de fil ; blanc ; de Lille,
dentelle ; de Puy,,
dentelle ; de fil ; de Lille,dentelle ; de fil ; de Lille,
dentelle ; à peu de soie,dentelle ; à peu de soie,
dentelle ; d'or et d'argent ; fin,dentelle ; d'or et d'argent ; fin,
dentelle ; or et argent ; faux,,
dentelle ; mi soie,dentelle ; mi soie,
dentelle ; grosse ; de fil,,
dentelle ; grosse,dentelle ; grosse,
dentelle ; fine,dentelle ; fine,
dentelle ; du Havre,,
dentelle ; dorure ; d'or et d'argent,,
