ÊÈCode","Description"
"334.5","Huiles lubrifiantes de pétrole ou de minéraux bitumineux, autres huiles lourdes de pétrole ou de minéraux bitumineux (sauf brutes), et préparations lourdes, n.d.a. Contenant en poids une proportion d'huiles de pétrole ou de minéraux bitumineux (sauf brutes) supérieure ou égale à 70 % et dont ces huiles constituent l'élément de base"
"335","Produits residuels du petrole, n.d.a., et produits connexes"
"335.1","Vaseline; paraffine; cire de pétrole micro-cristalline, ""slack wax"", ozokérite, cire de lignite, cire de tourbe, autres cires minérales et produits similaires obtenus par synthèse ou par d'autres procédés, même colorés"
"335.11","Vaseline (pétrolat)"
"335.12","Paraffine, cire de pétrole microcristalline, slack wax, ozokérite, cire de lignite, cire de tourbe et autres cires minérales et produits similaires obtenus par synthèse ou par d'autres procédés, même colorés"
"335.2","Goudrons minéraux et produits de leur distillation (y compris les produits analogues obtenus par la cyclisation du pétrole ou par tout autre procédé)"
"335.21","Goudrons de houille, de lignite ou de tourbe et autres goudrons minéraux, même déshydratés ou étêtés (y compris les goudrons reconstitués)"
"335.22","Benzols"
"335.23","Toluols"
"335.24","Xylols"
"335.25","Huiles et autres produits, n.d.a., de la distillation de goudron de houille à haute température; produits analogues dans lesquels les constituants aromatiques prédominent en poids par rapport aux constituants non aromatiques"
"335.3","Brai et coke de brai de goudron de houille ou d'autres goudrons minéraux"
"335.31","Brai de goudron de houille ou d'autres goudrons minéraux"
"335.32","Coke de brai"
"335.4","Bitume de pétrole, coke de pétrole et mélanges bitumineux, n.d.a."
"335.41","Bitume de pétrole et autres résidus des huiles de pétrole ou de minéraux bitumineux"
"335.42","Coke de pétrole"
"335.43","Mélanges bitumineux à base d'asphalte ou de bitume naturels, de bitume de pétrole, de goudron ou de brai de goudron minéraux (mastics bitumineux et cut-backs p. Ex.)"
"34","Gaz naturel et gaz manufacture"
"342","Propane et butane liquefies"
"342.1","Propane liquéfié"
"342.5","Butanes liquéfiés"
"343","Gaz naturel, meme liquefie"
"343.1","Gaz naturel liquéfié"
"343.2","Gaz naturel à l'état gazeux"
"344","Gaz de petrole et autres hydrocarbures gazeux, n.d.a."
"344.1","Ethylène, propylène, butylène et butadiène liquéfiés"
"344.2","Hydrocarbures gazeux, liquéfiés, n.d.a."
"344.9","Hydrocarbures gazeux à l'état gazeux, n.d.a."
"345","Gaz de houille, gaz a l'eau, gaz pauvre et gaz similaires, a l'exclusion des gaz de petrole et autres hydrocarbures gazeux"
"345.0","Gaz de houille, gaz à l'eau, gaz pauvre et gaz similaires, à l'exclusion des gaz de pétrole et autres hydrocarbures gazeux"
"35","Energie electrique"
"351","Energie electrique"
"351.0","Energie électrique"
"4","Huiles, graisses et cires d'origine animale ou végétale"
"41","Huiles et graisses d'origine animale"
"411","Huiles et graisses d'origine animale"
"411.1","Graisses et huiles et leurs fractions, de poissons ou de mammifères marins, même raffinées, mais non chimiquement modifiées"
"411.11","Huiles de foies de poissons et leurs fractions"
"411.12","Graisses et huiles de poissons et leurs fractions, autres que les huiles de foies"
"411.13","Graisses et huiles de mammifères marins et leurs fractions"
"411.2","Saindoux; autres graisses de porc et de volailles, fondues, même pressées ou extraites à l'aide de solvants"
"411.3","Huiles, graisses et corps gras d'origine animale, n.d.a."
"411.31","Lard sans parties maigres, graisse de porc et graisse de volaille (non fondues), frais, réfrigérés, congelés, salés ou en saumure, séchés ou fumés"
"411.32","Graisses des animaux des espèces bovine, ovine ou caprine, brutes ou fondues, même pressées ou extraites à l'aide de solvants"
"411.33","Stéarine de saindoux , huile de saindoux, oléo-stéarine, oléo-margarine et huile de suif, non émulsionnées, ni mélangées, ni autrement préparées"
"411.34","Graisses de suint brutes (suintine)"
"411.35","Graisses de suint (autres que brutes) et substances grasses dérivées, y compris la lanoline"
"411.39","Graisses et huiles animales et leurs fractions, n.d.a., même raffinées, mais non chimiquement modifiées"
"42","Graisses et huiles vegetales fixes, brutes, raffinees ou fractionnees"
"421","Graisses et huiles vegetales fixes, douces, brutes, raffinees ou fractionnees"
"421.1","Huile de soja et ses fractions"
"421.11","Huile de soja brute, même dégommée"
"421.19","Huile de soja raffinée et ses fractions"
"421.2","Huile de coton et ses fractions"
"421.21","Huile de coton brute, même dépourvue de gossypol"
"421.29","Huile de coton raffinée et ses fractions"
"421.3","Huile d'arachide et ses fractions"
"421.31","Huile d'arachides brute"
"421.39","Huile d'arachides raffinée et ses fractions"
"421.4","Huile d'olive et autres huiles obtenues à partir d'olives"
"421.41","Huile d'olives vierge"
"421.42","Autres huiles d'olives et leurs fractions"
"421.49","Huiles et leurs fractions obtenues exclusivement à partir d'olives (autres que les huiles d'olives du No 421.41 ou 421.42), y compris les mélanges de ces huiles ou fractions avec des huiles ou fractions du No 421.41 ou 421.42"
"421.5","Huile de tournesol ou de carthame et leurs fractions"
"421.51","Huile de tournesol ou de carthame, brute"
"421.59","Huile de tournesol ou de carthame raffinée et ses fractions"
"421.6","Huile de maïs et ses fractions"
"421.61","Huile de maïs brute"
"421.69","Huile de maïs raffinée et ses fractions"
"421.7","Huile de navette, de colza ou de moutarde et leurs fractions"
"421.71","Huile de navette, de colza ou de moutarde, brute"
"421.79","Huile de navette, de colza ou de moutarde, raffinée et ses fractions"
"421.8","Huile de sésame et ses fractions"
"422","Graisses et huiles vegetales fixes, brutes, raffinees ou fractionnees, autres que douces"
"422.1","Huile de lin et ses fractions"
"422.11","Huile de lin brute"
"422.19","Huile de lin raffinée et ses fractions"
"422.2","Huile de palme et ses fractions"
"422.21","Huile de palme brute"
"422.29","Huile de palme raffinée et ses fractions"
"422.3","Huile de coco (huile de coprah) et ses fractions"
"422.31","Huile de coco (huile de coprah), brute"
"422.39","Huile de coco (coprah) raffinée et ses fractions"
"422.4","Huiles de palmiste ou de babassu et leurs fractions"
"422.41","Huile de palmiste ou de babassou, brute"
"422.49","Huile de palmistes ou de babassou, raffinée, et ses fractions"
"422.5","Huile de ricin et ses fractions"
"422.9","Autres graisses végétales fixes, brutes, raffinées ou fractionnées, autres que douces"
"422.91","Huile de tung (abrasin) et ses fractions"
"422.99","Graisses et huiles végétales fixes, brutes, raffinées ou fractionnées, n.d.a."
"43","Huiles et graisses animales ou vegetales, preparees; cires d'origine animale ou vegetale; melanges ou preparations non alimentaires de graisses ou d'huiles animales ou vegetales, n.d.a"
"431","Huiles et graisses animales ou vegetales preparees, cires et melanges ou preparations non alimentaires d'huiles ou de graisses animales ou vegetales, n.d.a."
"431.1","Graisses et huiles animales ou végétales et leurs fractions, cuites, oxydées, déshydratées, sulfurées, soufflées, polymérisées à la chaleur dans le vide ou dans un gaz inerte ou autrement modifiées chimiquement (à l'exclusion de celles du sous-groupe 431.2); mélanges ou préparations non alimentaires de graisses ou d'huiles animales ou végétales ou de leurs fractions, n.d.a."
"431.2","Graisses et huiles animales ou végétales et leurs fractions, partiellement ou totalement hydrogénées, intérestérifiées, réestérifiées our élaïdinisées, même raffinées, mais non autrement préparées"
"431.21","Graisses et huiles animales et leurs fractions partiellement ou totalement hydrogénées, interestérifiées, réestérifiées ou élaïdinisées"
"431.22","Graisses et huiles végétales et leurs fractions, partiellement ou totalement hydrogénées, interestérifiées, réestérifiées ou élaïdinisées"
"431.3","Acides gras, huiles acides et résidus provenant du traitement des corps gras ou de cires animales ou végétales; dégras"
"431.31","Acides gras; huiles acides de raffinage"
"431.33","Dégras; résidus du traitement des corps gras ou des cires animales ou végétales"
"431.4","Cires d'origine animale ou végétale"
"431.41","Cires végétales (autres que les triglycérides), même raffinées ou colorées"
"431.42","Cires d'abeilles, cires d'autres insectes et spermaceti, même raffinées ou colorées"
"5","Produits chimiques et produits connexes, n.d.a."
"51","Produits chimiques organiques"
"511","Hydrocarbures, n.d.a. Et leurs derives halogenes, sulfones nitres ou nitroses"
"511.1","Hydrocarbures acycliques"
"511.11","Ethylène"
"511.12","Propène (propylène)"
"511.13","Butylènes, butadiènes et méthylbutadiènes"
"511.14","Hydrocarbures acycliques saturés"
"511.19","Hydrocarbures acycliques, n.d.a."
"511.2","Hydrocarbures cycliques"
"511.21","Cyclohexane"
"511.22","Benzène pur"
"511.23","Toluène pur"
"511.24","Xylènes purs"
"511.25","Styrène"
"511.26","Ethylbenzène"
"511.27","Cumène"
"511.29","Hydrocarbures cycliques, n.d.a."
"511.3","Dérivés halogénés des hydrocarbures"
"511.31","Chlorure de vinyle (chloréthylène)"
"511.32","Trichloréthylène"
"511.33","Tétrachloréthylène (perchloréthylène)"
"511.34","Autres dérivés chlorés non saturés des hydrocarbures acycliques"
"511.35","Dichloor-1,2-éthane (bichlorure d'éthylène)"
"511.36","Autres dérivés chlorés saturés des hydrocarbures acycliques"
"511.37","Dérivés fluorés, bromés ou iodés des hydrocarbures acycliques"
"511.38","Dérivés halogénés des hydrocarbures acycliques contenant deux halogènes différents ou plus"
"511.39","Dérivés halogénés des hydrocarbures, n.d.a."
"511.4","Dérivés sulfonés, nitrés ou nitrosés des hydrocarbures, même halogénés"
"512","Alcools, phenols, phenols-alcools, et leurs derives halogenes, sulfones, nitres ou nitroses"
"512.1","Monoalcools acycliques"
"512.11","Méthanol (alcool méthylique)"
"512.12","Propane-1-ol (alcool propylique) et propane-2-ol (alcool isopropylique)"
"512.13","Butanols"
"512.14","Octanol (alcool octylique) et ses isomères"
"512.15","Alcool éthylique non dénaturé d'un titre alcoométrique volumique de 80 % ou plus"
"512.16","Alcool éthylique et autres alcools distillés dénaturés de tous titres"
"512.17","Alcools gras industriels"
"512.19","Autres monoalcools"
"512.2","Autres alcools acycliques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
"512.21","Ethylène glycol (éthanediol)"
"512.22","Glycérine, eaux et lessives glycérineuses"
"512.23","Pentaérythritol (pentaérythrite)"
"512.24","Mannitol"
"512.25","D-glucitol (sorbitol)"
"512.29","Autres alcools acycliques"
"512.3","Alcools cycliques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
"512.31","Alcools cyclaniques, cycléniques ou cycloterpéniques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
"512.35","Alcools cycliques aromatiques et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
"512.4","Phénols et phénols-alcools et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
"512.41","Phénol (hydroxybenzène) pur et ses sels"
"512.42","Crésols, n.d.a., et leurs sels"
"512.43","Autres phénols et phénols-alcools"
"512.44","Dérivés halogénés, sulfonés, nitrés ou nitrosés des phénols ou phénols-alcools"
"513","Acides carboxyliques, leurs anhydrides, halogenures, peroxydes et peroxyacides; leurs derives halogenes, sulfones, nitres ou nitroses"
"513.7","Acides monocarboxyliques et leurs anhydrides, halogénures, peroxydes et peroxyacides; leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
"513.71","Acide acétique et ses sels"
"513.72","Esters de l'acide acétique"
"513.73","Acide méthacrylique, ses sels et esters"
"513.74","Acide formique, ses sels et esters"
"513.75","Acides butyriques, acides valériques, leurs sels et esters"
"513.76","Acide palmitique, acide stéarique, leurs sels et esters"
"513.77","Acides monocarboxyliques acycliques saturés, n.d.a.; leurs anhydrides, halogénures, peroxydes et peroxyacides et leurs dérivés halogénés, sulfonés, nitrés ou nitrosés"
