marchandises_simplification,code,sitc18_rev3,v3,imprimatur,status,beforeitems,afteritems,obsolete
apprêtée à toiler les livres,655,6h,Autres textiles mêlés fibres végétales et toiles,,new,,,non
apprêtée pour parchemins,640,6c,Papier,,new,,,non
arak,100,1,Boissons et tabac,x,new,,,non
araks,100,1,Boissons et tabac,x,,,,non
arbalètes,800,8,Manufs divers,,new,,,non
arbalètrie et cartes marines,800,8,Manufs divers,,new,,,non
arbres,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Arbres] [Arbres ; en ?],non
arbres à fruits,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Arbre ; à fruit] [Arbres ; à fruit],non
arbres à planter,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Arbre à planter] [Arbres ; a planter] [Arbres ; en plants] [Arbres ; à planter] [Arbres a planter] [Arbres aplanter] [Arbres à planter] [Arbres; à planter] [Les arbres à planter] [arbres a planter],non
arbres d'auban,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Arbres ; en plants ; de bois ; d'auban],non
arbres de bois,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Arbres ; en plants ; de bois d'] [Arbres ; plants de bois],non
arbres de sapin,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[arbres de Sapin],non
arbres de tilleul,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Arbres ; tilleul] [Arbres ; tilleuls] [Arbres tilleuds],non
arbres et arbrisseaux,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
arbres et arbrisseaux à fruits,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
arbres et arbrisseaux sauvages,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
arbres et arbustes,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
arbres et plants,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
arbres fruitiers,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
arbres marronniers à planter,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
arbrisseaux,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Arbrisseaux],non
arbustes,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,new,,,non
arcanette,110,0a,Nourriture européenne et animaux vivants,,new,,,non
arcanson,500,5,Produits chimiques,,existing,,,non
arcanum duplicatum,999,???,???,,new,,,non
archets de violons,800,8,Manufs divers,,new,,,non
archiabanis,999,???,???,,ambiguous,[Archiabanis],[Archiabanis],non
arçons de bas de bois,630,6b,"Bois, liège, jonc",,new,,,non
arçons de bois,630,6b,"Bois, liège, jonc",,ambiguous,,[Arsons de bois],non
arçons de selles,630,6b,"Bois, liège, jonc",,ambiguous,,[Arçcons de selle] [Arçons de selle] [Acons ; de selle] [arçons de selle] [arçons de selles],non
ardoise,660,6k,Autres manufs classés par mat 1ères,,,,,non
ardoise commune,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[ardoises ordinaires],non
ardoise dite chérubin et à mortier,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[ardoises dites cherubins et à mortier],non
ardoise dite grande voisine,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[ardoises dites grandes voisines],non
ardoise dite moyenne voisine,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[ardoises dites moyennes voisines],non
ardoise dite petite voisine,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[ardoises dites petittes voisines],non
ardoise dite voisine,660,6k,Autres manufs classés par mat 1ères,,,,,non
ardoise en carreaux,660,6k,Autres manufs classés par mat 1ères,,new,,,non
ardoise en carreaux et d'1 pied carré,660,6k,Autres manufs classés par mat 1ères,,,,,non
ardoise en livret,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[ardoises en livrets],non
ardoise encadrée,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[ardoises encadrées],non
ardoise encadrée et en livret,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[ardoises encadrées et en livrets],non
ardoise non travaillée,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[ardoises non travaillées],non
ardoise pour fenêtre,660,6k,Autres manufs classés par mat 1ères,,new,,,non
ardoise verte,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Ardoises ; vertes],non
ardoises,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Adoises] [Ardois] [Ardoise] [Ardoises] [Ardoize] [ardoise] [ardoises],non
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,660,6k,Autres manufs classés par mat 1ères,,new,,,non
argent,910,9a,Monnaie métaux précieux,,ambiguous,,[Argent ; en matière] [Argent ; divers] [Drogues; Métalliques argent] [Drogues ; metalliques et chimiques ; argent],non
argent battu,910,9a,Monnaie métaux précieux,,ambiguous,,[Argent ; battu],non
argent brûlé,910,9a,Monnaie métaux précieux,,ambiguous,,[argent brulé] [Argent brulé],non
argent brut,910,9a,Monnaie métaux précieux,,new,,,non
argent carragoux,910,9a,Monnaie métaux précieux,,ambiguous,,[Argent ; argent ; carragoux],non
argent en barils,910,9a,Monnaie métaux précieux,,new,,,non
argent en barres,910,9a,Monnaie métaux précieux,,ambiguous,,[argent en barres],non
argent en lingots,910,9a,Monnaie métaux précieux,,ambiguous,,[Argent ; en lingot] [Argent ; en lingots] [Argent enlingots] [Argent; en lingots] [argent en lingots de bas alloye] [Argent en lingots],non
argent en lingots par Calais,910,9a,Monnaie métaux précieux,,new,,,non
argent et d'or,910,9a,Monnaie métaux précieux,,,,,non
argent et or billon,910,9a,Monnaie métaux précieux,,new,,,non
argent faux,670,6j,Métal,,ambiguous,,"[Argent ; faux] [Argent faux] [Argent; faux] [argent faux en fil, cantilles, etc.]",non
argent faux et or faux,670,6j,Métal,,ambiguous,,[Or ; et argent ; faux] [Or ; et argt ; faux] [Or ; et argt. Faux] [Or et Argent faux] [Or et argent ; faulx] [Or et argent ; faux] [Or et argt ; faux] [Or et argent faux] [Or et argents faux],non
argent faux et or faux traits,670,6j,Métal,,new,,,non
argent fin,910,9a,Monnaie métaux précieux,,ambiguous,,[Argent ; fin],non
argent monnayé et nogat d'or,910,9a,Monnaie métaux précieux,,new,,,non
argent talari,910,9a,Monnaie métaux précieux,,ambiguous,,[Argent ; argent ; talaris],non
argent vif,500,5,Produits chimiques,,ambiguous,,[Argent oeis],non
argenterie,800,8,Manufs divers,,ambiguous,[Argenterie] [Argentrie] [Argentries] [argenterie],[Argenterie ; diverse] [Argenterie ; diverses] [Argenterie; diverse] [Argenterie] [Argentrie] [Argentries] [argenterie] [Orfèvrerie en argenterie] [Orfeverie en argenterie],non
argenterie épée,800,8,Manufs divers,,ambiguous,,[Argenterie ; épée] [Argenterie ; épés] [Argenterie; épées],non
argenterie et bijouterie,800,8,Manufs divers,,ambiguous,[Argenterie et bijouterie],[Argenterie et bijouterie],non
argenterie et bijouterie et orfèvrerie,800,8,Manufs divers,,new,,,non
argenterie et orfévrerie,800,8,Manufs divers,,new,,,non
argenterie et orfèvrerie,800,8,Manufs divers,,ambiguous,[Argenterie et orfévrerie],[Argenterie et orfévrerie],non
argenterie et orfèvrerie vermeil,800,8,Manufs divers,,ambiguous,,[Argenterie et orfèvrerie en vermeil] [Argenterie et orfévrerie en vermeil],non
argenterie vieille,800,8,Manufs divers,,ambiguous,,[Argenterie ; vieille] [Argenterie vieille],non
argile et terre pour engrais,660,6k,Autres manufs classés par mat 1ères,,new,,,non
aristoloche,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,[Aristoche] [Aristoloche] [Aristoloches] [Aristotoche] [Artoloche] [Artotoche] [aristoloche],[Drogues ; Médecinales en plantes ; Aristoloche] [Aristoche] [Aristoloche] [Aristoloches] [Aristotoche] [Artoloche] [Artotoche] [aristoloche],non
armes,800,8,Manufs divers,,ambiguous,,[Armes ; diverses] [Armes diverses] [Armes ; blanches et à feu] [Armes] [armes non reprises] [///Industrie générale///Armes] [Armes blanches et à feau] [Armes blanches et à feu] [///Objets manufacturés///Armes],non
armes à feu,800,8,Manufs divers,,ambiguous,,[Armes ; à feu ; diverses] [Armes ; à feu; diverses] [Armes à feu diverses] [Armes à feux ; diverses] [Armes; à feu; diverses] [Armes ; A feu] [Armes ; a feu] [Armes ; à feu] [Armes a feu] [Armes à feu] [armes à feu] [Armes; a feu] [Armes divers ; à feux] [Armes a feu ; diverses] [Armes et artillerie ; armes ; à feu] [Armes à feux] [Armes ; a feu ; diverses] [Armes de feu],non
armes à feu de munitions,800,8,Manufs divers,,new,,,non
armes à feu de munitions fines,800,8,Manufs divers,,new,,,non
armes à feu et artillerie,800,8,Manufs divers,,new,,,non
armes blanches,800,8,Manufs divers,,ambiguous,,[Armes ; Blanches] [Armes ; blanche] [Armes ; blanches] [Armes blanche] [Armes blanches] [Armes; blanches] [armes blanches] [Armes ; blanches ; diverses] [Armes et artillerie ; armes ; blanches] [Armes blanches diverses] [Armes divers ; blanches],non
armes de guerre,800,8,Manufs divers,,new,,,non
armes et artillerie artillerie en canons pierriers espingoles et mortiers,800,8,Manufs divers,,,,,non
armes et munitions,800,8,Manufs divers,,ambiguous,,[Armes diverses et munitions de guerre],non
armes lames,800,8,Manufs divers,,ambiguous,,[Armes ; blanches ; lames],non
armes remontrances,800,8,Manufs divers,,ambiguous,,[armes remontrances],non
armoires,800,8,Manufs divers,,ambiguous,,[Armoir] [Armoire] [Armoires],non
armoires ayant servi,800,8,Manufs divers,,ambiguous,,[Armoire ; ayant servi],non
armoires d'acajou,800,8,Manufs divers,,new,,,non
armoires de bois des Indes,800,8,Manufs divers,,new,,,non
armoires de chêne,800,8,Manufs divers,,ambiguous,,[Armoire ; de chesne] [Armoires ; de chesne] [Armoires de chesne],non
armoires de chêne ornée,800,8,Manufs divers,,ambiguous,,[Armoire ; de chêne ; ornée],non
armoires de noyer,800,8,Manufs divers,,ambiguous,,[Armoire de noyer] [Armoires ; de noyer] [Armoires de bois de noyer],non
armoires de sapin,800,8,Manufs divers,,ambiguous,,[Armoire de Sapin],non
armoisin,653,6f,Textiles soie soie mêlée,,ambiguous,[Armoisin],[Armoisin] [Armoisins],non
armure de fer,800,8,Manufs divers,,ambiguous,,[Fer ; en armures],non
armure vieille,800,8,Manufs divers,,ambiguous,,[Armure ; vieilles],non
arpois,999,???,???,,ambiguous,[Arpois],[Arpois],non
arquebuse,800,8,Manufs divers,,existing,,,non
arrosoirs,6,6,6,,ambiguous,,[Arosoirs] [Arozoirs] [Arrosoirs],non
arrosoirs de bois,630,6b,"Bois, liège, jonc",,ambiguous,,[Arrozoirs ; de bois],non
arrosoirs de cuivre,670,6j,Métal,,new,,,non
arrosoirs de fer-blanc,670,6j,Métal,,ambiguous,,[Arosoire de Fer ; blanc] [Arrosoirs de fer blanc] [Arozoirs de fer blanc],non
arrosoirs de sapin,630,6b,"Bois, liège, jonc",,new,,,non
arsenic,500,5,Produits chimiques,,ambiguous,[Arcenic] [Arsenic] [arcenic] [arsenic],[Drogues ; Métalliques ; Arsenic] [Drogues ; Métalliques ; Arsenif] [Drogues ; Pour la teinture ; Arsenie] [Drogues ; chimiques et métalliques ; arsenic] [Arcenic] [Arsenic] [arcenic] [arsenic] [Drogueries ; médecinales ; arsenic] [Drogues; Pour peintures et teintures; Arsenic] [Drogues ; metalliques et chimiques ; arsenic] [Drogues ; pour la peinture et la teinture ; arsenic],non
artichauts,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Artichaux] [Articheaux] [artichaux],non
artichauts confit,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Artichaux ; confits] [Artichaux Confits] [Artichaux confits] [Articheaux confits] [Artichauds confits] [Artichauts confits] [Artichaux confis],non
artichauts frais,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[artichaux fraix] [Artichaux frais],non
artichauts mariné,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Artichaux marinés],non
artichauts secs,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Artichauds secs] [Artichaux secs],non
artifice,800,8,Manufs divers,,ambiguous,[Artiffice] [Artifice],[Artiffice] [Artifice],non
artifice fusées etc.,800,8,Manufs divers,,new,,,non
artillerie,800,8,Manufs divers,,ambiguous,[Artillerie] [Artilleries],[Artillerie] [Artilleries],non
asa foetida,500,5,Produits chimiques,,ambiguous,,[Assa ; fétida] [Assa Fétide] [Assa fassida] [Assa fetida] [Assa foetida] [Assa fétide] [Assafectida] [Assafelida] [Assafetida] [Assafetiva] [Assafeyida] [Assaffetida] [Assaseuda] [Assafétida] [assafoetida] [assafetida],non
asa fœtida,500,5,Produits chimiques,,ambiguous,,[Drogues ; Mêlées ; Asfafélida] [Drogues ; médecinales ; assa factida] [Drogues ; médécinales ; assafétida],non
asperge et scorsionnaire,110,0a,Nourriture européenne et animaux vivants,,existing,,,non
asperges,110,0a,Nourriture européenne et animaux vivants,,,,,non
asphaltum,400,4,Huiles graisses cires végétales animales,,ambiguous,,[Aspolatum] [Asphallum] [Asphalttim] [Asphaltum] [Aspaltum],non
assiette,6,6,6,,ambiguous,[Assiette],[Assiette],non
assiette de Biarritz,660,6k,Autres manufs classés par mat 1ères,,new,,,non
assiette de bois,630,6b,"Bois, liège, jonc",,ambiguous,,[Assiettes ; de bois] [Assiettes en bois],non
assiette de faïence,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[assiette de fayence] [assiettes de fayence] [Assiettes de fayance],non
assiette de porcelaine,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Asiettes de porcelaine],non
assiette de terre,660,6k,Autres manufs classés par mat 1ères,,ambiguous,,[Assietes de terre] [Assiette de Terre] [Assiettes ; de terre] [Assiettes de terre],non
assiette et plats de terre,660,6k,Autres manufs classés par mat 1ères,,new,,,non
asustum,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Asustum],non
attaches de cuivre,670,6j,Métal,,,,,non
attelles de colliers,700,7,Machines et transports,,ambiguous,,[Atelles de colliers] [Attelle de colier] [Attelles ; de coliers] [Attelles ; de colliers] [Attelles de colier] [Attelles de coliera] [Attelles de coliers] [Attelles de collier],non
aube,800,8,Manufs divers,,new,,,non
auchinoise,500,5,Produits chimiques,,ambiguous,,[Drogues ; Metalliques ; Auchinoise],non
auclimes,999,???,???,,new,,,non
auf,200,2,Matières brutes non-comestibles non transformées n.d.a.,x,ambiguous,,[Aeuf] [Auf] [Aul] [Aus] [auf],non
auf ouvré,655,6h,Autres textiles mêlés fibres végétales et toiles,,new,,,non
auf travaillé,655,6h,Autres textiles mêlés fibres végétales et toiles,,new,,,non
augemy,999,???,???,,new,,,non
auges,660,6k,Autres manufs classés par mat 1ères,,new,,,non
auges de carreaux,660,6k,Autres manufs classés par mat 1ères,,new,,,non
augustins,999,???,???,,new,,,non
aurcsats,999,???,???,,existing,,,non
autel de marbre,660,6k,Autres manufs classés par mat 1ères,,new,,,non
avelanèdes,500,5,Produits chimiques transformés n.d.a.,x,new,,,non
avelines,110,0a,Nourriture européenne et animaux vivants,,ambiguous,[Aviron] [Avirond] [Avirons] [averons] [avirons],[Avelines],non
avelines et noisettes sèches,110,0a,Nourriture européenne et animaux vivants,,,,,non
avirons,630,6b,"Bois, liège, jonc",,ambiguous,,[Aviron] [Avirond] [Avirons] [averons] [avirons] [Rames de bateaux/avirons] [Amirons],non
avirons brut,630,6b,"Bois, liège, jonc",,ambiguous,,[Avirons ; bruts],non
avirons de 12 pieds,630,6b,"Bois, liège, jonc",,ambiguous,,[Aviron ; de 12 pieds],non
avirons de 18 pieds,630,6b,"Bois, liège, jonc",,ambiguous,,[Aviron ; de 18 pieds],non
avirons de 30 pieds,630,6b,"Bois, liège, jonc",,ambiguous,,[Aviron ; de 30 pieds],non
avirons de 5 pieds,630,6b,"Bois, liège, jonc",,ambiguous,,[avirons de 5 pieds],non
avirons de 8 à 12 pieds,630,6b,"Bois, liège, jonc",,new,,,non
avirons de bois,630,6b,"Bois, liège, jonc",,ambiguous,,[Ouvrage ; de bois en aviron] [Ouvrages ; De bois ; Aviron] [Ouvrages ; de bois ; avirons] [Ouvrages ; de bois ; en aviron] [Ouvrages ; De bois simple ; Aviron] [Ouvrages ; De bois simples ; Avirons] [Bois en aviron] [Bois en avirons] [Bois ; en aviron],non
avirons poli,630,6b,"Bois, liège, jonc",,ambiguous,,[Avirons ; polis],non
avoine et haricots,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Avoine et haricots],non
avoine et orge etc.,110,0a,Nourriture européenne et animaux vivants,,,,,non
avoine mondée,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Avoine ; mondée],non
avoine moulée,110,0a,Nourriture européenne et animaux vivants,,ambiguous,,[Avoine moulé],non
azur,500,5,Produits chimiques,,ambiguous,,[Drogues ; azur] [Azur] [azur] [azure] [Drogues ; Pour la peinture ; Azur] [Drogue ; pour peinture et teinture ; azur] [Drogueries ; pour la peinture et la teinture ; azur] [Drogueries ; pour peinture et teinture ; azur] [Drogues ; Pour la peinture et la teinture ; Azur] [Drogues ; pour la peinture et la teinture ; azur] [Drogues ; pour peinture et teinture ; azur] [Drogues ; pour teinture ; azur] [3///Matières premières///Azur] [Drogues; Pour peinture et teinture; Azur] [Drogues; Pour peintures et teintures; Azur] [3///Suite des matières premières///Azur] [Drogues ; pour la peinture et teinture ; azur],non
azur commun,500,5,Produits chimiques,,ambiguous,,[Azur ; commain] [Azur ; commun] [Azur ; comun] [Azur Commun] [Azur commun] [Azur commune] [Azur comun] [azur commun] [azur comun] [azur ou bleu commun] [Drogues ; pour peinture ; azur ; commun] [Drogues ; pour peinture et teinture ; azur ; commun] [Drogues ; pour peinture et teinture ; azur ; commune] [agur commun],non
azur et bleu de Prusse,500,5,Produits chimiques,,ambiguous,,[Drogues ; Pour la peinture ; Azur et bleu de Prusse],non
azur et cobalt,500,5,Produits chimiques transformés n.d.a.,x,ambiguous,[Azur et Cobalt] [Azur et cobalt] [Azur et cobalte],[Azur et Cobalt] [Azur et cobalt] [Azur et cobalte],non
azur fin,500,5,Produits chimiques transformés n.d.a.,x,ambiguous,,[Azur fin] [azur fin],non
azur gros,500,5,Produits chimiques,,ambiguous,,[Azur ; gros] [Azur gros] [Drogues ; pour la peinture et la teinture ; azur ; gros],non
babassis,,,,,,,,non
babouches,800,8,Manufs divers,,ambiguous,,[Babus] [Babouches] [babouches] [Babouchar],non
babouches de maroquin,800,8,Manufs divers,,ambiguous,,[Babouches ; de maroquin],non
bac de pierre,660,6k,Autres manufs classés par mat 1ères,,existing,,,non
bac de pierre bleu,660,6k,Autres manufs classés par mat 1ères,,new,,,non
bacs d'1 aime,660,6k,Autres manufs classés par mat 1ères,,new,,,non
