marchandises_simplification,grains,obsolete
planches de sapin de 8 à 10 pieds à 10 sous,Pas grain (0),non
planches de sapin de 8 à 12 pieds,,non
planches de sapin de 8 à 13 pieds,Pas grain (0),non
planches de sapin de 8 à 7 pieds,Pas grain (0),non
planches de sapin de 8 à 9 pieds,Pas grain (0),non
planches de sapin de 8 à 9 pieds à 10 sous,Pas grain (0),non
planches de sapin de 8 à 9 pieds à 12 sous,Pas grain (0),non
planches de sapin de 8 pieds,Pas grain (0),non
planches de sapin de 8 pieds à 12 sous,Pas grain (0),non
planches de sapin de 85 pieds,Pas grain (0),non
planches de sapin de 9 à 10,Pas grain (0),non
planches de sapin de 9 à 10 pieds,Pas grain (0),non
planches de sapin de 9 à 10 pieds à 15 sous,Pas grain (0),non
planches de sapin de 9 à 10-11 pieds,,non
planches de sapin de 9 à 11 pieds,Pas grain (0),non
planches de sapin de 9 à 12 pieds,Pas grain (0),non
planches de sapin de 9 à 13 pieds,Pas grain (0),non
planches de sapin de 9 à 15 pieds,Pas grain (0),non
planches de sapin de 9 pieds,Pas grain (0),non
planches de sapin de Norvège,Pas grain (0),non
planches de sapin de Poméranie,Pas grain (0),non
planches de sapin de rebut,Pas grain (0),non
planches de sapin de rebut de 75 pieds,Pas grain (0),non
planches de sapin demi planches,Pas grain (0),non
planches de sapin duicroco,Pas grain (0),non
planches de sapin fendues,Pas grain (0),non
planches de sapin grand,Pas grain (0),non
planches de sapin pour bordage,Pas grain (0),non
planches de sapin pour grenier,Pas grain (0),non
planches de sapin refendues,Pas grain (0),non
planches de sapin resciées,Pas grain (0),non
planches de serva,Pas grain (0),non
planches de Suisse,Pas grain (0),non
planches de vathout,Pas grain (0),non
planches de wagheschot,Pas grain (0),non
planches demies,Pas grain (0),non
planches dites feuillet,Pas grain (0),non
planches dites feuillet et quartiers,Pas grain (0),non
planches dites genoux de bateaux,Pas grain (0),non
planches dites Noordschedelen de 11 à 12 pieds,Pas grain (0),non
planches dites Noordschedelen de 15 à 16 pieds,Pas grain (0),non
planches du Danemark,Pas grain (0),non
planches en faux,Pas grain (0),non
planches en poutres,Pas grain (0),non
planches et poutrelles de bois de passementerie,Pas grain (0),non
planches lourdes,Pas grain (0),non
planches moyennes,Pas grain (0),non
planches petites,Pas grain (0),non
planches petites de sapin,Pas grain (0),non
planches pour faux,Pas grain (0),non
planches pour grenier,Pas grain (0),non
planches refendues,Pas grain (0),non
planches sciées,Pas grain (0),non
planches sciées de long,Pas grain (0),non
plançons,Pas grain (0),non
plançons courbes,Pas grain (0),non
plançons de chêne,Pas grain (0),non
plantes d'asperge et jets de houblon,Pas grain (0),non
plantes de jasmin,,non
plantes de romarin,Pas grain (0),non
plantes diverses,Pas grain (0),non
plantes herbes racines etc.,Pas grain (0),non
plants d'arbres,Pas grain (0),non
plants d'arbres à fruits,,non
plants d'argent,,non
plants d'artichauts,,non
plants d'asperge,Pas grain (0),non
plants d'oignon,Pas grain (0),non
plants d'oignons,Pas grain (0),non
plants d'oranger,Pas grain (0),non
plants de bois,Pas grain (0),non
plants de bois sauvages,Pas grain (0),non
plants de cédrat,Pas grain (0),non
plants de chinois et fleurs,,non
plants de choux,,non
plants de citronnier,Pas grain (0),non
plants de fleurs,Pas grain (0),non
plants de jardin,Pas grain (0),non
plants de jasmin,Pas grain (0),non
plants de mûrier,Pas grain (0),non
plants de mûriers,,non
plants de rouge d'Espagne,,non
plants de tabac,Pas grain (0),non
plants de vigne,Pas grain (0),non
plaques,Pas grain (0),non
plaques de bois,Pas grain (0),non
plaques de cheminée,Pas grain (0),non
plaques de cornes,Pas grain (0),non
plaques de cuivre,Pas grain (0),non
plaques de cuivre rouge,Pas grain (0),non
plaques de fer,Pas grain (0),non
plaques de fer battu,Pas grain (0),non
plaques de fer de fonte,,non
plaques de four,Pas grain (0),non
plaques en tôle,Pas grain (0),non
plastres,Pas grain (0),non
plat de boire,Pas grain (0),non
plat de grès,Pas grain (0),non
plateaux,Pas grain (0),non
plateaux argentés,Pas grain (0),non
plateaux de bois,Pas grain (0),non
plateaux de cuivre,Pas grain (0),non
plateaux de fer vernis,Pas grain (0),non
plateaux de noyer,,non
plateaux pour fléaux,Pas grain (0),non
plateaux vernis,Pas grain (0),non
plateaux vernis et de cote,Pas grain (0),non
plates de cuivre,Pas grain (0),non
plates de cuivre ciselées et gravées,Pas grain (0),non
plates de cuivre jaune,Pas grain (0),non
plates de cuivre rouge,Pas grain (0),non
plates de fer,Pas grain (0),non
platille,Pas grain (0),non
platille de lin,Pas grain (0),non
platille de lin de Silésie,Pas grain (0),non
platille de retour,Pas grain (0),oui
platille de retour faute de vente,,non
platille des Indes,Pas grain (0),non
platille pour Guinée,Pas grain (0),non
platille roussie,Pas grain (0),non
platines,Pas grain (0),non
platines à cassave,Pas grain (0),non
platines de cuivre,Pas grain (0),non
platines de cuivre et plaques de cuivre,Pas grain (0),non
platines de fer,Pas grain (0),non
platines de fer coulé de fonte,Pas grain (0),non
platines de fusils,Pas grain (0),non
platines de serrure,Pas grain (0),non
platines en lingots,,non
platines minerai,,non
plâtre,Pas grain (0),non
plâtre brut,,non
plâtre calciné ou brut,,non
plâtre calciné ou moulé préparé,,non
plâtre calciné ou moulé soit préparé,,non
plâtre de pierres,Pas grain (0),non
plâtre et pierres ditto,Pas grain (0),non
plâtre et pierres ditto par livre,Pas grain (0),non
plâtre gris,Pas grain (0),non
plâtre moulu,Pas grain (0),non
plâtre moulu soit préparé,,non
plats de bois,Pas grain (0),non
plats de fer,Pas grain (0),non
plats de sapin,Pas grain (0),non
plattile,Pas grain (0),non
plawens,,non
plawens ou codde,,non
pléd,Pas grain (0),non
plesny,Pas grain (0),non
pleviers,Pas grain (0),non
plies sèches,Pas grain (0),non
ploc,Pas grain (0),non
ploc de 30 pieds,Pas grain (0),non
ploc filé,Pas grain (0),oui
ploc non filé,Pas grain (0),non
ploc salé,Pas grain (0),non
plomb,Pas grain (0),non
plomb à gibier,Pas grain (0),non
plomb argenté,Pas grain (0),non
plomb battu ou laminé,,non
plomb brut,Pas grain (0),non
plomb brut en pain,Pas grain (0),non
plomb de caisses de thé,Pas grain (0),non
plomb de chasse,Pas grain (0),non
plomb de pêche,Pas grain (0),non
plomb de soude,Pas grain (0),non
plomb divers,Pas grain (0),non
plomb en barre,Pas grain (0),non
plomb en bloc,Pas grain (0),non
plomb en feuilles,Pas grain (0),non
plomb en grenaille,Pas grain (0),non
plomb en lingot,Pas grain (0),non
plomb en masse,Pas grain (0),non
plomb en pain,Pas grain (0),non
plomb en plaque,Pas grain (0),non
plomb en rolles et travaillé,Pas grain (0),non
plomb en rouleau,Pas grain (0),non
plomb en saumon,Pas grain (0),non
plomb et toutenague,Pas grain (0),non
plomb giboyer,Pas grain (0),non
plomb laminé,Pas grain (0),non
plomb thé,Pas grain (0),non
plomb tuyaux d'orgues,Pas grain (0),non
plomb vieux,Pas grain (0),non
plombagine,,non
plomp de mer,,non
plumes,Pas grain (0),non
plumes à cure-dents,Pas grain (0),non
plumes à écrire,Pas grain (0),non
plumes à écrire d'oie,Pas grain (0),non
plumes à écrire et à lit,Pas grain (0),non
plumes à écrire et à lit duvet et édredon,Pas grain (0),non
plumes à écrire non travaillées,Pas grain (0),non
plumes à lit,Pas grain (0),non
plumes à lit vives,Pas grain (0),non
plumes à manchon,Pas grain (0),non
plumes à phants,Pas grain (0),non
plumes à plumet,Pas grain (0),non
plumes à volant,Pas grain (0),non
plumes apprêtées,Pas grain (0),non
plumes apprêtées à écrire,Pas grain (0),non
plumes apprêtées blanches de parure,,non
plumes apprêtées blanches grandes de parure,,non
plumes apprêtées d'autruche,Pas grain (0),non
plumes apprêtées de coq,,non
plumes apprêtées de parure,,non
plumes apprêtées grandes de parure,,non
plumes apprêtées noires de parure,,non
plumes apprêtées petites de parure,,non
plumes blanches brutes de parure,,non
plumes blanches brutes grandes de parure,,non
plumes brutes,Pas grain (0),non
plumes brutes à écrire,Pas grain (0),non
plumes brutes de parure,,non
plumes brutes et de parure,Pas grain (0),oui
plumes brutes grandes de parure,,non
plumes brutes noires de parure,,non
plumes brutes petites de parure,,non
plumes communes à lit,Pas grain (0),non
plumes cordons gris et jaunes et rouges et à écrire,Pas grain (0),non
plumes cordons jaunes à écrire,Pas grain (0),non
plumes cordons rouges à écrire,Pas grain (0),non
plumes d'aigledon,Pas grain (0),non
plumes d'aiglon,Pas grain (0),non
plumes d'autruche,Pas grain (0),non
plumes d'autruche à écrire,Pas grain (0),non
plumes d'autruche blanches,Pas grain (0),non
plumes d'autruche brutes,Pas grain (0),non
plumes d'autruche crues,Pas grain (0),non
plumes d'autruche crues et noires,Pas grain (0),non
plumes d'autruche et autres de parure,Pas grain (0),non
plumes d'autruche et de vautour,Pas grain (0),non
plumes d'autruche noires,Pas grain (0),non
plumes d'autruche ouvrées,Pas grain (0),non
plumes d'édredon,Pas grain (0),non
plumes d'oie,Pas grain (0),non
plumes d'oie à lit,Pas grain (0),non
plumes d'oiseaux,Pas grain (0),non
plumes de coq,Pas grain (0),non
plumes de lin,Pas grain (0),non
plumes de poule,,non
plumes de soie,Pas grain (0),non
plumes duvet,Pas grain (0),non
plumes en ???,Pas grain (0),non
plumes idem,Pas grain (0),non
plumes mortes,Pas grain (0),non
plumes mortes à lit,Pas grain (0),non
plumes noire,Pas grain (0),non
plumes ouvrées,Pas grain (0),non
plumes pour dévidoir,Pas grain (0),non
plumes pour duvet,,non
plumes teintes,Pas grain (0),non
plumes vives,Pas grain (0),non
plumes vives à lit,Pas grain (0),non
plumets,Pas grain (0),non
plumets pour chapeaux,Pas grain (0),non
pluviers,Pas grain (0),non
poches de peau,Pas grain (0),non
poêles,Pas grain (0),non
poêles à chauffer,Pas grain (0),non
poêles à feu,Pas grain (0),non
poêles à frire,Pas grain (0),non
poêles à frire de fer,Pas grain (0),non
poêles à frire de fer battu,Pas grain (0),non
poêles d'airain,Pas grain (0),non
poêles de faïence,Pas grain (0),non
poêles de fer,Pas grain (0),non
poêles de fer à feu,Pas grain (0),non
poêles de fer et leurs tuyaux,Pas grain (0),non
poêles de feu à frire,Pas grain (0),non
poêles de terre,Pas grain (0),non
poêlons de cuivre,Pas grain (0),non
poêlons de fer,Pas grain (0),non
poids,Pas grain (0),non
poids à peser,Pas grain (0),non
poids de fer,Pas grain (0),non
poids de fonde,Pas grain (0),non
poids de plomb,Pas grain (0),non
poignards de traite et sabres,Pas grain (0),oui
poignards et sabres de traite,,non
poignées pour sabres,Pas grain (0),non
poignets de chemise,Pas grain (0),non
poil,Pas grain (0),non
poil blanc,Pas grain (0),non
poil brossiers et rognures,,non
poil d'autruche en laine pour faire lisière,,non
poil d'élan et de lièvre,Pas grain (0),non
poil d'Espagne d'argent,Pas grain (0),non
poil de ???,Pas grain (0),non
poil de bœuf,Pas grain (0),non
poil de bœuf c'est de la laine,Pas grain (0),non
poil de bœuf et de vache,Pas grain (0),non
poil de bœuf filé,,oui
poil de bouc,Pas grain (0),non
poil de carton,Pas grain (0),non
poil de castor,Pas grain (0),non
poil de castor et d'élan,Pas grain (0),non
poil de chameau,Pas grain (0),non
poil de chameau et de chèvre,Pas grain (0),non
poil de chameau et de chèvre et de lièvre,Pas grain (0),non
poil de chameau et de lièvre,Pas grain (0),non
poil de cheval,Pas grain (0),non
poil de chèvre,Pas grain (0),non
poil de chèvre et de lapin et de lièvre,Pas grain (0),non
poil de chèvre filé,Pas grain (0),oui
poil de chèvre non filé,Pas grain (0),non
poil de chèvre simple,Pas grain (0),non
poil de chevreau,Pas grain (0),non
poil de chevrotin,Pas grain (0),non
poil de coton,Pas grain (0),non
poil de laine,Pas grain (0),non
poil de lapin,Pas grain (0),non
poil de lapin et de lièvre,Pas grain (0),non
poil de lièvre,Pas grain (0),non
poil de loup,Pas grain (0),non
poil de porc,Pas grain (0),non
poil de porc et poil de sanglier,Pas grain (0),non
poil de sanglier,Pas grain (0),non
poil de vache,Pas grain (0),non
poil de vache et autres plocqs,,non
poil et cheveux,Pas grain (0),non
poil pour doublage,Pas grain (0),non
poil propre à la chapellerie et à la filature,,non
poinade,Pas grain (0),non
poinçon neuf et vide,Pas grain (0),non
point d'argent et d'or,Pas grain (0),non
point d'Espagne d'argent,Pas grain (0),non
point d'Espagne d'argent et d'or,Pas grain (0),non
point d'Espagne d'or,Pas grain (0),non
point d'Espagne et ruban or et argent,Pas grain (0),non
point d'or,Pas grain (0),non
point de Hongrie,Pas grain (0),non
pointes de bâts,Pas grain (0),non
pointes de bois,Pas grain (0),non
pointes de bois pour bâts,,non
pointes de corne,Pas grain (0),non
pointes de Hongrie,,non
pointes de queues de martre,Pas grain (0),non
pointes pour bâtir de bois,Pas grain (0),non
poireaux,,non
poires,Pas grain (0),non
poires de coing,Pas grain (0),non
poires du bon chrétien,Pas grain (0),non
poires du bon chrétien et de coing,Pas grain (0),non
poires en pommes,Pas grain (0),non
poires et pommes,Pas grain (0),non
poires et pommes communes,Pas grain (0),non
poires et pommes fraîches,Pas grain (0),non
poires et pommes sèches,Pas grain (0),non
poires fraîches,Pas grain (0),non
poires sèches,Pas grain (0),non
pois,Substituts (4),non
pois blancs,Substituts (4),non
pois chiches,Substituts (4),non
pois communs,Substituts (4),non
pois d'Espagne,Substituts (4),non
pois de Bourgogne,Pas grain (0),non
pois en gerbe,Substituts (4),non
pois et fève et haricot,Substituts (4),non
pois et fèves,Substituts (4),non
pois fayolles,Substituts (4),non
pois résine,,non
pois secs,Substituts (4),non
pois verts,Substituts (4),non
poisson,Pas grain (0),non
poisson ???,Pas grain (0),non
poisson anchois,Pas grain (0),non
poisson blanc,Pas grain (0),non
poisson blanc et petit,Pas grain (0),non
poisson d'eau douce,Pas grain (0),non
poisson d'eau douce frais,Pas grain (0),non
poisson d'eau douce frais préparé,,non
poisson de mer,Pas grain (0),non
poisson de mer 196 lignes,,non
poisson de mer de pêche française,,non
poisson de mer divers,Pas grain (0),non
poisson de mer frais,Pas grain (0),non
poisson de mer frais fumé salé ou sec,,non
poisson de mer frais salé et sec,,non
poisson de mer mariné à l'huile,,non
poisson de mer salé,Pas grain (0),non
poisson de mer salé divers,Pas grain (0),non
poisson de mer salé et mariné,Pas grain (0),non
poisson de mer salé et mariné ??? blanc,Pas grain (0),non
poisson de mer salé ou mariné,Pas grain (0),non
poisson de mer sec,Pas grain (0),non
poisson divers salé,Pas grain (0),non
poisson en adobe,Pas grain (0),non
poisson en anchois,Pas grain (0),non
poisson en daube,Pas grain (0),non
poisson frais,Pas grain (0),non
poisson frais de mer,Pas grain (0),non
poisson frais et gros,Pas grain (0),non
poisson frais et mariné et salé,Pas grain (0),non
poisson frais et petit,Pas grain (0),non
poisson frais et salé,Pas grain (0),non
poisson frais menu,,non
poisson frit,Pas grain (0),non
poisson frit et gros,Pas grain (0),non
poisson frit salé,,non
poisson mariné,Pas grain (0),non
poisson salé,Pas grain (0),non
poisson salé et frais,Pas grain (0),non
poisson salé et mariné,Pas grain (0),non
poisson salé morue accompagnée de ???,Pas grain (0),non
poisson sec,Pas grain (0),non
poivre,Pas grain (0),non
poivre à meules,,non
poivre blanc,Pas grain (0),non
poivre blanc-noir,Pas grain (0),non
poivre brun,Pas grain (0),non
poivre commun,Pas grain (0),non
poivre concassé,Pas grain (0),non
poivre des entrepôts,,non
poivre des Indes,Pas grain (0),non
poivre dit maniquette,Pas grain (0),non
poivre doux,Pas grain (0),non
poivre en grabeau,Pas grain (0),non
poivre en grains,Pas grain (0),non
poivre en poussière,Pas grain (0),non
poivre giroflé,Pas grain (0),non
poivre long,Pas grain (0),non
poivre noir,Pas grain (0),non
poivre ordinaire,Pas grain (0),non
poivre piment,Pas grain (0),non
poivre rond,Pas grain (0),non
poivre vert,Pas grain (0),non
poix,Pas grain (0),non
poix blanche,Pas grain (0),non
poix blanche et noire et résines,Pas grain (0),non
poix blanche et résines,Pas grain (0),non
poix grasse,Pas grain (0),non
poix molle,Pas grain (0),non
poix noire,Pas grain (0),non
poix noire et poix blanche,Pas grain (0),non
poix ou galipot,,non
poix résines,Pas grain (0),non
poix terck daguet goudron,Pas grain (0),non
polimi,Pas grain (0),non
polimi de poil,Pas grain (0),non
polimi gris,Pas grain (0),non
polipode,Pas grain (0),non
polonaises,Pas grain (0),non
pomargues,,non
pomelles à voiliers,Pas grain (0),non
pommade,Pas grain (0),non
pommade commune,Pas grain (0),non
pommade de senteur,Pas grain (0),non
pommade et poudre,,non
pommade et savonnettes,Pas grain (0),non
pommeaux de cuivre doré,Pas grain (0),non
pommes,Pas grain (0),non
pommes d'api,Pas grain (0),non
pommes de cannes,Pas grain (0),non
pommes de grenade,Pas grain (0),non
pommes de paradis,,non
pommes de rainettes,Pas grain (0),non
pommes de terre,Pas grain (0),non
