orthographic,nbr_occurences_ortho,simplification,nbr_occurences_simpl
aurcsats étoile,1,aurcsats étoile,1
aussière,2,aussière,2
autel de marbre,2,autel de marbre,2
autres,3,divers,40
autres céréales farine,1,farine,1196
autres céréales grains,2,grains,4
autres céréales grains de la Corse,1,grains de la Corse,1
autres comestibles,1,comestibles,32
autres couleurs autrement préparées,1,couleurs autrement préparées,1
autres couleurs préparées à l'huile,1,couleurs préparées à l'huile,1
autres denrées,1,divers,40
autres drogueries,1,drogues,1028
autres marchandises,1,divers,40
autres marchandises anglaises,1,marchandises anglaises,1
autres marchandises permises,1,marchandises permises,3
autres matériaux de construction,1,matériaux de construction,6
autres matières minérales de toute sorte,1,matières minérales,1
autres métaux,1,métaux,2
autres outils de fer rechargé d'acier,1,outils de fer rechargé d'acier,2
autres outils de pur acier,1,outils d'acier pur,2
autres outils de pur fer,1,outils de fer pur,2
autres pour la pêche à la morue,1,outils de pêche à la morue,6
autres pour la pêche au poisson frais,1,outils de pêche au poisson frais,1
autres pour la pêche aux moules,1,outils de pêche aux moules,1
aux sables et aux goëmon,2,goëmon et sable,2
aux travaux du Roi,2,aux travaux du Roi,2
avelanèdes,5,avelanèdes,8
"avelanèdes, valonèdes ou vallonées",3,avelanèdes,8
avelines,5,avelines,5
aviron,1,avirons,469
avirons,468,avirons,469
avirons bruts,17,avirons bruts,17
avirons de 12 pieds,1,avirons de 12 pieds,1
avirons de 18 pieds,1,avirons de 18 pieds,1
avirons de 30 pieds,1,avirons de 30 pieds,1
avirons de 5 pieds,1,avirons de 5 pieds,1
avirons de 8 à 12,1,avirons de 8 à 12 pieds,1
avirons de chêne,1,avirons de chêne,1
avirons de sapin,1,avirons de sapin,1
avirons et rames bruts,1,avirons et rames bruts,1
avirons et rames façonnés,1,avirons et rames façonnés,1
avirons polis,1,avirons polis,1
avoine,334,avoine,335
avoine en gerbes,1,avoine en gerbes,1
avoine et haricots,1,avoine et haricots,1
avoine mondée,1,avoine mondée,1
avoine moulée,1,avoine moulée,1
avoine orge etc.,1,avoine et orge etc.,1
azur,347,azur,378
azur commun,196,azur commun,200
azur et cobalt,3,azur et cobalt,3
azur fin,13,azur fin,13
azur gros,19,azur gros,22
azur ou bleu commun,1,azur commun,200
babouches,77,babouches,77
babouches de maroquin,2,babouches de maroquin,2
bacs contenant une aime,1,bacs d'1 aime,1
bacs de pierre,1,bacs de pierre,1
bacs de pierre bleue,1,bacs de pierre bleue,1
bacs de pierre contenant 1 aime,1,bacs de pierre d'1 aime,1
bacs de pierre contenant 4 aimes,1,bacs de pierre de 4 aimes,1
bacs de pierre de demi d'aime,1,bacs de pierre de demi d'aime,1
bacs de pierre de moindre classe,1,bacs de pierre de moindre classe,1
bacs de pierre de trois-quart d'aime,1,bacs de pierre de trois-quart d'aime,1
bacs de pierre en dessous d'1 aime,1,bacs de pierre en dessous d'1 aime,1
bacs de pierre en dessus d'1 aime,1,bacs de pierre en dessus d'1 aime,1
badiane,1,badiane,16
badiane ou anis étoilé,1,badiane,16
baffetas,89,taffetas,196
baffetas blanc,19,baffetas blanc,19
baffetas bleu,26,baffetas bleu,26
bafs ?,1,bafs ?,1
bagages,1,bagages,1
bagarot,1,bagarot,1
bagues,2,bagues,2
bagues à pierres fausses,1,bagues à pierres fausses,1
bagues d'or,1,bagues d'or,1
bagues de cuivre,2,bagues de cuivre,2
bagues de laiton,1,bagues de laiton,1
bagues de verre,3,bagues de verre,3
baguettes,6,baguettes,6
baguettes à chandelle,1,baguettes à chandelle,1
baguettes à fusils,4,baguettes de fusil,35
baguettes de bois,1,baguettes de bois,1
baguettes de bois doré,1,baguettes de bois doré,1
baguettes de cuivre,1,baguettes de cuivre,3
baguettes de fer pour fusils,1,baguettes de fer à fusil,1
baguettes de fusils,31,baguettes de fusil,35
baguettes étoffe,2,baguettes à étoffe,2
bahuts,19,bahuts,19
baie de laurier,16,baie de laurier,18
baies de buis,1,baies de buis,1
baies de genièvre,2,baies de genièvre,2
baignes,1,baignes,1
baignoires,2,baignoires,2
baignoires de cuivre,1,baignoires de cuivre,4
baignoires de sapin,1,baignoires de sapin,1
baignoires de tôle,2,baignoires de tôle,2
baigots,1,baigots,1
baillarge,4,baillarge,4
bailles,1,bailles,1
baïonnettes,9,baïonnettes,12
bais de bois de chêne,1,bais de bois de chêne,1
bajutapau,181,bajutapau,212
"bajutapau, canelis, etc.",3,"bajutapau, canelis, etc.",3
balais,34,balais,36
balais communs,1,balais communs,1
balais coupés,1,balais coupés,1
balais de bois,8,balais de bois,9
balais de brandes,1,balais de brandes,1
balais de bruyère,9,balais de bruyère,9
balais de chanvre,1,balais de chanvre,1
balais de crin,10,balais de crin,10
balais de foyer,1,balais de foyer,1
balais de jonc,36,balais de jonc,36
balais de jonc petits,1,balais de jonc petits,1
balais de laine à laver les planchers,1,balais de laine à laver les planchers,1
balais de millet,2,balais de millet,2
balais de paille,2,balais de paille,2
balais de paille de riz,5,balais de paille de riz,5
balais de palme,242,balais de palme,242
balais de palme grands,2,balais grands de palme,2
balais de palme petits,1,balais de palme petits,1
balais de plumes,2,balais de plumes,2
balais de poil,2,balais de poil,2
balais de riz,4,balais de riz,4
balais de soie,6,balais de soie,6
balais de soie de porcs,17,balais de soie de porcs,18
balais de soie en porcs,1,balais de soie de porcs,18
balais de toile,1,balais de toile,1
balais divers,2,balais,36
balais du roi,1,balais du roi,1
balais fins,1,balais fins,1
balais ou ramons,1,balais ou ramons,1
balance,5,balance,5
balance à la romaine,1,balance à la romaine,1
balance complète,1,balance complète,1
balance de bois,1,balance de bois,1
balance de cuivre,4,balance de cuivre,6
balance de cuivre jaune,1,balance de cuivre jaune,1
balance et poids de cuivre,1,balance et poids de cuivre,1
balance et romaine,3,balance romaine,3
balance et ses poids,1,balance et ses poids,1
balance petite,1,balance petite,1
baleine,13,baleine,13
baleine apprêtée,1,baleine apprêtée,1
baleine coupée,473,baleine coupée,474
baleine coupée en fanon,1,baleine coupée en fanon,1
baleine coupée et en fanon,4,baleine coupée et en fanon,4
baleine de fanon,1,baleine en fanon,202
baleine de sarde,16,baleine de sarde,16
baleine de sarde en fanon,1,baleine en fanon et de sarde,1
baleine en fanon,199,baleine en fanon,202
baleine fanon,2,baleine en fanon,202
baleine non sciée,1,baleine non sciée,1
baleine sciée ou coupée,1,baleine coupée,474
baleine taillée,1,baleine taillée,1
balfas,1,taffetas,196
balles,2,balles,2
balles à jouer,2,balles à jouer,2
balles d'osier,2,balles d'osier,2
balles de fer uni,1,balles de fer uni,1
balles de jonc,1,balles de jonc,1
balles de laine,1,balles de laine,1
balles de palme,1,balles de palme,1
balles de plumes,1,balles de plumes,1
balles vides,1,balles vides,1
ballons de sapin,1,ballons en sapin,1
balloterie,2,ballots,3
ballots,1,ballots,3
ballots d'étoffes,1,ballots d'étoffes,1
balustres,11,balustres,11
bamboches,1,bamboches,1
bambous,4,bambous,4
banastron,1,banastron,1
banc à couper la paille,1,banc à couper la paille,1
banc de sapin,1,banc de sapin,1
bandages,4,bandages,4
bandages de peaux,5,bandages de peaux,5
bandages de soldats,1,bandages pour soldats,1
bandeaux,2,bandeaux,2
banderoles,1,banderoles,1
banderoles de cuir,2,banderoles de cuir,2
bandoulières garnies d'argent,1,bandoulières garnies d'argent,1
bannettes d'osier,1,bannettes d'osier,1
bannettes de cuir,1,bannettes de cuir,1
bannière de Damas,1,bannière de Damas,1
banquette,4,banquette,4
baquelets,1,baquelets,1
baquets,2,baquets,2
baquets à jeter l'eau,1,baquets à jeter l'eau,1
baquets de rechange,1,baquets de rechange,1
baquets de sapin,1,baquets de sapin,1
baracan,55,baracan,67
baracan aune,1,baracan,67
baracan d'Abbeville,1,baracan d'Abbeville,1
baracan de laine,3,baracan de laine,14
baracan de Lille,1,baracan de Lille,1
baratte,1,baratte,1
barbançons,6,barbançons,6
barbançons de grès,12,barbançons de grès,12
barbançons de terre,15,barbançons de terre,15
barbançons de terre de grès,1,barbançons de terre de grès,1
barbançons de verre,1,barbançons de verre,1
barbe de baleine,8,barbe de baleine,8
barbotine,2,barbotine,3
barbues,1,barbues,1
barbues couvertes d'étamine,1,barbues couvertes d'étamine,1
barbues de grès,13,barbues de grès,14
barbues de terre,1,barbues de terre,1
barbues et grès,1,barbues de grès,14
bardes diverses,5,bardes,5
barilleau,4,barilleau,4
barils,7,barils,7
barils à poudre,5,barils à poudre,5
barils à saler sardines,1,barils pour saler sardines,1
barils ancres,1,barils ancres,1
barils de chêne,1,barils de chêne,1
barils de sapin,1,barils de sapin,1
barils de vin de ???,1,barils de vin de ???,2
barils neufs,1,barils neufs,1
barils petits,2,barils petits,2
barils vides,88,barils vides,88
barils vides de sardines,2,barils vides de sardines,2
barils vieux,1,barils vieux,1
barils vin de ???,1,barils de vin de ???,2
barois,2,barois,2
baromètre,3,baromètre,3
barques,2,barques,2
barques démontées,1,barques démontées,1
barques en bottes,1,barques en bottes,1
barquettes,1,barquettes,1
barquettes et nacelles,1,barquettes et nacelles,1
barquettes vieilles,1,barquettes vieilles,1
barreaux,3,barreaux,3
barreaux de sapin,2,barreaux de sapin,2
barreaux de sapin de 10 pieds,1,barreaux de sapin de 10 pieds,1
barreaux neufs,1,barreaux neufs,1
barres,2,barres,2
barres à nègre,1,barres à nègre,1
barres d'anspects,69,barres d'anspects,72
barres d'anspects sans dénomination et grandeur,1,barres d'anspects,72
barres de barriques,1,barres de barrique,1
barres de bois,24,barres de bois,26
barres de bois de chêne,1,barres de chêne,1
barres de cabestan,50,barres de cabestan,51
barres de cabestan barres d'anspects,1,barres d'anspects et barres de cabestan,1
barres de chêne petites,1,barres de chêne petites,1
barres de futel,1,barres de futel,1
barres de guindeau,44,barres de guindeau,44
barres de sapin,1,barres de sapin,1
barres de sapin de 3 à 4 pieds,1,barres de sapin de 3 à 4 pieds,1
barres de sapin pour fonçaille,1,barres de sapin pour fonçaille,1
barres maître-fond,1,barres maître-fond,1
barres pour édifices,1,barres pour édifices,1
barres pour édifiées,1,barres pour édifiées,1
barretons d'or,1,barretons d'or,1
barrettes,1,barrettes,1
barrettes de cuivre,1,barrettes de cuivre,3
barriques,2,barriques,54
barriques à eau,1,barriques à eau,2
barriques à l'eau,1,barriques à eau,2
barriques cerclées et fer,1,barriques cerclées de fer,1
barriques en bœuf,1,barriques en bœuf,1
barriques en bottes,52,barriques,54
barriques muid,5,barriques vides,94
barriques neuves,5,barriques neuves,5
barriques vides,87,barriques vides,94
barriques vides cerclées de fer,1,barriques cerclées de fer et vides,1
barriques vides vides,2,barriques vides,94
barriques vides vieilles,10,barriques vides vieilles,48
barriques vieille muid,3,barriques vides vieilles,48
barriques vieilles,20,barriques vieilles,20
barriques vieilles à vide,1,barriques vides vieilles,48
barriques vieilles et vides,2,barriques vides vieilles,48
barriques vieilles vides,32,barriques vides vieilles,48
bas,1,bas,5
bas assortis,1,bas,5
bas assortis de toute qualité,1,bas,5
bas communs,2,bas communs,2
bas coton,2,bas de coton,392
bas coton et fil,2,bas de coton et bas de fil,142
bas d'estame,53,bas d'estame,53
bas d'estame fins,2,bas d'estame fins,2
bas d'étoffe,1,bas d'étoffe,1
bas de bourre de soie,2,bas de bourre de soie,6
bas de Carcassone,1,bas de Carcassone,1
bas de castor,4,bas de castor,4
bas de chamois,16,bas de chamois,16
bas de coton,351,bas de coton,392
bas de coton de femme,1,bas de coton de femme,1
bas de coton en paires,1,bas de coton en paires,1
bas de coton et fil,13,bas de coton et bas de fil,142
bas de coton fil,1,bas de coton et bas de fil,142
bas de coton fil et soie,1,bas de coton et bas de fil et bas de soie,1
bas de coton pour enfant,1,bas de coton pour enfant,1
bas de coton pour femme,1,bas de coton pour femme,1
bas de coton pour homme,1,bas de coton pour homme,1
bas de coutil,1,bas de coutil,1
bas de fil,492,bas de fil,548
bas de fil à coton,1,bas de coton et bas de fil,142
bas de fil commun,21,bas de fil commun,21
bas de fil d'or,2,bas de fil d'or,2
bas de fil de coton,5,bas de coton et bas de fil,142
bas de fil de coton par paires,1,bas de coton et bas de fil par paires,1
bas de fil divers,1,bas de fil divers,1
bas de fil en paires,1,bas de fil par paires,3
bas de fil et bonnets,2,bas de fil et bonnets,2
bas de fil et coton,107,bas de coton et bas de fil,142
bas de fil et laine,1,bas de fil et bas de laine,1
bas de fil par paires,2,bas de fil par paires,3
bas de fil pour femme,2,bas de fil et pour femme,2
bas de fil pour homme,1,bas de fil et pour homme,1
bas de filoselle,137,bas de filoselle,139
bas de Flandre d'homme,1,bas de Flandre d'homme,1
bas de Flandre de femme,1,bas de Flandre de femme,1
bas de flans,1,bas de flans,1
bas de fleuret,39,bas de fleuret,40
bas de la laine,1,bas de laine,479
bas de laine,440,bas de laine,479
bas de laine communs,9,bas de laine communs,9
bas de laine d'homme,1,bas de laine d'homme,1
bas de laine de Ségovie,3,bas de laine de Ségovie,3
bas de laine écarlate,2,bas de laine écarlate,2
bas de laine et coton,1,bas de coton et laine,1
bas de laine fins,17,bas de laine fin,17
bas de laine grossière,2,bas de laine grossière,21
bas de laine grossiers,19,bas de laine grossière,21
bas de laine par paires,1,bas de laine par paires,2
bas de mulet,1,bas de mulet,1
bas de peau,7,bas de peau,7
bas de poil,6,bas de poil,6
bas de Saint-Maixant,7,bas de Saint-Mexant,7
bas de Ségovie,2,bas de Ségovie,2
bas de soie,855,bas de soie,938
bas de soie à coins d'argent,1,bas de soie à coins d'argent,1
bas de soie à coins d'or,2,bas de soie à coins d'or,2
bas de soie à coins d'or et d'argent,2,bas de soie à coins d'or et bas de soie à coins d'argent,2
bas de soie à crin d'or,1,bas à crin d'or et de soie,1
bas de soie brodés,1,bas de soie brodés,1
bas de soie brodés d'or,1,bas de soie brodés d'or,1
bas de soie brodés or et argent,1,bas de soie brodés d'or et bas de soie brodés d'argent,1
bas de soie d'homme,7,bas de soie pour homme,26
bas de soie de femme,5,bas de soie pour femme,25
bas de soie de la Chine,1,bas de soie de Chine,1
bas de soie de la Chine pour femme,1,bas de soie de Chine pour femme,1
bas de soie de la Chine pour homme,1,bas de soie de Chine pour homme,1
bas de soie pour femme,20,bas de soie pour femme,25
bas de soie pour homme,19,bas de soie pour homme,26
bas de soie pour teindre,1,bas de soie pour teindre,1
bas de soie vieux,3,bas de soie vieux,3
bas de toile,1,bas de toile,1
bas des Îles et des Indes divers,1,bas des Îles et des Indes,1
bas divers,2,bas,5
bas drapés,1,bas drapés,1
bas écriers,1,bas écriers,1
bas et bonnets de castor,1,bas et bonnets de castor,1
bas et bonnets de coton,29,bas de coton et bonnets de coton,30
bas et bonnets de fil,4,bas et bonnets de fil,4
bas et bonnets de laine,2,bas de laine et bonnets de laine,7
bas et bonnets en coton,1,bas de coton et bonnets de coton,30
bas et gants de soie,1,bas de soie et gants de soie,1
bas et mitaines de soie bas,1,mitaines de soie,2
bas et mitaines de soie mitaines,1,bas de soie,938
bas étrillés,1,bas étrillés,1
bas fil et coton,12,bas de coton et bas de fil,142
bas gants et bonnets de laine,2,bas de laine et gants de laine et bonnets de laine,2
bas gants et bonnets de laine fil et coton,2,bas gants et bonnets de laine fil et coton,2
bas grossiers,4,bas grossiers,4
bas laine par paires,1,bas de laine par paires,2
bas poil et soie,2,bas de poil et bas de soie,3
bas pour femme,1,bas pour femme,1
bas pour homme,1,bas pour homme,1
bas soie et coton,1,bas de coton et bas de soie,1
bas soie et laine,1,bas de laine et bas de soie,1
bas soie et poil,1,bas de poil et bas de soie,3
bas-relief de marbre,1,bas-relief de marbre,1
basanes,35,basanes,35
basanes apprêtées,1,basanes apprêtées,1
basanes de mouton,9,basanes de mouton,9
basanes de mouton tannées,2,basanes de mouton tannées,2
basanes de veau,4,basanes de veau,4
basanes de veau tannées,7,basanes tannées de veau,8
basanes tanées,2,basanes tannées,182
basanes tannées,180,basanes tannées,182
basanes tannées de veau,1,basanes tannées de veau,8
basin,503,basin,532
basin aune,1,basin,532
basin blanc,3,basin blanc,3
basin blanc de 10 aunes,1,basin blanc de 10 aunes,1
basin blanc de 11 aunes,1,basin blanc de 11 aunes,1
basin brodé,7,basin brodé,7
basin commun,16,basin commun,16
basin de Bruges écru en pièces de 115 aunes,1,basin de Bruges écru de 115 aunes,1
basin de Godelour,1,basin de Godelour,1
basin de Rouen,1,basin de Rouen,1
basin de soie,1,basin de soie,1
basin de Troyes,11,basin de Troyes,11
basin des Indes,46,basin des Indes,47
basin en aune,1,basin en aunes,1
basin fibres coton,1,basin coton,1
