item,group
éventails de papier,not a medical product
éventails de porcelaine,not a medical product
éventails de taffetas,not a medical product
éventails des Indes,not a medical product
éventails et papier dito,not a medical product
éventails fins,not a medical product
éventails fins et d'ivoire,not a medical product
éventails incrustés d'or et de nacre de perles,not a medical product
éventails par douzaines,not a medical product
éventails sur écaille,not a medical product
éviers,not a medical product
extrait ???,not a medical product
extrait d'odeur,not a medical product
extrait de citron,not a medical product
extrait de genièvre,narrow medical product
extrait de lavande,broad medical product
facheaux de bois à brûler,not a medical product
fagots,not a medical product
fagots de bois,not a medical product
fagots de bois à brûler,not a medical product
faïence,not a medical product
faïence commune,not a medical product
faïence de Rouen,not a medical product
faïence diverse,not a medical product
faïence du Faubourg Saint-Antoine,not a medical product
faïence en ???,not a medical product
faïence en Versaille,not a medical product
faïence et porcelaine et poterie,not a medical product
faïence et poterie,not a medical product
faïence et poterie de grès et de terre,not a medical product
faïence et poterie et verrerie,not a medical product
faïence pour cheminée,not a medical product
faïence pour jardin,not a medical product
failles de laine,not a medical product
fais vieux,not a medical product
faisans,not a medical product
faîteaux,not a medical product
faitiers,not a medical product
falquieres de mulet,not a medical product
faltranck suisse,not a medical product
fanal de vaisseaux,not a medical product
fanal de verre,not a medical product
faneaux de fer-blanc,not a medical product
fange de soie,not a medical product
fanon,not a medical product
fanon de baleine,not a medical product
farine,not a medical product
farine d'avoine,not a medical product
farine d'orge,not a medical product
farine d'orge et gruau,not a medical product
farine de bouquette,not a medical product
farine de fleurs,not a medical product
farine de grain blé,not a medical product
farine de grain blé et froment,not a medical product
farine de grain froment,not a medical product
farine de grain froment fleur,not a medical product
farine de Mayoc,not a medical product
farine de sarrasin,not a medical product
farine de seigle,not a medical product
farine diverse,not a medical product
farine en déchet,not a medical product
farine en fleurs,not a medical product
farine en gruau,not a medical product
farine et biscuit,not a medical product
farine et biscuit de mer,not a medical product
farine et biscuit de mer et pâte,not a medical product
farine et biscuit de mer et pâte d'Italie,not a medical product
farine et biscuit et gruau,not a medical product
farine et biscuit et pâte,not a medical product
farine et gruau et pâte,not a medical product
farine et pâte d'Italie,not a medical product
farine et pâte d'Italie et vermicelle,not a medical product
farine et pâte et vermicelle,not a medical product
farine fleurs de froment,not a medical product
farine gruau,not a medical product
farine ordinaire,not a medical product
fascines de bois,not a medical product
faucilles,not a medical product
faucilles et faux,not a medical product
faucilles et faux et fil de laiton et limes,not a medical product
faucilles et quincaillerie d'acier,not a medical product
fautas,not a medical product
faute,not a medical product
fauteuils de bois,not a medical product
fauteuils de canne,not a medical product
fauteuils de cuir de Russie,not a medical product
fauteuils de jonc,not a medical product
fauteuils de paille,not a medical product
fauteuils de tapisserie,not a medical product
fauteuils de tapisserie petit point,not a medical product
fauteuils et chaises de canne,not a medical product
fauteuils et chaises de poste,not a medical product
fauteuils et chaises de rotin,not a medical product
faux,not a medical product
faux à faucher,not a medical product
faux et faucilles,not a medical product
favelottes,not a medical product
favelottes en gerbe,not a medical product
fayaux,not a medical product
fayoles,not a medical product
fayots,not a medical product
fébrifuge,not a medical product
fenouil,not a medical product
fenugrec,narrow medical product
fer,not a medical product
fer à cardes,not a medical product
fer à cheval,not a medical product
fer à coiffer,not a medical product
fer à friser,not a medical product
fer à la valeur,not a medical product
fer à lames,not a medical product
fer à moulins,not a medical product
fer à mulets,not a medical product
fer à nègre,not a medical product
fer à repasser,not a medical product
fer battu,not a medical product
fer battu et fondu,not a medical product
fer battu et ouvrages de fer,not a medical product
fer bleu,not a medical product
fer brut,not a medical product
fer brut de fonte,not a medical product
fer carré,not a medical product
fer caverges,not a medical product
fer coudé,not a medical product
fer coulé,not a medical product
fer coulé et de fonte,not a medical product
fer coulé figuré,not a medical product
fer coulé ou de fonte,not a medical product
fer courbe,not a medical product
fer cullière,not a medical product
fer de charrues,not a medical product
fer de fonte,not a medical product
fer de fonte ouvert,not a medical product
fer de lin cierge,not a medical product
fer de Sibérie,not a medical product
fer de tôle,not a medical product
fer de toute sorte,not a medical product
fer de traite,not a medical product
fer de voyage,not a medical product
fer dhipsium,not a medical product
fer en ?,not a medical product
fer en ballon,not a medical product
fer en bandes,not a medical product
fer en barils,not a medical product
fer en batterie,not a medical product
fer en bocages,not a medical product
fer en bottes,not a medical product
fer en boue,not a medical product
fer en casse,not a medical product
fer en caverge,not a medical product
fer en chaudronnerie,not a medical product
fer en choux,not a medical product
fer en crapaudines,not a medical product
fer en culture,not a medical product
fer en écopes,not a medical product
fer en fafion,not a medical product
fer en feuilles doubles,not a medical product
fer en fonte,not a medical product
fer en fourrure,not a medical product
fer en grenaille,not a medical product
fer en grenailles,not a medical product
fer en grillons,not a medical product
fer en guéné,not a medical product
fer en gueuse,not a medical product
fer en laine,not a medical product
fer en laiton,not a medical product
