goods_simpl_classification,nbr_occurences_simpl,grains_classification,obsolete,nbr_occurences_grains
arrosoirs de terre,1,Pas grain (0),non,539069
arrowroot,1,Pas grain (0),non,539069
arséniate de potasse,2,Pas grain (0),non,539069
arsenic,411,Pas grain (0),non,539069
arsenic métallique,6,Pas grain (0),non,539069
artichauts,78,Pas grain (0),non,539069
artichauts champignons et truffes,2,Pas grain (0),non,539069
artichauts confits,68,Pas grain (0),non,539069
artichauts frais,17,Pas grain (0),non,539069
artichauts marinés,2,Pas grain (0),non,539069
artichauts secs,6,Pas grain (0),non,539069
artifice,5,Pas grain (0),non,539069
artifice fusées etc.,1,Pas grain (0),non,539069
artillerie,6,Pas grain (0),non,539069
asa fœtida,123,Pas grain (0),non,539069
asperges,9,Pas grain (0),non,539069
asperges confites,1,Pas grain (0),non,539069
asperges et scorsonères,1,Pas grain (0),non,539069
asphaltum,19,Pas grain (0),non,539069
assiette,1,Pas grain (0),non,539069
assiette de Biarritz,1,Pas grain (0),non,539069
assiette de bois,1,Pas grain (0),non,539069
assiette de faïence,8,Pas grain (0),non,539069
assiette de faïence assorties,0,Pas grain (0),oui,539069
assiette de porcelaine,3,Pas grain (0),non,539069
assiette de porcelaine des Indes,1,Pas grain (0),non,539069
assiette de terre,6,Pas grain (0),non,539069
assiette et plats de terre,1,Pas grain (0),non,539069
asustum,1,Pas grain (0),non,539069
atastes,1,Pas grain (0),non,539069
atlas,2,Pas grain (0),non,539069
atlas à la feuille d'or,1,,non,1391
atlas et instruments de marine,1,Pas grain (0),non,539069
atlas jaspé,1,,non,1391
attaches de cuivre,1,Pas grain (0),non,539069
attelles de colliers,14,Pas grain (0),non,539069
aube,1,Pas grain (0),non,539069
auchinoise,2,Pas grain (0),non,539069
auclimes,2,Pas grain (0),non,539069
auf,117,Pas grain (0),non,539069
auf ouvré,0,Pas grain (0),oui,539069
auf travaillé,0,Pas grain (0),oui,539069
auf travaillé en cordes,0,Pas grain (0),oui,539069
augemy,2,Pas grain (0),non,539069
auges,3,Pas grain (0),non,539069
auges de carreaux,2,Pas grain (0),non,539069
augustins,2,Pas grain (0),non,539069
aurcsats,1,Pas grain (0),non,539069
aurcsats étoile,1,Pas grain (0),non,539069
aussière,2,Pas grain (0),non,539069
autel de marbre,2,Pas grain (0),non,539069
avelanèdes,58,Pas grain (0),non,539069
avelines,8,Pas grain (0),non,539069
avelines et noisettes sèches,22,Pas grain (0),non,539069
avelines faînes noisettes noix,1,Pas grain (0),non,539069
avelines noisettes noix,5,Pas grain (0),non,539069
avirons,639,Pas grain (0),non,539069
avirons bruts,17,Pas grain (0),non,539069
avirons de 12 pieds,1,Pas grain (0),non,539069
avirons de 18 pieds,1,Pas grain (0),non,539069
avirons de 30 pieds,1,Pas grain (0),non,539069
avirons de 5 pieds,1,Pas grain (0),non,539069
avirons de 8 à 12 pieds,1,Pas grain (0),non,539069
avirons de bois,51,Pas grain (0),non,539069
avirons de bois façonné,1,Pas grain (0),non,539069
avirons de chêne,1,Pas grain (0),non,539069
avirons de sapin,1,Pas grain (0),non,539069
avirons et perches de bois,3,Pas grain (0),non,539069
avirons et rames bruts,2,Pas grain (0),non,539069
avirons et rames de bois,1,Pas grain (0),non,539069
avirons et rames de bois façonné,2,Pas grain (0),non,539069
avirons et rames façonnés,5,Pas grain (0),non,539069
avirons polis,1,Pas grain (0),non,539069
avoine,496,Menus grains (3),non,3252
avoine en gerbes,1,Menus grains (3),non,3252
avoine et haricots,1,Substituts (4),non,4342
avoine et orge etc.,1,Menus grains (3),non,3252
avoine mondée,1,Menus grains (3),non,3252
avoine moulée,1,Substituts (4),non,4342
azur,729,Pas grain (0),non,539069
azur commun,197,Pas grain (0),non,539069
azur et bleu de Prusse,9,Pas grain (0),non,539069
azur et cobalt,20,Pas grain (0),non,539069
azur fin,13,Pas grain (0),non,539069
azur gros,22,Pas grain (0),non,539069
babassis,1,Pas grain (0),non,539069
babouches,90,Pas grain (0),non,539069
babouches de maroquin,2,Pas grain (0),non,539069
bacs d'1 aime,1,Pas grain (0),non,539069
bacs de pierre,1,Pas grain (0),non,539069
bacs de pierre bleue,1,Pas grain (0),non,539069
bacs de pierre d'1 aime,1,Pas grain (0),non,539069
bacs de pierre de 4 aimes,1,Pas grain (0),non,539069
bacs de pierre de demi d'aime,1,Pas grain (0),non,539069
bacs de pierre de moindre classe,1,Pas grain (0),non,539069
bacs de pierre de trois-quart d'aime,1,Pas grain (0),non,539069
bacs de pierre en dessous d'1 aime,1,Pas grain (0),non,539069
bacs de pierre en dessus d'1 aime,1,Pas grain (0),non,539069
badiane,59,Pas grain (0),non,539069
badiane ou anis étoilé de la Chine,0,Pas grain (0),oui,539069
baffetas,10,Pas grain (0),non,539069
baffetas blanc,19,Pas grain (0),non,539069
baffetas bleu,26,Pas grain (0),non,539069
baffetas des Indes,2,Pas grain (0),non,539069
bagarot,1,Pas grain (0),non,539069
bagues,5,Pas grain (0),non,539069
bagues à pierres fausses,1,Pas grain (0),non,539069
bagues d'argent,2,Pas grain (0),non,539069
bagues d'or,1,Pas grain (0),non,539069
bagues de cuivre,2,Pas grain (0),non,539069
bagues de laiton,1,Pas grain (0),non,539069
bagues de verre,3,Pas grain (0),non,539069
baguettes,6,Pas grain (0),non,539069
baguettes à chandelle,1,Pas grain (0),non,539069
baguettes à étoffe,2,Pas grain (0),non,539069
baguettes d'étain,2,Pas grain (0),non,539069
baguettes de bois,1,Pas grain (0),non,539069
baguettes de bois doré,1,Pas grain (0),non,539069
baguettes de cuivre,3,Pas grain (0),non,539069
baguettes de fer à fusil,1,Pas grain (0),non,539069
baguettes de fusil,47,Pas grain (0),non,539069
bahuts,24,Pas grain (0),non,539069
baie de laurier,28,Pas grain (0),non,539069
baies de buis,1,Pas grain (0),non,539069
baies de genévrier à distiller,2,Pas grain (0),non,539069
baies de genièvre,6,Pas grain (0),non,539069
baignes,3,Pas grain (0),non,539069
baignoires,2,Pas grain (0),non,539069
baignoires d'acajou,1,Pas grain (0),non,539069
baignoires de cuivre,4,Pas grain (0),non,539069
baignoires de sapin,1,Pas grain (0),non,539069
baignoires de tôle,2,Pas grain (0),non,539069
baigots,1,Pas grain (0),non,539069
baillarge,5,Céréales inférieures (2),non,1930
bailles,1,Pas grain (0),non,539069
baïonnettes,13,Pas grain (0),non,539069
bais de bois de chêne,1,Pas grain (0),non,539069
bajutapau,231,Pas grain (0),non,539069
bajutapau commun,1,Pas grain (0),non,539069
bajutapau des Indes,1,Pas grain (0),non,539069
"bajutapau, canelis, etc.",3,,non,1391
bakeliau et stockfis,0,Pas grain (0),oui,539069
balais,123,Pas grain (0),non,539069
balais communs,5,Pas grain (0),non,539069
balais coupés,3,Pas grain (0),non,539069
balais de bois,39,Pas grain (0),non,539069
balais de brandes,1,Pas grain (0),non,539069
balais de bruyère,13,Pas grain (0),non,539069
balais de chanvre,1,Pas grain (0),non,539069
balais de crin,12,Pas grain (0),non,539069
balais de foyer,1,Pas grain (0),non,539069
balais de jonc,50,Pas grain (0),non,539069
balais de jonc petits,1,Pas grain (0),non,539069
balais de laine à laver les planchers,1,Pas grain (0),non,539069
balais de millet,2,Pas grain (0),non,539069
balais de paille,2,Pas grain (0),non,539069
balais de paille de riz,6,Pas grain (0),non,539069
balais de palme,295,Pas grain (0),non,539069
balais de palme petits,1,Pas grain (0),non,539069
balais de plumes,3,Pas grain (0),non,539069
balais de poil,2,Pas grain (0),non,539069
balais de riz,5,Pas grain (0),non,539069
balais de soie,7,Pas grain (0),non,539069
balais de soie de porcs,18,Pas grain (0),non,539069
balais de toile,1,Pas grain (0),non,539069
balais du roi,1,Pas grain (0),non,539069
balais fins,1,Pas grain (0),non,539069
balais grands de palme,2,Pas grain (0),non,539069
balais ou ramons,1,Pas grain (0),non,539069
balais petits,1,Pas grain (0),non,539069
balance,7,Pas grain (0),non,539069
balance à la romaine,1,Pas grain (0),non,539069
balance complète,1,Pas grain (0),non,539069
balance de bois,1,Pas grain (0),non,539069
balance de cuivre,8,Pas grain (0),non,539069
balance de cuivre jaune,1,Pas grain (0),non,539069
balance de fer,4,Pas grain (0),non,539069
balance et poids de cuivre,1,Pas grain (0),non,539069
balance et romaine,2,Pas grain (0),non,539069
balance et ses poids,1,Pas grain (0),non,539069
balance ou fléaux en fer,1,Pas grain (0),non,539069
balance petite,1,Pas grain (0),non,539069
balance romaine,3,Pas grain (0),non,539069
balauste,0,Pas grain (0),oui,539069
balcon de fer,1,Pas grain (0),non,539069
baleine,125,Pas grain (0),non,539069
baleine apprêtée,1,Pas grain (0),non,539069
baleine coupée,641,Pas grain (0),non,539069
baleine coupée en fanon,11,Pas grain (0),non,539069
baleine coupée et en fanon,12,Pas grain (0),non,539069
baleine de sarde,18,Pas grain (0),non,539069
baleine en fanon,278,Pas grain (0),non,539069
baleine en fanon et de sarde,1,Pas grain (0),non,539069
baleine non sciée,1,Pas grain (0),non,539069
baleine taillée,1,Pas grain (0),non,539069
balles,1,Pas grain (0),non,539069
balles à jouer,2,Pas grain (0),non,539069
balles d'osier,3,Pas grain (0),non,539069
balles de fer et canons de fer,2,Pas grain (0),non,539069
balles de fer uni,1,Pas grain (0),non,539069
balles de jonc,1,Pas grain (0),non,539069
balles de palme,1,Pas grain (0),non,539069
balles de plomb,8,Pas grain (0),non,539069
balles et dragées de plomb,1,Pas grain (0),non,539069
balles vides,1,Pas grain (0),non,539069
balustres,12,Pas grain (0),non,539069
bamboches,1,,non,1391
bambous,8,Pas grain (0),non,539069
banastron,1,Pas grain (0),non,539069
banc à couper la paille,1,Pas grain (0),non,539069
banc de sapin,1,Pas grain (0),non,539069
bandages,4,Pas grain (0),non,539069
bandages de peaux,5,Pas grain (0),non,539069
bandages pour soldats,1,Pas grain (0),non,539069
bandanas des Indes,1,Pas grain (0),non,539069
bandanas et mousseline et Nankin de soieries des Indes,0,Pas grain (0),oui,539069
bandeaux,4,Pas grain (0),non,539069
banderoles,1,Pas grain (0),non,539069
banderoles de cuir,2,Pas grain (0),non,539069
bandes de cabrouets de fer,3,Pas grain (0),non,539069
bandes de charrettes,1,Pas grain (0),non,539069
bandes de fer,4,Pas grain (0),non,539069
bandes de fer à tombereaux,1,Pas grain (0),non,539069
bandes de roues de fer,1,Pas grain (0),non,539069
bandes de tulles brodées,1,Pas grain (0),non,539069
bandes et barres de fer,4,Pas grain (0),non,539069
bandoulières garnies d'argent,1,Pas grain (0),non,539069
banjoin,0,Pas grain (0),oui,539069
bannes et bannettes d'osier,1,Pas grain (0),non,539069
bannettes d'osier,1,Pas grain (0),non,539069
bannettes de cuir,1,Pas grain (0),non,539069
bannière de Damas,1,Pas grain (0),non,539069
banquette,4,Pas grain (0),non,539069
baquelets,1,Pas grain (0),non,539069
baquets,2,Pas grain (0),non,539069
baquets à jeter l'eau,1,Pas grain (0),non,539069
baquets de cuivre,5,Pas grain (0),non,539069
baquets de fer,1,Pas grain (0),non,539069
baquets de rechange,1,Pas grain (0),non,539069
baquets de sapin,2,Pas grain (0),non,539069
baracan,173,Pas grain (0),non,539069
baracan aune,1,Pas grain (0),non,539069
baracan d'Abbeville,1,,non,1391
baracan de laine,14,Pas grain (0),non,539069
baracan de laine et de poil,2,Pas grain (0),non,539069
baracan de Lille,1,Pas grain (0),non,539069
baracan de poil,64,Pas grain (0),non,539069
barail,0,Pas grain (0),oui,539069
baras,1,Pas grain (0),non,539069
barat de laine,1,Pas grain (0),non,539069
baratte,1,Pas grain (0),non,539069
barbançons,6,Pas grain (0),non,539069
barbançons de grès,14,Pas grain (0),non,539069
barbançons de terre,15,Pas grain (0),non,539069
barbançons de terre de grès,1,Pas grain (0),non,539069
barbançons de verre,1,Pas grain (0),non,539069
barbe de baleine,10,Pas grain (0),non,539069
barbotine,43,Pas grain (0),non,539069
barbotines,0,Pas grain (0),oui,539069
barbues,1,Pas grain (0),non,539069
barbues couvertes d'étamine,1,Pas grain (0),non,539069
barbues de grès,14,Pas grain (0),non,539069
barbues de terre,1,Pas grain (0),non,539069
barbues ouvrées et cannettes ouvrées et jarres de terre ouvrées,1,Pas grain (0),non,539069
bardes,5,Pas grain (0),non,539069
barilleau,8,Pas grain (0),non,539069
barilleau de laine,2,Pas grain (0),non,539069
barils,9,Pas grain (0),non,539069
barils à poudre,5,Pas grain (0),non,539069
barils ancres,1,Pas grain (0),non,539069
barils de chêne,1,Pas grain (0),non,539069
barils de fer-blanc,1,Pas grain (0),non,539069
barils de fer-blanc simples,1,Pas grain (0),non,539069
barils de sapin,1,Pas grain (0),non,539069
barils de tonnelier,2,Pas grain (0),non,539069
barils de vin de ???,4,Pas grain (0),non,539069
barils doubles de fer-blanc,1,Pas grain (0),non,539069
barils neufs,1,Pas grain (0),non,539069
barils petits,2,Pas grain (0),non,539069
barils pour saler sardines,1,Pas grain (0),non,539069
barils vides,114,Pas grain (0),non,539069
barils vides de sardines,2,Pas grain (0),non,539069
barils vieux,1,Pas grain (0),non,539069
barois,8,Pas grain (0),non,539069
baromètre,6,Pas grain (0),non,539069
barques,2,Pas grain (0),non,539069
barques démontées,1,Pas grain (0),non,539069
barques en bottes,1,Pas grain (0),non,539069
barquettes,1,Pas grain (0),non,539069
barquettes et nacelles,1,Pas grain (0),non,539069
barquettes vieilles,1,Pas grain (0),non,539069
barreau de laine,2,Pas grain (0),non,539069
barreaux,3,Pas grain (0),non,539069
barreaux de bois,8,Pas grain (0),non,539069
barreaux de bois et planches de bois,6,Pas grain (0),non,539069
barreaux de sapin,2,Pas grain (0),non,539069
barreaux de sapin de 10 pieds,1,Pas grain (0),non,539069
barreaux neufs,2,Pas grain (0),non,539069
barres,3,Pas grain (0),non,539069
barres à nègre,1,Pas grain (0),non,539069
barres carrées de fer étiré,6,Pas grain (0),non,539069
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement,1,Pas grain (0),non,539069
barres carrées de fer étiré de 15 inclusivement à 22 millimètres exclusivement sur chaque face,1,Pas grain (0),non,539069
barres carrées de fer étiré de 22 millimètres et plus sur chaque face,2,Pas grain (0),non,539069
barres carrées de fer étiré de moins de 15 millimètres,1,Pas grain (0),non,539069
barres carrées de fer étiré de moins de 15 millimètres sur chaque face,1,Pas grain (0),non,539069
barres d'acier,0,Pas grain (0),oui,539069
barres d'anspect en bois,1,Pas grain (0),non,539069
barres d'anspects,96,Pas grain (0),non,539069
barres d'anspects et barres de cabestan,1,Pas grain (0),non,539069
barres d'étain,3,Pas grain (0),non,539069
barres d'étain ou blocs d'étain,2,Pas grain (0),non,539069
barres de barrique,1,Pas grain (0),non,539069
barres de bois,37,Pas grain (0),non,539069
barres de cabestan,65,Pas grain (0),non,539069
barres de cabestan en bois,2,,non,1391
barres de chêne,1,Pas grain (0),non,539069
barres de chêne petites,1,Pas grain (0),non,539069
barres de cuivre,1,Pas grain (0),non,539069
barres de fer,2691,Pas grain (0),non,539069
barres de fer à frire,1,Pas grain (0),non,539069
barres de fer blanc,2,Pas grain (0),non,539069
barres de fer d'Espagne,3,Pas grain (0),non,539069
barres de fer de Suède,2,Pas grain (0),non,539069
barres de fer étiré,2,Pas grain (0),non,539069
barres de futel,1,Pas grain (0),non,539069
barres de guindeau,45,Pas grain (0),non,539069
barres de sapin,2,Pas grain (0),non,539069
barres de sapin de 3 à 4 pieds,1,Pas grain (0),non,539069
barres de sapin pour fonçaille,1,Pas grain (0),non,539069
barres et verges de fer,15,Pas grain (0),non,539069
barres fines de fer,1,Pas grain (0),non,539069
barres maître-fond,1,Pas grain (0),non,539069
barres plates de fer étiré,6,Pas grain (0),non,539069
barres plates de fer étiré de 113 à 366 millimètres ou 42 à 72 lignes inclusivement,1,Pas grain (0),non,539069
barres plates de fer étiré de 213 à 366 millimètres de largueur multipliée par l'épaisseur,1,Pas grain (0),non,539069
barres plates de fer étiré de moins de 113 millimètres ou 42 lignes,1,Pas grain (0),non,539069
barres plates de fer étiré de moins de 213 millimètres de largueur multipliée par l'épaisseur,1,Pas grain (0),non,539069
barres plates de fer étiré de plus de 366 millimètres de largeur multipliée par l'épaisseur,1,Pas grain (0),non,539069
barres plates de fer étiré de plus de 366 millimètres ou 72 lignes,1,Pas grain (0),non,539069
barres pour édifices,1,Pas grain (0),non,539069
barres pour édifiées,1,Pas grain (0),non,539069
barres rondes de fer étiré,6,Pas grain (0),non,539069
barres rondes de fer étiré de 15 millimètres et plus de diamètres,1,Pas grain (0),non,539069
barres rondes de fer étiré de 15 millimètres ou 7 lignes et plus de diamètres,1,Pas grain (0),non,539069
barres rondes de fer étiré de moins de 15 millimètres de diamètres,1,Pas grain (0),non,539069
barres rondes de fer étiré de moins de 15 millimètres ou 7 lignes diamètres,1,Pas grain (0),non,539069
barrettes,1,Pas grain (0),non,539069
barrettes de cuivre,3,Pas grain (0),non,539069
barrettes de fer,1,Pas grain (0),non,539069
barriques,53,Pas grain (0),non,539069
barriques à eau,2,Pas grain (0),non,539069
barriques cerclées de fer,1,Pas grain (0),non,539069
barriques cerclées de fer et vides,1,Pas grain (0),non,539069
barriques cerclées et fer,0,Pas grain (0),oui,539069
barriques en bœuf,1,,non,1391
barriques neuves,5,Pas grain (0),non,539069
barriques vides,93,Pas grain (0),non,539069
barriques vides vieilles,48,Pas grain (0),non,539069
barriques vieilles,21,Pas grain (0),non,539069
bas,11,Pas grain (0),non,539069
bas à crin d'or et de soie,1,Pas grain (0),non,539069
bas communs,2,Pas grain (0),non,539069
bas d'estam,1,Pas grain (0),non,539069
bas d'estame,68,Pas grain (0),non,539069
bas d'estame fins,2,Pas grain (0),non,539069
bas d'étoffe,1,Pas grain (0),non,539069
