simplification,nbr_occurences_simpl,sitc,imprimatur,obsolete,nbr_occurences_sitc
planches de Prusse de 8 à 12 pieds,1,6b,,non,36431
planches de Prusse de 8 à 9 pieds,1,6b,x,non,36431
planches de Prusse de 8 pieds,1,6b,,non,36431
planches de Prusse de 9 à 10 pieds,1,6b,,non,36431
planches de Prusse de 9 pieds,1,6b,x,non,36431
planches de Prusse demies,4,6b,,non,36431
planches de Prusse diverses,2,6b,,non,36431
planches de Prusse en bouts,1,6b,,non,36431
planches de Prusse petites,2,6b,x,non,36431
planches de Pui,5,6b,,non,36431
planches de rebut,3,6b,x,non,36431
planches de sapin,2006,6b,x,non,36431
planches de sapin 1/2 planches,1,6b,x,non,36431
planches de sapin 10 à 11 pieds,3,6b,x,non,36431
planches de sapin 10 à 13 pieds,1,6b,x,non,36431
planches de sapin 11 à 12 pieds,1,6b,x,non,36431
planches de sapin 12 à 14 pieds,1,6b,x,non,36431
planches de sapin 12 à 15 pieds,1,6b,x,non,36431
planches de sapin 12 pieds,7,6b,x,non,36431
planches de sapin 13 à 14 pieds,1,6b,x,non,36431
planches de sapin 15 à 18 pieds,2,6b,x,non,36431
planches de sapin 15 pieds,2,6b,x,non,36431
planches de sapin 18 pieds,14,6b,x,non,36431
planches de sapin 19 à 20 pieds,1,6b,x,non,36431
planches de sapin 26 à 27 pieds,1,6b,x,non,36431
planches de sapin 26 à 29 pieds,1,6b,x,non,36431
planches de sapin 27 pieds,1,6b,x,non,36431
planches de sapin 30 pieds,2,6b,x,non,36431
planches de sapin 32 à 33 pieds,1,6b,x,non,36431
planches de sapin 32 à 34 pieds,1,6b,x,non,36431
planches de sapin 35 pieds,1,6b,x,non,36431
planches de sapin 36 pieds,1,6b,x,non,36431
planches de sapin 4 pieds,1,6b,x,non,36431
planches de sapin 6 à 7 pieds,1,6b,,non,36431
planches de sapin 6 pieds,1,6b,x,non,36431
planches de sapin 7 à 11 pieds,1,6b,x,non,36431
planches de sapin 7 à 8 pieds,1,6b,x,non,36431
planches de sapin 8 à 12 pieds,1,6b,x,non,36431
planches de sapin 8 pieds,1,6b,x,non,36431
planches de sapin 9 à 10 pieds,2,6b,x,non,36431
planches de sapin 9 à 10 pieds à 15 sous,1,6b,x,non,36431
planches de sapin 9 pieds,1,6b,,non,36431
planches de sapin au grand compte,4,6b,,non,36431
planches de sapin boîtes,1,6b,x,non,36431
planches de sapin commun,272,6b,x,non,36431
planches de sapin de ???,1,6b,,non,36431
planches de sapin de ??? pieds,0,6b,x,non,36431
planches de sapin de 1 1/4 pouce,2,6b,x,non,36431
planches de sapin de 1 pouce,4,6b,x,non,36431
planches de sapin de 1/2 pouce,2,6b,x,non,36431
planches de sapin de 10 à 11 pieds,38,6b,x,non,36431
planches de sapin de 10 à 11 pieds à 20 sous,1,6b,x,non,36431
planches de sapin de 10 à 12 pieds,29,6b,x,non,36431
"planches de sapin de 10 à 12 pieds à 1 pouce 1,5 pouce d'épaisseur",1,6b,,non,36431
planches de sapin de 10 à 12 pieds à 30 sous,1,6b,x,non,36431
planches de sapin de 10 à 13 pieds,3,6b,x,non,36431
planches de sapin de 10 à 14 pieds,2,6b,x,non,36431
planches de sapin de 10 à 15 pieds,3,6b,x,non,36431
"planches de sapin de 10 a 16 pieds et de 1 à 1,25 pouce d'épaisseur",2,6b,,non,36431
planches de sapin de 10 à 18 pieds,1,6b,,non,36431
planches de sapin de 10 à 20 pieds,1,6b,x,non,36431
planches de sapin de 10 aunes ?,1,6b,,non,36431
planches de sapin de 10 pieds,66,6b,x,non,36431
planches de sapin de 10 pieds à 20 sous,2,6b,x,non,36431
planches de sapin de 10 pieds et 1 1/2 pouce,3,6b,x,non,36431
planches de sapin de 11 à 12,1,6b,x,non,36431
planches de sapin de 11 à 12 pieds,4,6b,x,non,36431
planches de sapin de 11 à 14 pieds,1,6b,x,non,36431
planches de sapin de 11 a 20 pieds de long et de 1 pouce d'épaisseur,1,6b,,non,36431
planches de sapin de 11 pieds,21,6b,x,non,36431
planches de sapin de 12 à 13 pieds,3,6b,x,non,36431
planches de sapin de 12 à 14 pieds,2,6b,x,non,36431
planches de sapin de 12 à 15 pieds,4,6b,x,non,36431
planches de sapin de 12 à 16 pieds,3,6b,x,non,36431
planches de sapin de 12 à 18 pieds,1,6b,x,non,36431
planches de sapin de 12 à 20 pieds,2,6b,x,non,36431
planches de sapin de 12 pieds,56,6b,x,non,36431
planches de sapin de 13 à 14 pieds,4,6b,x,non,36431
"planches de sapin de 13 a 17 pieds et de 1 à 1,5 pouce d'épaisseur",2,6b,,non,36431
planches de sapin de 13 à 18 pieds,1,6b,,non,36431
planches de sapin de 13 pieds,16,6b,x,non,36431
"planches de sapin de 13 pieds et de 1,25 pouce d'épaisseur",1,6b,,non,36431
planches de sapin de 14 à 15 pieds,1,6b,x,non,36431
planches de sapin de 14 à 16 pieds,3,6b,x,non,36431
planches de sapin de 14 pieds,10,6b,,non,36431
planches de sapin de 15 à 16 pieds,1,6b,x,non,36431
planches de sapin de 15 a 17 pieds de long et de 1 pieds d'épaisseur,1,6b,,non,36431
planches de sapin de 15 à 18 pieds,3,6b,,non,36431
planches de sapin de 15 à 20 pieds,3,6b,x,non,36431
planches de sapin de 15 à 30 pieds,1,6b,x,non,36431
planches de sapin de 15 pieds,23,6b,x,non,36431
planches de sapin de 16 à 17 pieds,3,6b,x,non,36431
planches de sapin de 16 à 18 pieds,2,6b,x,non,36431
planches de sapin de 16 a 20 pieds et de 1 a 2 pouces d'épaisseur,2,6b,,non,36431
planches de sapin de 16 pieds,23,6b,x,non,36431
planches de sapin de 17 à 18 pieds,1,6b,x,non,36431
planches de sapin de 17 à 20 pieds,3,6b,x,non,36431
planches de sapin de 17 pieds,2,6b,x,non,36431
planches de sapin de 18 à 20 pieds,6,6b,x,non,36431
planches de sapin de 18 à 21 pieds,1,6b,,non,36431
planches de sapin de 18 à 22 pieds,1,6b,x,non,36431
planches de sapin de 18 pieds,58,6b,x,non,36431
planches de sapin de 20 à 22 pieds,2,6b,x,non,36431
planches de sapin de 20 à 24 pieds,2,6b,x,non,36431
planches de sapin de 20 à 25 pieds,3,6b,x,non,36431
planches de sapin de 20 à 26 pieds,1,6b,x,non,36431
planches de sapin de 20 à 27 pieds,2,6b,x,non,36431
planches de sapin de 20 à 30 pieds,3,6b,x,non,36431
planches de sapin de 20 pieds,33,6b,x,non,36431
planches de sapin de 21 à 22 pieds,2,6b,x,non,36431
planches de sapin de 21 à 24 pieds,1,6b,x,non,36431
planches de sapin de 21 pieds,4,6b,,non,36431
planches de sapin de 22 à 23 pieds,1,6b,x,non,36431
planches de sapin de 22 pieds,20,6b,x,non,36431
planches de sapin de 23 pieds,4,6b,x,non,36431
planches de sapin de 24 à 26 pieds,1,6b,x,non,36431
planches de sapin de 24 à 27 pieds,1,6b,x,non,36431
planches de sapin de 24 à 30 pieds,2,6b,x,non,36431
planches de sapin de 24 à 36 pieds,1,6b,,non,36431
planches de sapin de 24 pieds,22,6b,x,non,36431
planches de sapin de 25 à 26 pieds,2,6b,x,non,36431
planches de sapin de 25 pieds,20,6b,x,non,36431
planches de sapin de 26 à 27 pieds,6,6b,x,non,36431
planches de sapin de 26 à 30 pieds,1,6b,x,non,36431
planches de sapin de 26 pieds,29,6b,x,non,36431
planches de sapin de 27 à 28 pieds,3,6b,x,non,36431
"planches de sapin de 27 a 28 pieds et de 1,5 pouce d'épaisseur",1,6b,,non,36431
planches de sapin de 27 à 29 pieds,2,6b,,non,36431
planches de sapin de 27 à 30 pieds,4,6b,x,non,36431
planches de sapin de 27 pieds,25,6b,x,non,36431
planches de sapin de 28 à 29 pieds,1,6b,,non,36431
planches de sapin de 28 à 30 pieds,5,6b,x,non,36431
planches de sapin de 28 à 32 pieds,1,6b,,non,36431
planches de sapin de 28 pieds,16,6b,x,non,36431
planches de sapin de 29 à 30 pieds,1,6b,x,non,36431
planches de sapin de 29 à 32 pieds,1,6b,,non,36431
planches de sapin de 29 pieds,1,6b,x,non,36431
planches de sapin de 3 à 4 pieds,9,6b,x,non,36431
planches de sapin de 3 à 6 pieds,2,6b,x,non,36431
planches de sapin de 3 pieds,2,6b,x,non,36431
planches de sapin de 3/4 pouce,2,6b,x,non,36431
planches de sapin de 30 à 32 pieds,3,6b,x,non,36431
planches de sapin de 30 à 33 pieds,1,6b,x,non,36431
planches de sapin de 30 à 34 pieds,3,6b,x,non,36431
planches de sapin de 30 à 35 pieds,1,6b,,non,36431
planches de sapin de 30 à 36 pieds,2,6b,x,non,36431
planches de sapin de 30 à 38 pieds,1,6b,x,non,36431
planches de sapin de 30 à 40 pieds,1,6b,,non,36431
planches de sapin de 30 pieds,45,6b,x,non,36431
planches de sapin de 31 pieds,3,6b,x,non,36431
planches de sapin de 32 à 33 pieds,3,6b,x,non,36431
planches de sapin de 32 pieds,8,6b,x,non,36431
planches de sapin de 33 à 34 pieds,1,6b,x,non,36431
planches de sapin de 33 pieds,5,6b,x,non,36431
planches de sapin de 34 à 35 pieds,1,6b,,non,36431
planches de sapin de 34 pieds,1,6b,,non,36431
planches de sapin de 35 pieds,4,6b,x,non,36431
planches de sapin de 36 pieds,9,6b,x,non,36431
planches de sapin de 38 pieds,2,6b,x,non,36431
planches de sapin de 4 à 5 pieds,26,6b,x,non,36431
planches de sapin de 4 à 5 pieds à 4 sous,1,6b,x,non,36431
planches de sapin de 4 à 6 pieds,1,6b,,non,36431
planches de sapin de 4 pieds,8,6b,x,non,36431
planches de sapin de 4 pieds à 6 pouces,0,6b,,non,36431
planches de sapin de 40 pieds,5,6b,x,non,36431
planches de sapin de 44 à 50 pieds,1,6b,,non,36431
planches de sapin de 45 pieds,1,6b,x,non,36431
planches de sapin de 48 pieds,3,6b,,non,36431
planches de sapin de 5 à 12 pieds à 1 pouce 1 pouce 1/2 d'épaisseur,1,6b,,non,36431
planches de sapin de 5 à 6 pieds,21,6b,x,non,36431
planches de sapin de 5 à 6 pieds à 4 sous,1,6b,x,non,36431
planches de sapin de 5 à 7 pieds,2,6b,x,non,36431
planches de sapin de 5 à 8 pieds,1,6b,,non,36431
planches de sapin de 5 pieds,12,6b,x,non,36431
planches de sapin de 50 pieds,3,6b,x,non,36431
planches de sapin de 6 a 10 pieds et de 1 pouce d'épaisseur,2,6b,,non,36431
planches de sapin de 6 à 15 pieds,1,6b,,non,36431
planches de sapin de 6 à 7 pieds,12,6b,x,non,36431
planches de sapin de 6 à 8 pieds,1,6b,x,non,36431
planches de sapin de 6 pieds,12,6b,x,non,36431
planches de sapin de 6 pieds et de 1 pouce d'épaisseur,1,6b,,non,36431
"planches de sapin de 6,5 pieds",1,6b,,non,36431
planches de sapin de 7 à 10 pieds,1,6b,x,non,36431
planches de sapin de 7 à 12 pieds,1,6b,,non,36431
planches de sapin de 7 à 8 pieds,26,6b,x,non,36431
planches de sapin de 7 à 8 pieds à 6 sous,1,6b,x,non,36431
planches de sapin de 7 à 9 pieds,2,6b,x,non,36431
planches de sapin de 7 pieds,14,6b,x,non,36431
planches de sapin de 75 pieds,1,6b,x,non,36431
planches de sapin de 8 à 10 pieds,7,6b,x,non,36431
planches de sapin de 8 à 10 pieds à 10 sous,1,6b,x,non,36431
planches de sapin de 8 à 11 pieds,1,6b,,non,36431
"planches de sapin de 8 a 11 pieds et de 1 a 1,5 pouce d'épaisseur",3,6b,,non,36431
planches de sapin de 8 à 12 pieds,2,6b,,non,36431
"planches de sapin de 8 a 12 pieds et de 1 a 1,5 pouce d'épaisseur",5,6b,,non,36431
planches de sapin de 8 à 13 pieds,1,6b,x,non,36431
planches de sapin de 8 à 36 pieds,1,6b,,non,36431
planches de sapin de 8 à 7 pieds,1,6b,x,non,36431
planches de sapin de 8 à 9 pieds,46,6b,x,non,36431
planches de sapin de 8 à 9 pieds à 10 sous,1,6b,x,non,36431
planches de sapin de 8 à 9 pieds à 12 sous,1,6b,x,non,36431
planches de sapin de 8 pieds,41,6b,x,non,36431
planches de sapin de 8 pieds à 12 sous,1,6b,x,non,36431
"planches de sapin de 8,5 pieds",1,6b,,non,36431
planches de sapin de 85 pieds,1,6b,x,non,36431
planches de sapin de 9 à 10,1,6b,x,non,36431
planches de sapin de 9 à 10 pieds,50,6b,x,non,36431
planches de sapin de 9 à 10 pieds à 15 sous,1,6b,x,non,36431
planches de sapin de 9 à 10-11 pieds,1,6b,,non,36431
planches de sapin de 9 à 11 pieds,5,6b,x,non,36431
planches de sapin de 9 à 12 pieds,2,6b,x,non,36431
planches de sapin de 9 à 13 pieds,1,6b,x,non,36431
planches de sapin de 9 à 15 pieds,1,6b,x,non,36431
planches de sapin de 9 pieds,41,6b,x,non,36431
planches de sapin de 9 pieds de longueur,2,6b,,non,36431
"planches de sapin de 9 pieds et de 1,25 pouce d'épaisseur",1,6b,,non,36431
planches de sapin de Coperwick,0,6b,,non,36431
planches de sapin de Norvège,66,6b,x,non,36431
planches de sapin de Poméranie,18,6b,x,non,36431
planches de sapin de Prusse,0,6b,,non,36431
planches de sapin de rebut,6,2,x,non,131731
planches de sapin de rebut de 75 pieds,1,2,x,non,131731
planches de sapin demi planches,20,6b,x,non,36431
planches de sapin demies,1,6b,,non,36431
planches de sapin demies de 3 à 4 pieds de long et de 1 pouce d'épaisseur,2,6b,,non,36431
"planches de sapin demies de 3 à 5 pieds de long et de 1,25 pouce d'épaisseur",2,6b,,non,36431
"planches de sapin demies de 3 à 5,5 pieds de long et de 1,5 à 1,35 pouce d'épaisseur",3,6b,,non,36431
planches de sapin duicroco,1,9c,x,non,13242
planches de sapin en bouts,6,2,,non,131731
planches de sapin et rebut,2,9b,,non,61966
planches de sapin fendues,2,6b,x,non,36431
planches de sapin grand,8,6b,x,non,36431
planches de sapin moyennes,1,6b,,non,36431
planches de sapin pour bordage,1,7,,non,14031
planches de sapin pour grenier,5,6b,x,non,36431
planches de sapin rebut,3,2,,non,131731
planches de sapin rebut de 10 pieds,1,2,,non,131731
planches de sapin rebut de 26 pieds,1,2,,non,131731
planches de sapin refendues,4,6b,x,non,36431
planches de sapin resciées,3,6b,x,non,36431
planches de sapin rouge,2,6b,,non,36431
planches de sapin rouge de 9 pieds,0,6b,,non,36431
planches de sapin vieilles,1,2,,non,131731
planches de serva,1,9c,x,non,13242
planches de Suisse,1,6b,x,non,36431
planches de vathout,51,9c,x,non,13242
planches de wagheschot,89,9c,,non,13242
planches demies,5,6b,x,non,36431
planches demies de Prusse,1,6b,,oui,36431
planches demies de sapin,1,6b,,oui,36431
planches demies de sapin de 3 à 4 pieds de long et de 1 pouce d'épaisseur,2,6b,,oui,36431
"planches demies de sapin de 3 à 5 pieds de long et de 1,25 pouce d'épaisseur",2,6b,,oui,36431
"planches demies de sapin de 3 à 5,5 pieds de long et de 1,5 à 1,35 pouce d'épaisseur",3,6b,,oui,36431
planches dites feuillet,2,6b,,non,36431
planches dites feuillet et quartiers,3,6b,x,non,36431
planches dites genoux de bateaux,32,6b,x,non,36431
planches dites Noordschedelen de 11 à 12 pieds,2,6b,x,non,36431
planches dites Noordschedelen de 15 à 16 pieds,3,6b,x,non,36431
planches du Danemark,3,6b,,non,36431
planches en faux,2,6b,x,non,36431
planches en poutres,2,6b,x,non,36431
planches et poutrelles de bois de passementerie,3,6b,,non,36431
planches fendues,1,6b,,non,36431
planches laquées,1,6b,,non,36431
planches lourdes,64,6b,x,non,36431
planches moyennes,1,6b,x,non,36431
planches petites,3,6b,x,non,36431
planches petites de sapin,11,6b,x,non,36431
planches pour faux,1,6b,x,non,36431
planches pour grenier,5,6b,x,non,36431
planches pour grenier de 16 pieds,1,6b,,non,36431
planches pour grenier de 18 pieds,1,6b,,non,36431
planches pour grenier de 27 pieds,1,6b,,non,36431
planches pour grenier de 30 pieds,1,6b,,non,36431
planches pour grenier de 34 pieds,1,6b,,non,36431
planches pour grenier de 36 pieds,1,6b,,non,36431
planches refendues,2,6b,x,non,36431
planches sciées,8,6b,x,non,36431
planches sciées de long,7,6b,x,non,36431
plançons,5,9c,,non,13242
plançons courbes,1,9c,x,non,13242
plançons de chêne,2,6b,x,non,36431
plantes d'asperges et jets de houblon,6,2,x,non,131731
plantes de jasmin,5,2,,non,131731
plantes de romarin,24,2,x,non,131731
plantes diverses,22,2,,non,131731
plantes herbes racines etc.,23,2,x,non,131731
plants ???,1,2,,non,131731
plants d'arbres,49,2,x,non,131731
plants d'arbres à fruits,3,2,,non,131731
plants d'argent,1,2,,non,131731
plants d'artichauts,2,2,,non,131731
plants d'asperges,23,2,x,non,131731
plants d'oignon,3,2,x,non,131731
plants d'oignons,1,2,x,non,131731
plants d'oranger,59,2,x,non,131731
plants de bois,1,2,x,non,131731
plants de bois sauvages,1,2,,non,131731
plants de cédrat,3,2,x,non,131731
plants de chinois et fleurs,1,2,,non,131731
plants de choux,1,2,,non,131731
plants de citronnier,8,2,x,non,131731
plants de fleurs,31,2,,non,131731
plants de jardin,1,2,x,non,131731
plants de jasmin,9,2,x,non,131731
plants de mûriers,22,2,x,non,131731
plants de rouge d'Espagne,1,2,,non,131731
plants de tabac,5,2,x,non,131731
plants de vigne,103,2,x,non,131731
plaques,955,9c,,non,13242
plaques de bois,1,6b,,non,36431
plaques de cheminée,5,6j,x,non,52338
plaques de cheminées en fer,4,6j,,non,52338
plaques de cornes,1,6k,x,non,22524
plaques de cuivre,43,6j,x,non,52338
plaques de cuivre rouge,1,6j,x,non,52338
plaques de fer,55,6j,,non,52338
plaques de fer battu,1,6j,,non,52338
plaques de fer de fonte,1,6j,,non,52338
plaques de four,1,6j,,non,52338
plaques en tôle,1,6j,,non,52338
plastic de soie,1,,,non,295
plat de grès,17,6k,,non,22524
plateaux,2,6j,,non,52338
plateaux argentés,1,8,x,non,73824
plateaux de bois,3,6b,x,non,36431
plateaux de bois pour peser,1,8,,non,73824
plateaux de bordure de cuivre,1,6j,,non,52338
plateaux de cuivre,3,6j,x,non,52338
plateaux de fer,1,6j,,non,52338
plateaux de fer vernis,2,8,x,non,73824
plateaux de noyer,1,6b,,non,36431
plateaux pour fléaux,1,8,x,non,73824
plateaux vernis,1,8,x,non,73824
plateaux vernis et de cote,1,8,x,non,73824
plates de cuivre,11,6j,,non,52338
plates de cuivre ciselées et gravées,2,8,,non,73824
plates de cuivre jaune,23,6j,,non,52338
plates de cuivre rouge,87,6j,,non,52338
plates de fer,20,6j,x,non,52338
platies,2,9c,,non,13242
platille,343,6d,x,non,23025
platille de lin,7,6d,x,non,23025
platille de lin de Silésie,3,6d,x,non,23025
platille de retour faute de vente,1,6d,,non,23025
platille des Indes,6,6d,x,non,23025
platille pour Guinée,1,6d,,non,23025
platille roussie,1,6d,x,non,23025
platines,4,6j,,non,52338
platines à cassave,13,6j,x,non,52338
platines à verdet,1,6j,,non,52338
platines de cuivre,106,6j,x,non,52338
platines de cuivre et plaques de cuivre,0,6j,x,non,52338
platines de fer,11,6j,x,non,52338
platines de fer coulé de fonte,1,6j,x,non,52338
platines de fer-blanc,1,6j,,non,52338
platines de ferrure,2,6j,,non,52338
platines de fusils,10,6j,,non,52338
platines en lingots,2,6j,,non,52338
platines minerai,1,2,,non,131731
plâtre,456,2,x,non,131731
plâtre brut,1,2,,non,131731
plâtre calciné ou brut,2,2,,non,131731
plâtre calciné ou moulé préparé,2,9b,,non,61966
plâtre calciné ou moulé soit préparé,4,9b,,non,61966
plâtre de pierres,1,2,x,non,131731
plâtre et pierres ditto,118,2,x,non,131731
plâtre et pierres ditto par livre,10,2,x,non,131731
plâtre gris,1,2,x,non,131731
plâtre moulu,2,2,x,non,131731
plâtre moulu soit préparé,1,9b,,non,61966
plats d'étain,3,6j,,non,52338
plats de boire,1,6b,,non,36431
plats de bois,8,6b,x,non,36431
plats de d'étain,1,6j,,non,52338
plats de faïence,1,6k,,non,22524
plats de fer,15,6j,x,non,52338
plats de sapin,1,6b,x,non,36431
plats et pots d'étain,1,6j,,non,52338
plawens,4,9c,,non,13242
plawens ou codde,11,9c,,non,13242
plesny,1,9c,,non,13242
pleviers,2,9c,,non,13242
plies sèches,4,0a,,non,122047
plocq,105,2,,non,131731
plomb,391,6j,x,non,52338
plomb à gibier,8,8,x,non,73824
plomb à tirer,2,8,,non,73824
plomb argenté,1,6j,x,non,52338
plomb battu ou laminé,7,6j,,non,52338
plomb brut,14,6j,x,non,52338
plomb brut en pain,1,6j,x,non,52338
plomb de caisse de thé,1,6j,,non,52338
plomb de chasse,60,8,x,non,73824
plomb de cuivre battu,4,8,,non,73824
plomb de pêche,1,8,x,non,73824
plomb de soudes,1,6j,x,non,52338
plomb divers,28,6j,x,non,52338
plomb en barre,19,6j,x,non,52338
plomb en bloc,127,6j,x,non,52338
plomb en feuilles,5,6j,,non,52338
plomb en grenaille,914,6j,x,non,52338
plomb en lingot,8,6j,x,non,52338
plomb en masse,1,6j,x,non,52338
plomb en pain,20,6j,x,non,52338
plomb en plaque,17,6j,x,non,52338
plomb en poids,1,6j,,non,52338
plomb en rolles et travaillé,128,6j,x,non,52338
plomb en rouleau,107,6j,x,non,52338
plomb en rouleau et en tables,2,6j,,non,52338
plomb en rouleau lingots,4,6j,,non,52338
plomb en rouleau lingots etc.,2,6j,,non,52338
plomb en rouleau lingots tables,1,6j,,non,52338
plomb en saumon,1333,6j,x,non,52338
