goods_simpl_classification,nbr_occurences_simpl,coffee_classification,obsolete,nbr_occurences_hamburg,nbr_occurences_coffee
bois de Brésil menu,1,Not coffee,non,888,551912
bois de Brésil moulu,1,Not coffee,non,888,551912
bois de Brésil râpé,5,Not coffee,non,888,551912
bois de Brésil Sainte-Marthe,2,Not coffee,non,888,551912
bois de brésillet,6,Not coffee,non,442379,551912
bois de brochialle,1,Not coffee,non,442379,551912
bois de bruyère,1,Not coffee,non,442379,551912
bois de buis,230,Not coffee,non,442379,551912
bois de buis boule,1,Not coffee,non,442379,551912
bois de buis ouvré,0,Not coffee,oui,442379,551912
bois de cabestan,1,Not coffee,non,442379,551912
bois de cail-cédra,3,Not coffee,non,442379,551912
bois de Caliatour,88,Not coffee,non,442379,551912
bois de Caliatour en bûche,3,Not coffee,non,442379,551912
bois de Caliatour moulu,27,Not coffee,non,442379,551912
bois de Caliatour râpé,4,Not coffee,non,442379,551912
bois de Campêche,1079,Not coffee,non,2490,551912
bois de Campêche en bûches,22,Not coffee,non,2490,551912
bois de Campêche en bûches pour teinture,1,Not coffee,non,2490,551912
bois de Campêche moulu,20,Not coffee,non,2490,551912
bois de Campêche pour teinture,1,Not coffee,non,2490,551912
bois de Campêche râpé,26,Not coffee,non,2490,551912
bois de camphre,1,Not coffee,non,442379,551912
bois de canet,1,Not coffee,non,442379,551912
bois de cannelle,2,Not coffee,non,442379,551912
bois de Cayenne,7,Not coffee,non,442379,551912
bois de cèdre,21,Not coffee,non,442379,551912
bois de cerf,2,Not coffee,non,442379,551912
bois de cerisier,3,Not coffee,non,442379,551912
bois de chacie de noyer,1,Not coffee,non,442379,551912
bois de chaises,3,Not coffee,non,442379,551912
bois de charbonnage,1,Not coffee,non,442379,551912
bois de charouage,1,Not coffee,non,442379,551912
bois de charpente,9,Not coffee,non,442379,551912
bois de charpente couvertures de maisons,1,Not coffee,non,442379,551912
bois de charpente de sapin,1,Not coffee,non,442379,551912
bois de charronnage,22,Not coffee,non,442379,551912
bois de châtaignier,3,Not coffee,non,442379,551912
bois de châtaignier en planches,1,Not coffee,non,442379,551912
bois de chêne,133,Not coffee,non,442379,551912
bois de chêne 30 pieds,1,Not coffee,non,442379,551912
bois de chêne à poutres,1,Not coffee,non,442379,551912
bois de chêne à sommiers,2,Not coffee,non,442379,551912
bois de chêne bourdilles,1,Not coffee,non,442379,551912
bois de chêne bouts de 6 pieds,1,Not coffee,non,442379,551912
bois de chêne carré,3,Not coffee,non,442379,551912
bois de chêne chevrons,1,Not coffee,non,442379,551912
bois de chêne courbé pour construction navale,1,Not coffee,non,442379,551912
bois de chêne d'équarrissage,1,Not coffee,non,442379,551912
bois de chêne de 30 à 40 pieds,1,Not coffee,non,442379,551912
bois de chêne de 30 pieds,1,Not coffee,non,442379,551912
bois de chêne de 40 pieds,1,Not coffee,non,442379,551912
bois de chêne de charpente,1,Not coffee,non,442379,551912
bois de chêne de construction,4,Not coffee,non,442379,551912
bois de chêne en lattes,2,Not coffee,non,442379,551912
bois de chêne en morceaux,1,Not coffee,non,442379,551912
bois de chêne en morceaux de 5 pieds,1,Not coffee,non,442379,551912
bois de chêne et sapin pour construction,1,Not coffee,non,442379,551912
bois de chêne pour bordage,2,Not coffee,non,442379,551912
bois de chêne pour construction,6,Not coffee,non,442379,551912
bois de chêne pour construction courbe,1,Not coffee,non,442379,551912
bois de chêne rond,3,Not coffee,non,442379,551912
bois de chêne scié,2,Not coffee,non,442379,551912
bois de chevrons,2,Not coffee,non,442379,551912
bois de Chine,1,Not coffee,non,442379,551912
bois de Chypre,1,Not coffee,non,442379,551912
bois de citrin et de quassie et de Rhodes et de santal blanc,2,Not coffee,non,442379,551912
bois de clafou,1,Not coffee,non,442379,551912
bois de cleippe,1,Not coffee,non,442379,551912
bois de coco,2,Not coffee,non,442379,551912
bois de combari,0,Not coffee,oui,442379,551912
bois de Constantine,1,Not coffee,non,442379,551912
bois de coulette de hêtre,1,Not coffee,non,442379,551912
bois de couleur,31,Not coffee,non,442379,551912
bois de courbant,1,Not coffee,non,442379,551912
bois de courbaril,5,Not coffee,non,442379,551912
bois de couribary,0,Not coffee,oui,442379,551912
bois de coutelier,2,Not coffee,non,442379,551912
bois de crabe,4,Not coffee,non,442379,551912
bois de crible,1,Not coffee,non,442379,551912
bois de faïence,2,Not coffee,non,442379,551912
bois de fauteuils,5,Not coffee,non,442379,551912
bois de fauteuils et canapé,1,Not coffee,non,442379,551912
bois de faux,1,Not coffee,non,442379,551912
bois de fayard,11,Not coffee,non,442379,551912
bois de fer,3,Not coffee,non,442379,551912
bois de férole,2,Not coffee,non,442379,551912
bois de figuier,1,Not coffee,non,442379,551912
bois de flèches,1,Not coffee,non,442379,551912
bois de Fondal,2,Not coffee,non,442379,551912
bois de frêne,2,Not coffee,non,442379,551912
bois de fustel,95,Not coffee,non,442379,551912
bois de fustel haché,2,Not coffee,non,442379,551912
bois de fustel pour teinture,2,Not coffee,non,2490,551912
bois de fustet,62,Not coffee,non,442379,551912
bois de fustet moulu,1,Not coffee,non,442379,551912
bois de fustet pour teinture,1,Not coffee,non,2490,551912
bois de gabarit,0,Not coffee,oui,442379,551912
bois de gaiac,0,Not coffee,oui,442379,551912
bois de gaïac,362,Not coffee,non,442379,551912
bois de gaïac des entrepôts,1,Not coffee,non,442379,551912
bois de gaiac en bûches,0,Not coffee,oui,442379,551912
bois de gaïac en bûches,1,Not coffee,non,442379,551912
bois de gaïac râpé,2,Not coffee,non,442379,551912
bois de gays,1,Not coffee,non,442379,551912
bois de genièvre,1,Not coffee,non,442379,551912
bois de girofle,44,Not coffee,non,442379,551912
bois de gitte,1,Not coffee,non,442379,551912
bois de grenadier,5,Not coffee,non,442379,551912
bois de grenadille,3,Not coffee,non,442379,551912
bois de Hambourg,1,Not coffee,non,442379,551912
bois de Honduras,1,Not coffee,non,442379,551912
bois de Honduras en bûches,1,Not coffee,non,442379,551912
bois de houx,1,Not coffee,non,442379,551912
bois de houx bûches,1,Not coffee,non,442379,551912
bois de jacaranda,20,Not coffee,non,442379,551912
bois de lettre,6,Not coffee,non,442379,551912
bois de lin,3,Not coffee,non,442379,551912
bois de lit,24,Not coffee,non,442379,551912
bois de lit d'acajou,1,Not coffee,non,442379,551912
bois de machandises marbré,5,Not coffee,non,442379,551912
bois de machemillier,6,Not coffee,non,442379,551912
bois de Magny,1,Not coffee,non,442379,551912
bois de marbre,2,Not coffee,non,442379,551912
bois de marguerite,1,Not coffee,non,442379,551912
bois de marine,1,Not coffee,non,442379,551912
bois de marqueterie,82,Not coffee,non,442379,551912
bois de mathe,0,Not coffee,oui,442379,551912
bois de melle,1,Not coffee,non,442379,551912
bois de menuiserie,20,Not coffee,non,442379,551912
bois de merrain,0,Not coffee,oui,442379,551912
bois de merrain à fond,0,Not coffee,oui,442379,551912
bois de Nantes,1,Not coffee,non,442379,551912
bois de Nicaragua,1,Not coffee,non,442379,551912
bois de noyer,57,Not coffee,non,442379,551912
bois de palissandre,45,Not coffee,non,442379,551912
bois de Pernambouc,241,Not coffee,non,888,551912
bois de Pernambouc à teindre,2,Not coffee,non,888,551912
bois de Pernambouc arbustes,2,Not coffee,non,888,551912
bois de Pernambouc en bûche,4,Not coffee,non,888,551912
bois de Pernambouc moulu,6,Not coffee,non,888,551912
bois de Pernambouc râpé,2,Not coffee,non,888,551912
bois de pin,9,Not coffee,non,442379,551912
bois de pourpre,1,Not coffee,non,442379,551912
bois de Provence,1,Not coffee,non,442379,551912
bois de Provence Pernambouc et Campêche,2,Not coffee,non,888,551912
bois de quassie,1,Not coffee,non,442379,551912
bois de raquette,1,Not coffee,non,442379,551912
bois de réglisse,64,Not coffee,non,442379,551912
bois de réglisse et jus de réglisse,1,Not coffee,non,442379,551912
bois de Rhodes,7,Not coffee,non,442379,551912
bois de Rhodes et sental-citrin etc.,2,Not coffee,non,442379,551912
bois de romarin,1,Not coffee,non,442379,551912
bois de rosat,0,Not coffee,oui,442379,551912
bois de rose,76,Not coffee,non,442379,551912
bois de roseau,10,Not coffee,non,442379,551912
bois de rouage,12,Not coffee,non,442379,551912
bois de rouage et ouvrages de charronnerie,1,Not coffee,non,442379,551912
bois de Sainte-Lucie,2,Not coffee,non,442379,551912
bois de Sainte-Marthe,251,Not coffee,non,442379,551912
bois de Sainte-Marthe en bûches,3,Not coffee,non,442379,551912
bois de Sainte-Marthe moulu,1,Not coffee,non,442379,551912
bois de Sainte-Marthe pour teinture,1,Not coffee,non,2490,551912
bois de santal,232,Not coffee,non,442379,551912
bois de santal ???,1,Not coffee,non,442379,551912
bois de santal blanc,4,Not coffee,non,442379,551912
bois de santal cetrin,1,Not coffee,non,442379,551912
bois de santal citrin,6,Not coffee,non,442379,551912
bois de santal en bûches,10,Not coffee,non,442379,551912
bois de santal moulu,127,Not coffee,non,442379,551912
bois de santal mouton,1,Not coffee,non,442379,551912
bois de santal pour teinture,1,Not coffee,non,2490,551912
bois de santal rouge,4,Not coffee,non,442379,551912
bois de sap,1,Not coffee,non,442379,551912
bois de sapin,104,Not coffee,non,442379,551912
bois de sapin de 18 pieds,1,Not coffee,non,442379,551912
bois de sapin de 2 à 3 pieds,1,Not coffee,non,442379,551912
bois de sapin de 20 à 30 pieds,1,Not coffee,non,442379,551912
bois de sapin de 20 pieds,1,Not coffee,non,442379,551912
bois de sapin de 22 pieds et 12 pouces,1,Not coffee,non,442379,551912
bois de sapin de 27 pieds,1,Not coffee,non,442379,551912
bois de sapin de 40 pieds,2,Not coffee,non,442379,551912
bois de sapin de 6 pieds,1,Not coffee,non,442379,551912
bois de sapin peint,2,Not coffee,non,442379,551912
bois de sappan,47,Not coffee,non,442379,551912
bois de sappan moulu à teindre,0,Not coffee,oui,2490,551912
bois de sappan moulu pour teindre,1,Not coffee,non,2490,551912
bois de sappan pour teindre,1,Not coffee,non,2490,551912
bois de sassafras,26,Not coffee,non,442379,551912
bois de sassafras moulu,1,Not coffee,non,442379,551912
bois de saule,1,Not coffee,non,442379,551912
bois de saune,1,Not coffee,non,442379,551912
bois de Sayan,1,Not coffee,non,442379,551912
bois de selles,1,Not coffee,non,442379,551912
bois de senteur,1,Not coffee,non,442379,551912
bois de serrure,1,Not coffee,non,442379,551912
bois de simarouba,40,Not coffee,non,442379,551912
bois de soie,0,Not coffee,oui,442379,551912
bois de sommiers,2,Not coffee,non,442379,551912
bois de tables doré,1,Not coffee,non,442379,551912
bois de tamis,1,Not coffee,non,442379,551912
bois de teinture,97,Not coffee,non,2490,551912
bois de teinture autres que Pernambouc et moulu,2,Not coffee,non,2490,551912
bois de teinture des entrepôts,1,Not coffee,non,2490,551912
bois de teinture en bûches,4,Not coffee,non,2490,551912
bois de teinture en bûches ou morceaux et autres bois exotiques,3,Not coffee,non,2490,551912
bois de teinture en bûches ou morceaux et Pernambouc,3,Not coffee,non,888,551912
bois de teinture et marqueterie,3,Not coffee,non,2490,551912
bois de teinture moulu,16,Not coffee,non,2490,551912
bois de teinture moulu Pernambouc,6,Not coffee,non,888,551912
bois de teinture Nicaragua,1,Not coffee,non,2490,551912
bois de teinture Pernambouc,2,Not coffee,non,888,551912
bois de teure,1,Not coffee,non,442379,551912
bois de tilleul,2,Not coffee,non,442379,551912
bois de toctacanot,1,Not coffee,non,442379,551912
bois de violette,25,Not coffee,non,442379,551912
bois des Îles et des Indes,14,Not coffee,non,2490,551912
bois des Îles et des Indes moulu,3,Not coffee,non,2490,551912
bois des Îles et des Indes pour teinture et marqueterie,3,Not coffee,non,2490,551912
bois des Indes,516,Not coffee,non,2490,551912
bois des Indes de teinture,14,Not coffee,non,2490,551912
bois des Indes de teinture moulu,1,Not coffee,non,2490,551912
bois des Indes de violette,1,Not coffee,non,2490,551912
bois des Indes en bûches,15,Not coffee,non,2490,551912
bois des Indes et d'ébénisterie et de marqueterie,10,Not coffee,non,2490,551912
bois des Indes jaune,14,Not coffee,non,2490,551912
bois des Indes moulu,8,Not coffee,non,2490,551912
bois des Indes moulu en bûches,1,Not coffee,non,2490,551912
bois des Indes pour marqueterie,4,Not coffee,non,2490,551912
bois des Indes pour teinture,1,Not coffee,non,2490,551912
bois des Indes pour teinture et marqueterie,18,Not coffee,non,2490,551912
bois des Indes râpé,19,Not coffee,non,2490,551912
bois des Indes rose,1,Not coffee,non,2490,551912
bois des Indes rouge,6,Not coffee,non,2490,551912
bois dit à fond,1,Not coffee,non,442379,551912
bois dit ricter,2,Not coffee,non,442379,551912
bois dit schaelen ou rebuts de bois,1,Not coffee,non,442379,551912
bois dit weres,1,Not coffee,non,442379,551912
bois doré,12,Not coffee,non,442379,551912
bois du Honduras de teinture,1,Not coffee,non,2490,551912
bois du Japon,22,Not coffee,non,442379,551912
bois du Japon jaune,1,Not coffee,non,442379,551912
bois du Levant,1,Not coffee,non,442379,551912
bois du Surinam,1,Not coffee,non,442379,551912
bois durci,1,Not coffee,non,442379,551912
bois écarié,0,Not coffee,oui,442379,551912
bois en ??? à houblon,1,Not coffee,non,442379,551912
bois en battreaux,1,Not coffee,non,442379,551912
bois en billes pour meuble,2,Not coffee,non,442379,551912
bois en bûches,1,Not coffee,non,442379,551912
bois en bûches pour brûler,8,Not coffee,non,442379,551912
bois en epriers,1,Not coffee,non,442379,551912
bois en tranches,18,Not coffee,non,442379,551912
bois équarri,1,Not coffee,non,442379,551912
bois et écorces de chêne et de frêne,1,Not coffee,non,442379,551912
bois et merrains,1,Not coffee,non,442379,551912
bois et ouvrages de charronerie,1,Not coffee,non,442379,551912
bois et panier de coudre,0,Not coffee,oui,442379,551912
bois et paniers de coudre,1,Not coffee,non,442379,551912
bois et papier d'éventail,1,Not coffee,non,442379,551912
bois exotique d'ébénisterie,1,Not coffee,non,442379,551912
bois exotique de teinture,1,Not coffee,non,2490,551912
bois exotique de teinture en morceaux et Pernambouc,1,Not coffee,non,888,551912
bois flotté en étançon rond,1,Not coffee,non,442379,551912
bois fonçaille,1,Not coffee,non,442379,551912
bois fond à castor,1,Not coffee,non,442379,551912
bois fustet,103,Not coffee,non,442379,551912
bois gaïac,5,Not coffee,non,442379,551912
bois gros,3,Not coffee,non,442379,551912
bois jaune,257,Not coffee,non,442379,551912
bois jaune à teindre,1,Not coffee,non,2490,551912
bois jaune en bûches,1,Not coffee,non,442379,551912
bois jaune moulu,2,Not coffee,non,442379,551912
bois jaune râpé,3,Not coffee,non,442379,551912
bois joli,1,Not coffee,non,442379,551912
bois jonquette,1,Not coffee,non,442379,551912
bois long,1,Not coffee,non,442379,551912
bois lourd,1,Not coffee,non,442379,551912
bois marbré,28,Not coffee,non,442379,551912
bois marbré de 6 pieds,1,Not coffee,non,442379,551912
bois merrains à cardines,1,Not coffee,non,442379,551912
bois moulu,3,Not coffee,non,442379,551912
bois néphrétique,7,Not coffee,non,442379,551912
bois odorants,4,Not coffee,non,442379,551912
bois osier,34,Not coffee,non,442379,551912
bois ouvré,0,Not coffee,oui,442379,551912
bois ouvré pour bâtir,0,Not coffee,oui,442379,551912
bois ouvré pour bats,0,Not coffee,oui,442379,551912
bois palissandre,1,Not coffee,non,442379,551912
bois perible,2,Not coffee,non,442379,551912
bois petit de rouage,2,Not coffee,non,442379,551912
bois portatif dit neyster,1,Not coffee,non,442379,551912
bois pour arbalètes,1,Not coffee,non,442379,551912
bois pour banquière,1,Not coffee,non,442379,551912
bois pour barils,19,Not coffee,non,442379,551912
bois pour barils long,1,Not coffee,non,442379,551912
bois pour barils non scié,1,Not coffee,non,442379,551912
bois pour barils ordinaire,1,Not coffee,non,442379,551912
bois pour barils pour fond,1,Not coffee,non,442379,551912
bois pour barrique,4,Not coffee,non,442379,551912
bois pour basse,1,Not coffee,non,442379,551912
bois pour bâtir,69,Not coffee,non,442379,551912
bois pour bâtir de 14 pieds de long,1,Not coffee,non,442379,551912
bois pour bats,4,Not coffee,non,442379,551912
bois pour bâts,4,Not coffee,non,442379,551912
bois pour battes de chêne,1,Not coffee,non,442379,551912
bois pour boîtes,3,Not coffee,non,442379,551912
bois pour bordage,1,Not coffee,non,442379,551912
bois pour boucles,1,Not coffee,non,442379,551912
bois pour brûler,588,Not coffee,non,442379,551912
bois pour brûler d'orme,1,Not coffee,non,442379,551912
bois pour brûler de chêne,1,Not coffee,non,442379,551912
bois pour brûler de gite,1,Not coffee,non,442379,551912
bois pour brûler en ???,2,Not coffee,non,442379,551912
bois pour brûler et autres,2,Not coffee,non,442379,551912
bois pour brûler et fagots,1,Not coffee,non,442379,551912
bois pour cabanière,1,Not coffee,non,442379,551912
bois pour cercle,2,Not coffee,non,442379,551912
bois pour chaise,1,Not coffee,non,442379,551912
bois pour charpente,2,Not coffee,non,442379,551912
bois pour chocolat,1,Not coffee,non,442379,551912
bois pour comble,1,Not coffee,non,442379,551912
bois pour construction,455,Not coffee,non,442379,551912
bois pour construction de 22 pieds,1,Not coffee,non,442379,551912
