orthographic_normalization_classification,simplification_classification,nbr_occurences_ortho,nbr_occurences_simpl
autel de marbre,autel de marbre,2,2
autre outil de pur acier,outil d'acier pur,1,1
autres céréales farine,farine,4,1566
autres céréales grains,grains,5,6
autres céréales grains de la Corse,grains de la Corse,1,1
autres couleurs autrement préparées,couleurs autrement préparées,2,2
autres couleurs préparées à l'huile,couleurs préparées à l'huile,2,2
autres matériaux de construction,matériaux de construction,2,101
autres matières minérales de toute sorte,matières minérales,2,2
autres métaux,métaux,144,144
autres outils de fer rechargé d'acier,outils de fer rechargé d'acier,1,8
autres outils de pur fer,outils de fer pur,1,8
avelanèdes,avelanèdes,53,58
"avelanèdes, valonèdes ou vallonées",avelanèdes,5,58
avelines,avelines,8,8
aviron,avirons,1,639
avirons,avirons,638,639
avirons bruts,avirons bruts,17,17
avirons de 12 pieds,avirons de 12 pieds,1,1
avirons de 18 pieds,avirons de 18 pieds,1,1
avirons de 30 pieds,avirons de 30 pieds,1,1
avirons de 5 pieds,avirons de 5 pieds,1,1
avirons de 8 à 12,avirons de 8 à 12 pieds,1,1
avirons de chêne,avirons de chêne,1,1
avirons de sapin,avirons de sapin,1,1
avirons et rames bruts,avirons et rames bruts,2,2
avirons et rames façonnés,avirons et rames façonnés,5,5
avirons polis,avirons polis,1,1
avoine,avoine,497,498
avoine en gerbes,avoine en gerbes,1,1
avoine et haricots,avoine et haricots,1,1
avoine mondée,avoine mondée,1,1
avoine moulée,avoine moulée,1,1
avoine orge etc.,avoine et orge etc.,1,1
azur,azur,671,729
azur commun,azur commun,193,197
azur et cobalt,azur et cobalt,20,20
azur fin,azur fin,13,13
azur gros,azur gros,19,22
azur ou bleu commun,azur commun,1,197
babouches,babouches,90,90
babouches de maroquin,babouches de maroquin,2,2
bacs contenant une aime,bacs d'1 aime,1,1
bacs de pierre,bacs de pierre,1,1
bacs de pierre bleue,bacs de pierre bleue,1,1
bacs de pierre contenant 1 aime,bacs de pierre d'1 aime,1,1
bacs de pierre contenant 4 aimes,bacs de pierre de 4 aimes,1,1
bacs de pierre de demi d'aime,bacs de pierre de demi d'aime,1,1
bacs de pierre de moindre classe,bacs de pierre de moindre classe,1,1
bacs de pierre de trois-quart d'aime,bacs de pierre de trois-quart d'aime,1,1
bacs de pierre en dessous d'1 aime,bacs de pierre en dessous d'1 aime,1,1
bacs de pierre en dessus d'1 aime,bacs de pierre en dessus d'1 aime,1,1
badiane,badiane,6,60
badiane ou anis étoilé,badiane,1,60
baffetas,taffetas,105,216
baffetas blanc,baffetas blanc,19,19
baffetas bleu,baffetas bleu,26,26
bagarot,bagarot,1,1
bagues,bagues,5,5
bagues à pierres fausses,bagues à pierres fausses,1,1
bagues d'or,bagues d'or,1,1
bagues de cuivre,bagues de cuivre,2,2
bagues de laiton,bagues de laiton,1,1
bagues de verre,bagues de verre,3,3
baguettes,baguettes,6,6
baguettes à chandelle,baguettes à chandelle,1,1
baguettes à fusils,baguettes de fusil,4,47
baguettes de bois,baguettes de bois,1,1
baguettes de bois doré,baguettes de bois doré,1,1
baguettes de cuivre,baguettes de cuivre,1,3
baguettes de fer pour fusils,baguettes de fer à fusil,1,1
baguettes de fusils,baguettes de fusil,43,47
baguettes étoffe,baguettes à étoffe,2,2
bahuts,bahuts,24,24
baie de laurier,baie de laurier,26,28
baies de buis,baies de buis,1,1
baies de genièvre,baies de genièvre,6,6
baignes,baignes,3,3
baignoires,baignoires,2,2
baignoires de cuivre,baignoires de cuivre,1,4
baignoires de sapin,baignoires de sapin,1,1
baignoires de tôle,baignoires de tôle,2,2
baigots,baigots,1,1
baillarge,baillarge,5,5
bailles,bailles,1,1
baïonnettes,baïonnettes,10,13
bais de bois de chêne,bais de bois de chêne,1,1
bajutapau,bajutapau,199,230
"bajutapau, canelis, etc.","bajutapau, canelis, etc.",3,3
balais,balais,101,123
balais communs,balais communs,5,5
balais coupés,balais coupés,3,3
balais de bois,balais de bois,37,39
balais de brandes,balais de brandes,1,1
balais de bruyère,balais de bruyère,13,13
balais de chanvre,balais de chanvre,1,1
balais de crin,balais de crin,12,12
balais de foyer,balais de foyer,1,1
balais de jonc,balais de jonc,50,50
balais de jonc petits,balais de jonc petits,1,1
balais de laine à laver les planchers,balais de laine à laver les planchers,1,1
balais de millet,balais de millet,2,2
balais de paille,balais de paille,2,2
balais de paille de riz,balais de paille de riz,6,6
balais de palme,balais de palme,295,295
balais de palme grands,balais grands de palme,2,2
balais de palme petits,balais de palme petits,1,1
balais de plumes,balais de plumes,3,3
balais de poil,balais de poil,2,2
balais de riz,balais de riz,5,5
balais de soie,balais de soie,7,7
balais de soie de porcs,balais de soie de porcs,17,18
balais de soie en porcs,balais de soie de porcs,1,18
balais de toile,balais de toile,1,1
balais divers,balais,22,123
balais du roi,balais du roi,1,1
balais fins,balais fins,1,1
balais ou ramons,balais ou ramons,1,1
balance,balance,8,8
balance à la romaine,balance à la romaine,1,1
balance complète,balance complète,1,1
balance de bois,balance de bois,1,1
balance de cuivre,balance de cuivre,5,8
balance de cuivre jaune,balance de cuivre jaune,1,1
balance et poids de cuivre,balance et poids de cuivre,1,1
balance et romaine,balance romaine,3,3
balance et ses poids,balance et ses poids,1,1
balance petite,balance petite,1,1
baleine,baleine,125,125
baleine apprêtée,baleine apprêtée,1,1
baleine coupée,baleine coupée,640,641
baleine coupée en fanon,baleine coupée en fanon,11,11
baleine coupée et en fanon,baleine coupée et en fanon,12,12
baleine de fanon,baleine en fanon,1,278
baleine de sarde,baleine de sarde,18,18
baleine de sarde en fanon,baleine en fanon et de sarde,1,1
baleine en fanon,baleine en fanon,275,278
baleine fanon,baleine en fanon,2,278
baleine non sciée,baleine non sciée,1,1
baleine sciée ou coupée,baleine coupée,1,641
baleine taillée,baleine taillée,1,1
balfas,taffetas,1,216
balles,balles,1,1
balles à jouer,balles à jouer,3,3
balles d'osier,balles d'osier,3,3
balles de fer uni,balles de fer uni,1,1
balles de jonc,balles de jonc,1,1
balles de palme,balles de palme,1,1
balles vides,balles vides,1,1
balustres,balustres,12,12
bamboches,bamboches,1,1
bambous,bambous,8,8
banastron,banastron,1,1
banc à couper la paille,banc à couper la paille,1,1
banc de sapin,banc de sapin,1,1
bandages,bandages,4,4
bandages de peaux,bandages de peaux,5,5
bandages de soldats,bandages pour soldats,1,1
bandeaux,bandeaux,4,4
banderoles,banderoles,1,1
banderoles de cuir,banderoles de cuir,2,2
bandoulières garnies d'argent,bandoulières garnies d'argent,1,1
bannettes d'osier,bannettes d'osier,1,1
bannettes de cuir,bannettes de cuir,1,1
bannière de Damas,bannière de Damas,1,1
banquette,banquette,4,4
baquelets,baquelets,1,1
baquets,baquets,2,2
baquets à jeter l'eau,baquets à jeter l'eau,1,1
baquets de rechange,baquets de rechange,1,1
baquets de sapin,baquets de sapin,2,2
baracan,baracan,161,172
baracan aune,baracan aune,1,1
baracan d'Abbeville,baracan d'Abbeville,1,1
baracan de laine,baracan de laine,3,14
baracan de Lille,baracan de Lille,1,1
baratte,baratte,1,1
barbançons,barbançons,6,6
barbançons de grès,barbançons de grès,12,12
barbançons de terre,barbançons de terre,15,15
barbançons de terre de grès,barbançons de terre de grès,1,1
barbançons de verre,barbançons de verre,1,1
barbe de baleine,barbe de baleine,10,10
barbotine,barbotine,7,43
barbues,barbues,1,1
barbues couvertes d'étamine,barbues couvertes d'étamine,1,1
barbues de grès,barbues de grès,13,14
barbues de terre,barbues de terre,1,1
barbues et grès,barbues de grès,1,14
bardes diverses,bardes,5,5
barilleau,barilleau,8,8
barils,barils,9,9
barils à poudre,barils à poudre,5,5
barils à saler sardines,barils pour saler sardines,1,1
barils ancres,barils ancres,1,1
barils de chêne,barils de chêne,1,1
barils de sapin,barils de sapin,1,1
barils de vin de ???,barils de vin de ???,3,4
barils neufs,barils neufs,1,1
barils petits,barils petits,2,2
barils vides,barils vides,115,115
barils vides de sardines,barils vides de sardines,2,2
barils vieux,barils vieux,1,1
barils vin de ???,barils de vin de ???,1,4
barois,barois,8,8
baromètre,baromètre,6,6
barques,barques,2,2
barques démontées,barques démontées,1,1
barques en bottes,barques en bottes,1,1
barquettes,barquettes,1,1
barquettes et nacelles,barquettes et nacelles,1,1
barquettes vieilles,barquettes vieilles,1,1
barreaux,barreaux,3,3
barreaux de sapin,barreaux de sapin,2,2
barreaux de sapin de 10 pieds,barreaux de sapin de 10 pieds,1,1
barreaux neufs,barreaux neufs,2,2
barres,barres,4,4
barres à nègre,barres à nègre,1,1
barres d'anspects,barres d'anspects,88,96
barres d'anspects sans dénomination et grandeur,barres d'anspects,6,96
barres de barriques,barres de barrique,1,1
barres de bois,barres de bois,24,37
barres de bois de chêne,barres de chêne,1,1
barres de cabestan,barres de cabestan,64,65
barres de cabestan barres d'anspects,barres d'anspects et barres de cabestan,1,1
barres de chêne petites,barres de chêne petites,1,1
barres de futel,barres de futel,1,1
barres de guindeau,barres de guindeau,45,45
barres de sapin,barres de sapin,2,2
barres de sapin de 3 à 4 pieds,barres de sapin de 3 à 4 pieds,1,1
barres de sapin pour fonçaille,barres de sapin pour fonçaille,1,1
barres maître-fond,barres maître-fond,1,1
barres pour édifices,barres pour édifices,1,1
barres pour édifiées,barres pour édifiées,1,1
barrettes,barrettes,1,1
barrettes de cuivre,barrettes de cuivre,1,3
barriques,barriques,1,53
barriques à eau,barriques à eau,1,2
barriques à l'eau,barriques à eau,1,2
barriques cerclées et fer,barriques cerclées de fer,1,1
barriques en bœuf,barriques en bœuf,1,1
barriques en bottes,barriques,52,53
barriques muid,barriques vides,5,93
barriques neuves,barriques neuves,5,5
barriques vides,barriques vides,86,93
barriques vides cerclées de fer,barriques cerclées de fer et vides,1,1
barriques vides vides,barriques vides,2,93
barriques vides vieilles,barriques vides vieilles,10,48
barriques vieille muid,barriques vides vieilles,3,48
barriques vieilles,barriques vieilles,19,19
barriques vieilles à vide,barriques vides vieilles,1,48
barriques vieilles et vides,barriques vides vieilles,2,48
barriques vieilles vides,barriques vides vieilles,32,48
bas,bas,6,11
bas assortis,bas,2,11
bas assortis de toute qualité,bas,1,11
bas communs,bas communs,2,2
bas coton,bas de coton,2,565
bas coton et fil,bas de coton et bas de fil,2,324
bas d'estame,bas d'estame,68,68
bas d'estame fins,bas d'estame fins,2,2
bas d'étoffe,bas d'étoffe,1,1
bas de bourre de soie,bas de bourre de soie,2,6
bas de Carcassone,bas de Carcassone,1,1
bas de castor,bas de castor,11,11
bas de chamois,bas de chamois,19,19
bas de coton,bas de coton,524,565
bas de coton de femme,bas de coton de femme,1,1
bas de coton en paires,bas de coton en paires,1,1
bas de coton et fil,bas de coton et bas de fil,22,324
bas de coton fil,bas de coton et bas de fil,2,324
bas de coton fil et soie,bas de coton et bas de fil et bas de soie,1,1
bas de coton pour enfant,bas de coton pour enfant,1,1
bas de coton pour femme,bas de coton pour femme,1,1
bas de coton pour homme,bas de coton pour homme,1,1
bas de fil,bas de fil,650,706
bas de fil à coton,bas de coton et bas de fil,20,324
bas de fil commun,bas de fil commun,21,21
bas de fil d'or,bas de fil d'or,2,2
bas de fil de coton,bas de coton et bas de fil,5,324
bas de fil de coton par paires,bas de coton et bas de fil par paires,1,1
bas de fil divers,bas de fil divers,1,1
bas de fil en paires,bas de fil par paires,1,3
bas de fil et bonnets,bas de fil et bonnets,2,2
bas de fil et coton,bas de coton et bas de fil,258,324
bas de fil et laine,bas de fil et bas de laine,1,1
bas de fil par paires,bas de fil par paires,2,3
bas de fil pour femme,bas de fil et pour femme,2,2
bas de fil pour homme,bas de fil et pour homme,1,1
bas de filoselle,bas de filoselle,256,258
bas de Flandre d'homme,bas de Flandre d'homme,1,1
bas de Flandre de femme,bas de Flandre de femme,1,1
bas de fleuret,bas de fleuret,82,83
bas de la laine,bas de laine,1,806
bas de laine,bas de laine,766,806
bas de laine communs,bas de laine communs,9,9
bas de laine d'homme,bas de laine d'homme,1,1
bas de laine de Ségovie,bas de laine de Ségovie,3,3
bas de laine écarlate,bas de laine écarlate,2,2
bas de laine et coton,bas de coton et laine,1,1
bas de laine fins,bas de laine fin,17,17
bas de laine grossière,bas de laine grossière,2,21
bas de laine grossiers,bas de laine grossière,19,21
bas de laine par paires,bas de laine par paires,1,2
bas de mulet,bas de mulet,1,1
bas de peau,bas de peau,14,14
bas de poil,bas de poil,8,8
bas de Saint-Maixant,bas de Saint-Mexant,7,7
bas de Ségovie,bas de Ségovie,2,2
bas de soie,bas de soie,1327,1410
bas de soie à coins d'argent,bas de soie à coins d'argent,1,1
bas de soie à coins d'or,bas de soie à coins d'or,2,2
bas de soie à coins d'or et d'argent,bas de soie à coins d'or et bas de soie à coins d'argent,2,2
bas de soie à crin d'or,bas à crin d'or et de soie,1,1
bas de soie brodés,bas de soie brodés,1,1
bas de soie brodés d'or,bas de soie brodés d'or,1,1
bas de soie brodés or et argent,bas de soie brodés d'or et bas de soie brodés d'argent,1,1
bas de soie d'homme,bas de soie pour homme,7,28
bas de soie de femme,bas de soie pour femme,5,27
bas de soie de la Chine,bas de soie de Chine,1,1
bas de soie de la Chine pour femme,bas de soie de Chine pour femme,1,1
bas de soie de la Chine pour homme,bas de soie de Chine pour homme,1,1
bas de soie pour femme,bas de soie pour femme,22,27
bas de soie pour homme,bas de soie pour homme,21,28
bas de soie pour teindre,bas de soie pour teindre,1,1
bas de soie vieux,bas de soie vieux,3,3
bas de toile,bas de toile,1,1
bas des Îles et des Indes divers,bas des Îles et des Indes,1,1
bas divers,bas,2,11
bas drapés,bas drapés,1,1
bas écriers,bas écriers,1,1
bas et bonnets de castor,bas et bonnets de castor,1,1
bas et bonnets de coton,bas de coton et bonnets de coton,29,30
bas et bonnets de fil,bas et bonnets de fil,4,4
bas et bonnets de laine,bas de laine et bonnets de laine,2,7
bas et bonnets en coton,bas de coton et bonnets de coton,1,30
bas et gants de soie,bas de soie et gants de soie,1,1
bas et mitaines de soie bas,mitaines de soie,1,2
bas et mitaines de soie mitaines,bas de soie,1,1410
bas étrillés,bas étrillés,1,1
bas fil et coton,bas de coton et bas de fil,14,324
bas gants et bonnets de laine,bas de laine et gants de laine et bonnets de laine,2,2
bas gants et bonnets de laine fil et coton,bas gants et bonnets de laine fil et coton,2,2
bas grossiers,bas grossiers,4,4
bas laine par paires,bas de laine par paires,1,2
bas poil et soie,bas de poil et bas de soie,2,3
bas pour femme,bas pour femme,1,1
bas pour homme,bas pour homme,1,1
bas soie et coton,bas de coton et bas de soie,1,1
bas soie et laine,bas de laine et bas de soie,1,1
bas soie et poil,bas de poil et bas de soie,1,3
bas-relief de marbre,bas-relief de marbre,1,1
basanes,basanes,46,46
basanes apprêtées,basanes apprêtées,1,1
basanes de mouton,basanes de mouton,9,9
basanes de mouton tannées,basanes de mouton tannées,2,2
basanes de veau,basanes de veau,4,4
basanes de veau tannées,basanes tannées de veau,7,8
basanes tanées,basanes tannées,2,292
basanes tannées,basanes tannées,290,292
basanes tannées de veau,basanes tannées de veau,1,8
basin,basin,657,686
basin aune,basin,1,686
basin blanc,basin blanc,4,4
basin blanc de 10 aunes,basin blanc de 10 aunes,1,1
basin blanc de 11 aunes,basin blanc de 11 aunes,1,1
basin brodé,basin brodé,7,7
basin commun,basin commun,16,16
basin de Bruges écru en pièces de 115 aunes,"basin de Bruges écru en pièce de 11,5 aunes",1,1
basin de Godelour,basin de Godelour,1,1
basin de Rouen,basin de Rouen,1,1
basin de soie,basin de soie,1,1
basin de Troyes,basin de Troyes,11,11
basin des Indes,basin des Indes,46,47
basin en aune,basin en aunes,1,1
basin fibres coton,basin coton,1,1
basin fil et coton,basin de fil et de coton,2,2
basin or et argent,basin argent et or,1,1
basin peint,basin peint,1,1
basin pièces de 11 aunes,basin pièces de 11 aunes,1,1
basin pièces de 15 aunes,basin pièces de 15 aunes,1,1
basin pièces de 40 aunes,basin pièces de 40 aunes,1,1
basin rayé,basin rayé,1,1
basin sec fil,basin sec fil,1,1
basin tout coton,basin tout coton,1,1
baspormettes,baspormettes,1,1
basse,basse,1,6
basse de viole,basse de viole,11,12
basse et bassons,basse et bassons,1,1
bassin à barbe,bassin à barbe,1,1
bassin à cassave,bassin à cassave,1,1
bassin d'étain,bassin d'étain,23,28
bassin de barbe,bassin de barbe,1,1
bassin de bois,bassin de bois,1,1
bassin de cuivre,bassin de cuivre,30,121
bassin de cuivre à barbe,bassin à barbe de cuivre,1,1
bassin de cuivre grand,bassin de cuivre grand,1,1
