marchandises_normalisees,marchandises_simplifies,sitc_rev1,sitc_rev2,Classification produits médicinaux,Répétition,remarques_marchandises,Column1,Wallis List,EXCLUSION, not medical primarily,Nom Wallis,Large,Narrow,sitc1digit,sitc18thc,nbr_lignes_fr_bis,classification_hambourg_etroite,classification_hambourg_large,ajouts_565860,,,,,,,,,,,,,
Drogue ; chimique ; Sel de tamarin,Drogues ; Chimiques,5,5,1,0,Savary, volume 3, 1748 « Espèce de fruit médicinal et purgatif, d'un goût aigret et assez agréable ». Peut servir dans la confection de baumes (Dictionnaire classique des sciences naturelles, Drapiez),1,1,0,Sal Tamarisci,0,1,,,2,,,,,,,,,,,,,
Drogue ; chimique ; Sel d'epsom,Drogues ; Chimiques,5,5,1,0,Sel d'epsom: Sulfate de magnésium : purgatif doux (Savary volume 1),1,1,0,epsom salts,0,1,,,22,,,,,,,,,,,,,,,,,
Drogue ; Chimique ; sel d'opium,Drogues,5,5,1,0,"Savary, volume 3, 1748 : « Vient du Levant et particulièrement du Caire […] L'Opium et le Laudanum simple sont deux drogues dont il est dangereux d'user sans le conseil d'habiles Médecins ; et il est à craindre, comme il n'arrive que très souvent, qu'au lieu de rappeler simplement le sommeil, ils n'en procurent un qui dure toujours. Il se fait une très grande consommation et un très grand commerce d'Opium. »",1,1,0,Opium,0,1,,,1,,,,,,,,,,,,,,,,,
Drogue ; chimique ; Sel saturne,Drogues ; Chimiques,5,5,1,0,Sucre ou sel de plomb : (Médecine ancienne) Sel d'acétate de plomb (métal) cristallisé, utilisé dans les préparations chimiques.,1,1,0,Saccarum Saturne,0,1,,,124,,,,,,,,,,,,,,,,
Drogue ; chimique ; Sel sublimé,Drogues ; Chimiques,5,5,1,0,"Savary, volume 3, 1748 : « Préparation chimique dont la base est le mercure ou le vif d'argent ; il y en a de deux sortes, de corrosif et de doux. […] réduit en poudre il tire sur le jaune. Il est bon pour faire mourir les vers des enfants et l'on s'en sert aussi dans ces maladies dont le mercure est le souverain remède »",1,1,1,Mercury Sublimate,1,0,,,2,,,,,,,,,,,,,,,,,
Drogue ; chimique ; Sublimé,Drogues ; Chimiques,5,5,1,0,"Savary, volume 3, 1748 : « Préparation chimique dont la base est le mercure ou le vif d'argent ; il y en a de deux sortes, de corrosif et de doux. […] réduit en poudre il tire sur le jaune. Il est bon pour faire mourir les vers des enfants et l'on s'en sert aussi dans ces maladies dont le mercure est le souverain remède »",1,1,1,Mercury Sublimate,1,0,,,2,,,,,,,,,,,,,,,,,
Drogue ; chimique et métallique ; antimoine,Drogues ; Chimiques,5,5,1,0,Savary, volume 1, 1748 : « Minéral qui approche fort de la nature des métaux, […] est d'un grand usage soit dans la fonte des métaux, dans la médecine et chez les Maréchaux. […] l'Antimoine, qui ne trouve plus d'adversaire et qui est devenu le remède de toutes les maladies qui paraissent ne plus en avoir ». Effet très puissant, pas toujours prévisible, purgatif…,1,1,0,Stibium,0,1,,,48,,,,,,,,,,
Drogue ; diverse,Drogues ; Chimiques,5,5,1,0,,,0,,,0,1,,,4,,,,,,,,,,,,,,,,,
Drogue ; Essence de vitriol,Drogues,5,5,1,0,Savary, volume 3, 1748 : « Espèce de sel solide ou de minéral qui se trouve dans les mines de cuivre. […] Il faut pourtant convenir que cette poudre bien composé est excellente pour guérir les plaies et arrêter le sang, pourvu que ce soit par application sur la partie blessée »,1,1,1,Ol Vitriol,1,0,,,84,,,,,,,,,,,,,,
Drogue ; Galbanum,Drogues,5,5,1,0,Savary, volume 2, 1748 : « Substance entre la résine et la gomme qui vient du Levant par la voie de Marseille […] grand usage en Médecine où il entre dans la composition de plusieurs emplâtres »,1,1,0,galbanum,0,1,,,1,,,,,,,,,,,,,,,
Drogue ; Gomme ; copal,Drogues,2,2,1,0,Cf. P.H.Wallis :Also, Gum Copal. From Guinea.,,1,0,Gum Copal,0,1,,,3,Gomme,Gomme,,,,,,,,,,,,,,
Drogue ; Gommes ; Gutte,Drogues,2,2,1,0,Savary, volume 2, 1723 : Quelques usages en médecine, mais surtout utilisé pour la teinture,,0,,,1,0,,,2,Gomme,Gomme,,,,,,,,,,,,
Drogue ; Gommes ; Laque,Drogues,2,2,1,0,,,0,,,0,0,,,8,Gomme,Gomme,,,,,,,,,,,,,,,
Drogue ; Gousses arabiques,Drogues,2,2,1,0,Liste wallis : Ou Gomme arabique,1,1,1,Gum Arabeck,1,0,,,1,,,,,,,,,,,,,,,,,
Drogue ; Gousses diverses,Drogues,2,2,1,0,,,0,,,1,0,,,1,,,,,,,,,,,,,,,,,
Drogue ; Gousses du Senegal,Drogues,2,2,1,0,Liste wallis : Ou Gomme arabique,,1,1,Gum Arabeck,1,0,,,3,,,,,,,,,,,,,,,,,
Drogue ; Graines diverses,Drogues,2,2,1,0,,,0,,,1,0,,,18,,,,,,,,,,,,,,,,,
Drogue ; Huile d'amande,Drogues,4,4,1,0,Savary, volume 1, 1748 : « mais l'huile d'amende douce tirée sans feu, est employée à bien des usages différents, soit dans la Médecine, soit chez les parfumeurs […] les maux d'oreilles ».,1,1,0,Ol Almonds,0,1,,,15,,,,,,,,,,,,
Drogue ; Huile de vitriol,Drogues,5,5,1,0,Savary, volume 3, 1748 : « Espèce de sel solide ou de minéral qui se trouve dans les mines de cuivre. […] Il faut pourtant convenir que cette poudre bien composé est excellente pour guérir les plaies et arrêter le sang, pourvu que ce soit par application sur la partie blessée »,1,1,1,Ol Vitriol,1,0,,,100,,,,,,,,,,,,,,
Drogue ; Litharge,Drogues,5,5,1,0,Savary, volume 3, 1748 : OU LITARGE « La litarge artificielle est d'un grand usage soit dans la médecine soit parmi quantité d'ouvriers, comme les potiers, les teinturiers, pelletiers, peintres... » Pas de définition concrète, les auteurs ne comprennet pas trop à quoi la litharge sert,1,1,1,Litharge Of Gold, Litharge of Silver,1,0,,,5,,,,,,,,,
Drogue ; Mastic,Drogues,5,5,1,0,Savary, volume 3, 1748 :  « Espèce de gomme […] il est de quelque usage en médecine où l'on l'emploie particulièrement pour apaiser les maux de dents »,1,1,0,Mastick Red, Mastick White,0,1,,,8,,,,,,,,,,,,,,
Drogue ; médicinale,Drogue ; médicinale,5,5,1,0,???,,0,,,0,1,,,72,,,,,,,,,,,,,,,,,
Drogue ; Médicinale ; agaric,Drogues,5,5,1,0,Savary, volume 1, 1748 : Sorte de champignon. Trois sortes, l'agaric mâle (colorant), femelle et faux (pas d'utilité). A propos de l'agaric femelle : « est le plus estimé car il a beaucoup d'usage dans la médecine ». Selon Rober J James, Dictionnaire universel de la médecine,1746, c'est un purgatif très fort ou un moyen de guérir les blessures,,1,0,Agaric,0,1,,,13,,,,,,,,,,
Drogue ; Médicinale ; agaric ; gros,Drogues,5,5,1,0,Savary, volume 1, 1748 : Sorte de champignon. Trois sortes, l'agaric mâle (colorant), femelle et faux (pas d'utilité). A propos de l'agaric femelle : « est le plus estimé car il a beaucoup d'usage dans la médecine ». Selon Rober J James, Dictionnaire universel de la médecine,1746, c'est un purgatif très fort ou un moyen de guérir les blessures,,1,0,Agaric,0,1,,,12,,,,,,,,,,
Drogue ; médicinale ; aloès,Drogue ; médicinale,2,2,1,0,Savary, volume 1, 1748 : Pour soigner les hommes et les chevaux. Violent purgatif entrant dans la composition de certaines pilules.,,1,0,Lignum Aloes, Aloes Cicotrina, Aloes Epatica,0,1,,,63,,,,,,,,,,,,,
Drogue ; médicinale ; aloès ; capalin,Drogue ; médicinale,2,2,1,0,?,,1,0,Lignum Aloes, Aloes Cicotrina, Aloes Epatica,0,1,,,2,,,,,,,,,,,,,,,
Drogue ; médicinale ; assa fétide,Drogue ; médicinale,2,2,1,0,Drapiez, Dictionnaire classique des sciences naturelles, volume 1 : Sève, « L'assa Foetida est employée en médecine comme anti-spasmodique ».,,1,0,Assafoetida,0,1,,,5,,,,,,,,,,,,,,
Drogue ; médicinale ; baumes ; divers,Drogue ; médicinale,5,5,1,0,,,0,,,0,1,,,1,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; Beaume du Pérou,Drogue ; médicinale,5,5,1,0,Pierre Hubert Nysten, Isidore Bricheteau, Ossian Henry, Joseph Briand, Dictionnaire de médecin, de chirurgie, de pharmacie, des sciences accessoires et de l'art vétérinaire, 8ème édition, 1840 : «Le baume du Perou a été spécialement employé comme excitant dans les catarrhes chroniques. Il entrait autrefois dans beaucoup de préparations médicinales »,,1,0,Balsam, Peruvian,0,1,,,1,,,,,,,
Drogue ; médicinale ; Benjoin,Drogue ; médicinale,5,5,1,0,"Savary, volume 1, 1748 : « On tire du Benjoin des fleurs blanches propres pour les asthmatiques ; et une huile, qui est une espèce de baume pour les plaies. » + purgatif. Utilisé également en teinture",1,1,0,Benjamin,0,1,,,7,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; beunne,Drogue ; médicinale,2,2,1,0,?,,0,,,0,1,,,1,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; bois ; de réglisse,Drogue ; médicinale,2,2,1,0,Savary, volume 3, 1748 : ou GLICYRRHIZZA ou LIQUIRITIA ou RADIX DULCIS « Vertu douce et rafraîchissante. Il n'y a guère de racine qui soit plus connue en France. » Utilisée dans diverses remèdes,1,1,0,Succus Cassia,0,1,,,1,,,,,,,,,,,,,,,
Drogue ; médicinale ; bois ; réglisse,Drogue ; médicinale,2,2,1,0,Savary, volume 3, 1748 : ou GLICYRRHIZZA ou LIQUIRITIA ou RADIX DULCIS « Vertu douce et rafraîchissante. Il n'y a guère de racine qui soit plus connue en France. » Utilisée dans diverses remèdes,1,1,0,Succus Cassia,0,1,,,7,,,,,,,,,,,,,,,
Drogue ; médicinale ; bol d'Arménie,Drogue ; médicinale,5,5,1,0,Dapriez, Dictionnaire classique des sciences naturelles, volume 1, 1837 : Voir Ocreuse Rouge « Les bols d'Arménie et de Lemnos autrefois très employés dans la médecine, sont aussi des var. de cette substance. »,1,1,0,Bolus Communis & Armoniacus,0,1,,,2,,,,,,,,,,,,,
Drogue ; médicinale ; borax,Drogue ; médicinale,5,5,1,0,Savary, volume 1, 1748 : « Sel minéraux qui sert à souder et braser l'or et les minéraux. […] Le Borax est de quelque usage dans la Médecine où il entre dans la composition de l'onguent citrin. » Il est de deux types naturel ou raffiné.,1,1,1,Borax In Paste,1,0,,,22,,,,,,,,,,,,,,,
Drogue ; médicinale ; camomille,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : «Cette plante aussi bien que l'huile qui se fait avec de ses fleurs, sont du nombre des drogues propres à la Médecine »,,1,0,Flores Chamaemeli,0,1,,,10,,,,,,,,,,,,,,
Drogue ; médicinale ; Camphre,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : « C'est cependant seulement du Camphre ainsi purifié ou raffiné dont on se sert, soit dans la Médecine, soit dans les feux d'artifices […] fort estimé pour la guérison de la carie des os. »,,1,0,Camphor, Refined Or Not,0,1,,,27,,,,,,,,,,,,
Drogue ; médicinale ; Canéfice,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : « Ou CANEFICE ou CASSE. Drogue propre à la Médecine, qui purge doucement, & qui est communément ordonnée par les Médecins & Apothicaires de France, et surtout de Paris. ». Il existie  espèces : la Casse de Levant, d'Egypte, du Bresil et des Iles Antilles,1,1,0,Cassia Fistula,0,1,,,6,,,,,,,,,,
Drogue ; médicinale ; Cantharides,Drogue ; médicinale,5,5,1,0,Selon Robert J James, Dictionnaire universel de la médecine,1746, « Lorsque la suppression d'urine est si grande que les remèdes ordinaires ne sont d'aucun effet, le médecin doit avoir recoursaux cantharides, comme au remède le plus efficace puisque la vie du malade est en danger », est aussi utilisé dans des remèdes et pour la teinture,1,1,0,Cantharides,0,1,,,2,,,,,,,,,,,
Drogue ; médicinale ; Canyolore,Drogue ; médicinale,5,5,1,0,???,,0,,,0,1,,,2,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; Capillaire,Drogue ; médicinale,5,5,1,0,Savary, volume 2, 1748 : « Plantes qui coiffent en filets déliés & pour ainsi dire semblables, les cheveux […]. Les capillaires servent à faire des sirops auxquels on attribue de grandes propriétés »,1,1,0,Syrup Of Maidenhair,0,1,,,2,,,,,,,,,,,,,,
Drogue ; médicinale ; cardamone,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : ou CARDAMOMUM, « Plante & Graine médicinale, fort aromatique, qui entre dans la composition de la thériaque.  »,,1,1,Cardomomes,1,0,,,6,,,,,,,,,,,,
Drogue ; médicinale ; Casa lignea,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : « ou CASA-LIGNEA. On s'en sert néanmoins dans la composition de la Thériaque. »,,1,1,Cassia Lignea,1,0,,,12,,,,,,,,,,,,,,,
Drogue ; médicinale ; casse,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : « Ou CANEFICE ou CASSE. Drogue propre à la Médecine, qui purge doucement, & qui est communément ordonnée par les Médecins & Apothicaires de France, et surtout de Paris. ». Il existie  espèces : la Casse de Levant, d'Egypte, du Bresil et des Iles Antilles,1,1,0,Cassia Fistula,0,1,,,4,,,,,,,,,,
Drogue ; médicinale ; Cassia lignea,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : « ou CASA-LIGNEA. On s'en sert néanmoins dans la composition de la Thériaque. »,1,1,1,Cassia Lignea,1,0,,,43,,,,,,,,,,,,,,,
Drogue ; médicinale ; Cavefico,Drogue ; médicinale,5,5,1,0,???,,0,,,0,1,,,8,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; Cévadille,Drogue ; médicinale,2,2,1,0,www.cnrtl.fr (Centre National de Ressources Textuelles et Lexicales) : OU SABADILLA,  Plante bulbeuse originaire du Mexique dont les graines ont été utilisées comme parasiticide en raison de leur toxicité pour les animaux à sang froid. La cévadille jouit de propriétés sternutatoires (F. Foy ds Lar. 19e). La cévadille n'est plus guère utilisée maintenant (G. Planchon, E. Collin, Les Drogues simples d'orig. végétale,t. 1, 1895-96, p. 200),,0,,,0,1,,,21,,,,,,,,,,,
Drogue ; médicinale ; Chévaque,Drogue ; médicinale,5,5,1,0,???,,0,,,0,1,,,0,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; Chicolin,Drogue ; médicinale,5,5,1,0,???,,0,,,0,1,,,14,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; chimique ; Eau forte,Drogue ; médicinale,5,5,1,0,Wallis : in 1725 rate book noted as 'for Dyers Use',,1,1,Aqua Fortis,1,0,,,1,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; Coloquinte,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : « ou COLLOQUINTE. […] commerce assez considérable […] Ce fruit est assez d'usage en Médecine où il doit cependant être employé avec prudence, étant une drogue des plus purgatives, & quelquefois d'une telle force, ou d'une telle malignité, qu'elle fait venir le sang.  »,1,1,0,Coloquintinda,0,1,,,103,,,,,,,,,,,
Drogue ; médicinale ; Coque du Levant,Drogue ; médicinale,5,5,1,0,Savary, volume 2, 1748 :  « sorte de fruit […] sert à faire mourir la vermine et à endormir le poisson », C'est aussi un stimulant respiratoire utilisé comme antidote dans les cas d'empoisonnement aux barbituriques ou à la morphine.,1,0,,,1,0,,,9,,,,,,,,,,,,,,
Drogue ; médicinale ; Cordial,Drogue ; médicinale,5,5,1,0,Propre à conforter le cœur. Breuvage cordial, potion cordiale, poudre cordiale. Le vin vieux est cordial, c’est un remède cordial.,1,1,0,Water, Cordial,0,1,,,18,,,,,,,,,,,,,
Drogue ; médicinale ; crème de tartre,Drogue ; médicinale,5,5,1,0,Savary, volume 2, 1748 OU CRISTAL DE TARTRE : « C'est du Tartre préparé d'une autre manière, mais différente selon que cette drogue doit servir ou à la Médecine, ou à la teinture. »,1,1,1,Cream Of Tartar,1,0,,,23,,,,,,,,,,,,,
Drogue ; médicinale ; Creuse de Sartre,Drogue ; médicinale,5,5,1,0,???,,0,,,0,1,,,109,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; Cristal de tartre,Drogue ; médicinale,5,5,1,1,Savary, volume 2, 1748 OU CRISTAL DE TARTRE : « C'est du Tartre préparé d'une autre manière, mais différente selon que cette drogue doit servir ou à la Médecine, ou à la teinture. »,,1,1,Tartarum Vitriolatum,1,0,,,1,,,,,,,,,,,,,
Drogue ; médicinale ; cristal de tartre,Drogue ; médicinale,5,5,1,1,Savary, volume 2, 1748 OU CRISTAL DE TARTRE : « C'est du Tartre préparé d'une autre manière, mais différente selon que cette drogue doit servir ou à la Médecine, ou à la teinture. »,1,1,1,Tartarum Vitriolatum,1,0,,,2,,,,,,,,,,,,,
Drogue ; médicinale ; Cumin,Drogue ; médicinale,2,2,1,0,CARVI ou CUMIN : Savary, volume 2, 1748 : « Est d'usage dans la médecine où elle est employée avec succès dans le vertige, dans les coliques venteuses, et dans les enflures de bas ventre, que l'on nomme Hydropisie Tympanique. On l'estime encore très bonne pour rappeler la chaleur naturelles dans les chevaux, les boeufs, et autre semblables animaux domestiques. […] On tire […] une sorte d'huille estimée souveraine pour les rhumatismes pourvu qu'elle ne soit employée qu'avec précaution & en petites quantités. »,1,1,1,Cumin Seed,1,0,,,3,,,,,,,,,,
Drogue ; médicinale ; diagedum,Drogue ; médicinale,5,5,1,0,?, Cf. P.H.Wallis ,,1,0,Diagredium,0,1,,,1,,,,,,,,,,,,,,,,
Drogue ; médicinale ; Diverses,Drogue ; médicinale,5,5,1,0,,,0,,,0,1,,,28,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; eau de felzer,Drogue ; médicinale,5,5,1,0,?,,0,,,0,1,,,1,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; Eau sederale,Drogue ; médicinale,5,5,1,0,???,,0,,,0,1,,,7,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; Eau vulnéraire,Drogue ; médicinale,5,5,1,0,Savary, volume 2, 1748 :  « eau médicinale »,,0,,,0,1,,,2,,,,,,,,,,,,,,,
Drogue ; médicinale ; Gentiane,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : « Cette racine est estimée souveraine contre les poisons & même contre la peste, et se prend avec succès dans les fièvres intermittentes, ce qui lui a fait donner le nom de Quinquina d'Europe. Ekke ebtre ayssu dans la composition de la thériaque.»,1,1,0,Gentiana,0,1,,,4,,,,,,,,,,,,,
Drogue ; médicinale ; Herbe,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : « Les herbes médicinales sont celles que les Médecins & Apothicaires font entrer dans leurs remèdes. » Qualifie également le foin, les herbes potagères...,,0,,,0,1,,,3,,,,,,,,,,,,,,
Drogue ; médicinale ; Huile de Benjoin,Drogue ; médicinale,4,4,1,0,"Savary, volume 1, 1748 : « On tire du Benjoin des fleurs blanches propres pour les asthmatiques ; et une huile, qui est une espèce de baume pour les plaies. »",,1,0,Ol Ben,0,1,,,7,,,,,,,,,,,,,,,,,
Drogue ; médicinale ; Ipécacuana,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : IPECACUANHA « Racine qui vienne du Brésil, et qui est un souverain spécifique pour guérir les dysenteries. »,1,1,0,Hypocacuana,0,1,,,184,,,,,,,,,,,,,,
Drogue ; médicinale ; jalap,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : « ou SOLANUM MEXICAMON. Racine très purgative qu'on apporte des Indes Occidentales & de l'Ile de Madère. […]  On tire du Jalap […] une résine liquide qu'on estime plus que le Jalap même »,1,1,0,Jalap,0,1,,,168,,,,,,,,,,,,,,,
Drogue ; médicinale ; jalap ; racines,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : « ou SOLANUM MEXICAMON. Racine très purgative qu'on apporte des Indes Occidentales & de l'Ile de Madère. […]  On tire du Jalap […] une résine liquide qu'on estime plus que le Jalap même »,1,1,0,Jalap,0,1,,,6,,,,,,,,,,,,,,,
Drogue ; médicinale ; jalap ; résine,Drogue ; médicinale,2,2,1,0,Savary, volume 2, 1748 : « ou SOLANUM MEXICAMON. Racine très purgative qu'on apporte des Indes Occidentales & de l'Ile de Madère. […]  On tire du Jalap […] une résine liquide qu'on estime plus que le Jalap même »,1,1,0,Rezini Jallapi,0,1,,,14,,,,,,,,,,,,,,,
