marchandises	marchandises_norm_ortho		source_bdc	nbr_bdc_marchandises	nbr_bdc_marchandises_norm_ortho
2///Matières premières///Pain de navette	matières premières pain de navettes		1	1	156
2///Matières premières///Petasse, vedasses et gravelées	matières premières potasse vedasse et gravelée		1	12	33
2///Matières premières///Potasse, vedasse et gravelées	matières premières potasse vedasse et gravelée		1	8	33
2///Matières premières///Potasses, vedasses et gravelées	matières premières potasse vedasse et gravelée		1	12	33
2///Matières premières///Soie de porc et sanglier	matières premières soie de porc et sanglier		1	5	5
2///Matières premières///Soude	matières premières soudes		1	20	434
2///Matières premières///Souffre et salpetre	matières premières soufre et salpêtre		1	5	116
2///Matières premières///Soufre et Salpetre	matières premières soufre et salpêtre		1	2	116
2///Matières premières///Soufre et salpetre	matières premières soufre et salpêtre		1	6	116
2///Matières premières///Suif	matières premières suif		1	44	1000
2///Matières premières///Suif fondu et en chandelles	matières premières suif fondu et en chandelle		1	1	2
2///Matières premières///Tabacs	matières premières tabac		1	47	677
2///Subsistances///Articles réunis	subsistances articles réunis		1	7	7
2///Subsistances///Cacao	subsistances cacao		1	56	1062
2///Subsistances///Café	subsistances café		1	71	820
2///Subsistances///Chocolat	subsistances chocolat		1	8	461
2///Subsistances///Liqueurs	subsistances liqueurs		1	36	1090
2///Subsistances///Liqueurs et Sirops	subsistances liqueurs et sirop		1	3	155
2///Subsistances///Liqueurs et sirops	subsistances liqueurs et sirop		1	12	155
2///Subsistances///Provisions diverses,principalement en beurre	subsistances provisions diverses principalement en beurre		1	1	1
2///Subsistances///Sirops	subsistances sirop		1	45	188
2///Subsistances///Sucre	subsistances sucre		1	72	528
2///Subsistances///Thé	subsistances thé		1	47	915
2///Suite des matières premières///Articles réunis	suite des matières premières articles réunis		1	1	2747
3///Matières première///Alun	matières premières alun		1	11	1070
3///Matières première///Cochenille	matières premières cochenille		1	12	710
3///Matières première///Drogues réunies	matières premières drogues réunies		1	20	645
3///Matières première///Garance	matières premières garance		1	6	674
3///Matières première///Indigo	matières premières indigo		1	18	1670
3///Matières première///Rocou	matières premières rocou		1	15	948
3///Matières première///Verdet	matières premières verdet		1	18	730
3///Matières premières///Alquifoux ou mine de plomb	matières premières alquifoux ou mine de plomb		1	4	4
3///Matières premières///Alun	matières premières alun		1	23	1070
3///Matières premières///Azur	matières premières azur		1	10	433
3///Matières premières///Céruse	matières premières céruse		1	6	480
3///Matières premières///Cochenille	matières premières cochenille		1	19	710
3///Matières premières///Drogues diverses réunies	matières premières drogues diverses réunies		1	31	551
3///Matières premières///Drogues réunies	matières premières drogues réunies		1	35	645
3///Matières premières///Garance	matières premières garance		1	20	674
3///Matières premières///Indigo	matières premières indigo		1	52	1670
3///Matières premières///Noix de Galle	matières premières noix de galle		1	6	299
3///Matières premières///Noix de galle	matières premières noix de galle		1	7	299
3///Matières premières///Rocou	matières premières rocou		1	24	948
3///Matières premières///Saffranum	matières premières safranum		1	1	921
3///Matières premières///Verdet	matières premières verdet		1	22	730
3///Subsistances///Articles réunis	subsistances articles réunis		1	1	2747
3///Subsistances///Canelle	subsistances cannelle		1	45	715
3///Subsistances///Eicerie diverses	subsistances épicerie diverse		1	7	202
3///Subsistances///Epicerie	subsistances épicerie		1	29	372
3///Subsistances///Epicerie Diverses	subsistances épicerie diverse		1	5	202
3///Subsistances///Epicerie diverses	subsistances épicerie diverse		1	5	202
3///Subsistances///Giroffle	subsistances girofle		1	2	520
3///Subsistances///Girofle	subsistances girofle		1	19	520
3///Subsistances///Muscade	subsistances muscade		1	4	306
3///Subsistances///Poivre	subsistances poivre		1	40	674
3///Suite des matières premières///Alun	suite des matières premières alun		1	6	1070
3///Suite des matières premières///Azur	suite des matières premières azur		1	4	433
3///Suite des matières premières///Céruse	suite des matières premières céruse		1	2	480
3///Suite des matières premières///Cochenille	suite des matières premières cochenille		1	4	710
3///Suite des matières premières///Drogues diverses réunies	suite des matières premières drogues diverses réunies		1	15	551
3///Suite des matières premières///Garance	suite des matières premières garance		1	3	674
3///Suite des matières premières///Indigo	suite des matières premières indigo		1	6	1670
3///Suite des matières premières///Noix de galle	suite des matières premières noix de galle		1	3	299
3///Suite des matières premières///Rocou	suite des matières premières rocou		1	1	948
Abacir	abacir		1	1	1
Abafine	abafine				
abats	abats				
Abricots confits	abricots confits				
Acacia	acacia		1	2	3
acacia	acacia		1	1	3
Acacia ; germanica	acacia germanica		1	1	1
Accacia	acacia				
Accorus	acorus		1	1	1
Achia	achia		1	5	5
Acier	acier		1	784	797
acier	acier		1	10	797
Acier ; brut	acier brut		1	6	164
Acier ; en barres	acier en barres		1	3	3
Acier ; ouvré	acier ouvré		1	5	6
Acier brun	acier brun		1	1	1
Acier ouvré	acier ouvré		1	1	6
Aciers	acier		1	é	797
Acon	acons		1	1	1
Acons ; de selle	arçons de selles		1	2	3
Acons ; démontés	acons démontés		1	1	8
Acons ; en gabares ; démontés	acons en gabares démontés		1	1	1
Acons démonté	acons démontés		1	1	8
Acons demontés	acons démontés		1	3	8
Acons démontés	acons démontés		1	2	8
Acore (herbe)	acorus herbes		0	0	0
Acors demontés	acons démontés		1	1	8
Acorus	acorus		1	3	4
Acuirson	acuirson		1	1	1
Adoises	ardoises		1	1	243
Aeuf	auf		1	3	155
Affût de canon	affûts de canons		0	0	0
Affuts ; de canon	affûts de canons		1	1	4
Affuts ; de fusils	affûts de fusils		1	1	1
Affuts de canon	affûts de canons		1	1	4
Afust de fut a canon	affûts de fûts à canons		1	1	4
Agacia	acacia				
Agaric	agaric		1	51	74
agaric	agaric		0	0	0
Agaric amadouvier	agaric amadouvier		1	4	23
Agaric amadouvier, brut et préparé	agaric amadouvier brut et préparé		1	6	23
Agaric brut et préparé	agaric brut et préparé		1	6	74
agarics	agaric		1	1	74
Agarie	agaric				
Agarie amadouvier, brut et préparé	agaric amadouvier brut et préparé		1	6	23
agates fins	agate fine		0	0	0
Agathe	agate				
agats montés	agate montée		0	0	0
Agneaux	agneaux		1	51	51
agneaux et cabrits	agneaux et cabris		0	0	0
agnelines et crottelins	agnelines et crottelins		0	0	0
agourats de bois	agoutals de bois				
Agoutals	agoutals		1	1	1
Agoutals de bois	agoutals de bois		1	2	2
agoutats	agoutals				
Agrais ; de navires	agrès de navire		1	2	6
Agremens	agrément		1	1	16
Agrémens	agrément		1	3	16
Agrémens ; au quart	agrément au quart		1	1	31
Agrémens ; auquart	agrément au quart		1	1	2
Agrémens ; de fil	agrément de fil		1	2	8
Agrémens ; de fleurs	agrément de fleur		1	1	1
Agremens ; de soye	agrément de soie		1	8	47
Agrémens ; de soye	agrément de soie		1	9	47
Agremens ; de soye et d'argent	agrément de soie et d'argent		1	1	1
Agremens ; de soye et fil	agrément de soie et fil		1	1	1
Agremens ; de soye or et argent faux	agrément de soie or et argent faux		1	1	1
Agremens ; or et argent	agrément or et argent		1	1	4
Agrémens ; or et argent	agrément or et argent		1	1	4
Agrémens; d'argent	agrément d'argent		1	1	2
Agrémens; de fil	agrément de fil		1	1	8
Agremens; de soye	agrément de soie		1	4	47
Agrement ; au quart	agrément au quart		1	1	2
Agrément ; d'argent	agrément d'argent		1	1	2
Agrément ; de fil	agrément de fil		1	1	8
Agrement ; de soye	agrément de soie		1	1	47
Agrément ; de soye	agrément de soie		1	8	47
Agrement de Soye	agrément de soie		1	1	47
Agrements	agrément		1	2	16
Agréments	agrément		1	10	16
Agrements ; d'or	agrément d'or		1	1	31
Agrements ; de fil	agrément de fil		1	4	8
Agrements ; de soye	agrément de soie		1	6	47
Agréments ; de soye	agrément de soie		1	8	47
Agréments ; or et arg	agrément or et argent		1	1	4
Agrements ; or et argent	agrément or et argent		1	1	4
Agréments de soye	agrément de soie		1	2	47
Agrés ; de navire	agrés de navire		1	1	6
Agrès ; de navire	agrès de navire		1	2	6
Agrès ; de navire ; en voiles	agrès de navire en voile		1	1	1
Agrès de navires	agrès de navire		1	1	6
Agrets	agrès		1	1	2
agur commun	azur commun		1	1	1
Aiglefin	églefin		0	0	0
aigles	aigles		0	0	0
Aigre ; de cidre	aigre de cidre		1	6	6
Aigre ; de vitriol	aigre de vitriol		1	8	11
Aigre de vitriol	aigre de vitriol		1	3	11
Aigrettes	aigrettes		1	6	8
Aiguiles	aiguilles		1	1	145
Aiguille	aiguilles		1	1	145
Aiguille ; a voile	aiguilles à voile		1	2	13
Aiguille a coude	aiguilles à coudre		1	1	15
Aiguille A coudre	aiguilles à coudre		1	1	15
Aiguille a coudre	aiguilles à coudre		1	1	15
Aiguille à coudre	aiguilles à coudre		1	1	15
Aiguille A Toile	aiguilles à toile		1	1	1
Aiguiller	aiguilles		1	5	145
Aiguilles	aiguilles				
aiguilles	aiguilles		1	1	145
Aiguilles ; a coudre	aiguilles à coudre		1	1	15
Aiguilles ; à coudre	aiguilles à coudre		1	3	15
Aiguilles ; a voile	aiguilles à voile		1	1	13
Aiguilles ; à voile	aiguilles à voile		1	2	13
Aiguilles ; a voiles	aiguilles à voile		1	4	13
Aiguilles a coudre	aiguilles à coudre		1	1	15
Aiguilles à coudre	aiguilles à coudre		1	3	15
Aiguilles A coudres	aiguilles à coudre		1	1	15
Aiguilles a coudres	aiguilles à coudre		1	2	15
Aiguilles a ralingues	aiguilles à ralingue				
Aiguilles a Voile	aiguilles à voile		1	2	13
Aiguilles a voile	aiguilles à voile				
aiguilles a Voile	aiguilles à voile		1	1	13
aiguilles à voile	aiguilles à voile				
Aiguilles a voiles	aiguilles à voile				
Aiguilles a voille	aiguilles à voile				
Aiguilles ancile	aiguilles à voile				
aiguilles d'embaleur	aiguilles d'emballeur				
Aiguilles grosses	aiguilles grosses				
Aijemis	jamis				
ail blanc à casé	ails blancs à casser		1	1	1
Ailer	ailes		1	2	118
Ailes	ailes		1	1	118
ailes de fleaux	ailes de fléaux		0	0	0
Ailes de moulin	ailes de moulins		0	0	0
ailles	ailes		0	0	0
Ailor	ailor		1	2	118
Ails	ails		1	71	118
ails	ails				
Aimant	aimant				
Ains ; a pêcher	ains à pêcher		1	1	15
Ains ; à pescher	ains à pêcher		1	2	15
Ains a pecher	ains à pêcher				
ains a pecher	ains à pêcher		1	1	15
Ains à pecher	ains à pêcher		1	5	15
Ains à pêcher	ains à pêcher		1	2	15
Ains à pescher	ains à pêcher		1	4	15
Airain	airain		1	4	8
Airain ; en batterie	airain en batterie		1	2	2
Airain ; non ouvré	airain non ouvré		1	4	8
Airain ; ouvré	airain ouvré		1	14	16
Ajaimes	jamis				
Ajamier	jamis		1	2	65
Ajamir	jamis				
Ajamis	jamis		1	60	65
ajamis	jamis				
Ajamix	jamis		1	1	30
Ajustemens	ajustements		1	2	65
Ajustement	ajustements		1	3	34
Ajustement ; de femme	ajustements de femme		1	1	2
Ajustements	ajustements		1	27	34
Ajustements ; de femme	ajustements de femme		1	1	2
Akia	achia		1	1	1
Akia ; espèce de salade	achia espèce de salade		1	1	1
Alaines de cordonnier	alènes de cordonnier				
Alaisnes	alènes		1	3	34
Alambic	alambics		1	1	34
Alambics	alambics		1	5	9
Alambie ; de terre	alambics de terre		1	1	1
alatia	allaya		0	0	0
Alaya	allaya				
Albatre	albâtre		1	2	2
Albâtre et marbres ouvrés	albâtre et marbre ouvrés		1	15	29
Albâtres et marbres ouvrés	albâtre et marbre ouvrés		1	14	29
Alcanum duplicatum	arcanum duplicatum		1	1	1
Alegias	lagias		1	1	1
Alembics	alambics		1	4	9
Alennes	alènes		1	1	1
Alibania	alibanies		1	1	24
Alibanic	alibanies		1	1	24
alibanic	alibanies		1	1	24
alibanir	alibanies		1	1	24
Alibanis	alibanies		1	14	24
alibanis	alibanies		1	3	24
Alibans	alibanies		1	3	24
alin	alun				
Alkermés	alkermés		1	1	1
Allaya	allaya				
allaya	allaya				
Alleaux	alleaux		1	1	1
Alloes	aloès		1	1	95
Alloës ; commun	aloès commun		1	1	1
Allumettes	allumettes		1	4	34
allumettes	allumettes				
Allumettes ; a vin	allumettes à vin		1	2	5
Allumettes ; souffrées	allumettes soufrées		1	1	1
allumettes de coton	allumettes de coton				
Allun	alun		1	1	1070
almagro ou crayon rouge	almagro ou crayon rouge		0	0	0
Almanachs	almanachs		0	0	0
almanacs enjolivés	almanachs enjolivés		0	0	0
Alocir	alocir		0	0	0
Aloes	aloès		1	36	95
aloes	aloès				
alöes	aloès				
aloés	aloès				
Aloès	aloès		1	7	95
aloès	aloès		1	1	95
Aloës	aloès		1	49	95
Aloes ; cabalin	aloès cabalin		1	1	2
Aloes Cabalin	aloès cabalin		1	1	2
