item,group,,,afterItems,obsolete,imprimatur
arçons de bois,7,,,[Poussiere ; de tartre] [Poussière ; de tartre] [Poussiere de tartre],no,
arçons de selles,7,,,[poussiere de soude] [Poussiere de soude] [Poussiere de soudes],no,
ardoise,2,,,[Poussiere ; de raisine],no,
ardoise commune,2,,,[Poussiere ; de raisin],no,
ardoise dite chérubin et à mortier,2,,,[Poussiere de pin] [Poussière de pin],no,
ardoise dite grande voisine,2,,,[Poussière ; de mûrier],no,
ardoise dite moyenne voisine,2,,,[Poussiere ; de foin] [poussiere de foin],no,
ardoise dite petite voisine,2,,,[Poussière ; de buis],no,
ardoise dite voisine grande moyenne et petite,2,,,[Poussiere de bourde] [Poussiere de bourdes],no,
ardoise en carreaux,6k,,,[Poussiere de Barille],no,
ardoise en carreaux et d'1 pied carré,6k,,,[Poussiere ; d'encens] [Poussiere ; d'Encens] [Poussière ; d'encens] [poussiere d'encens] [Poussiere d'encens],no,
ardoise en livret,6k,,,[poussiere d'ecorce de pin],no,
ardoise encadrée,6k,,,[Pourettes de meurier],no,
ardoise encadrée et en livret,6k,,,[Poucrie ; de terre] [Poudre ; de terre],no,
ardoise non travaillée,2,,,[Poudre de mine],no,
ardoise pour fenêtre,2,,,[poudre de marbre],no,
ardoise verte,2,,,[Poudre ; d'iris],no,
ardoises,2,,,[Photasse] [Plotasse] [Potase] [Potases] [Potasse] [potaza] [potaze],no,
ardoises et ciment et chaux et pierres et plâtre et pouzzolane et sable et terre,9b,,,"[poix, terck, daguet, goudron]",no,
argent,9a,,,[Poix ; daisine] [poix ; raisine] [Poix ; raisine] [Poix ; raisins] [Poix raisin] [poix raisine] [poix Raisine] [Poix raisine] [Poix Raisine] [Poix resine] [Poix résine] [Poix; raisine],no,
argent battu,9a,,,"[Bray, goudron, etc. ; Poix noire et blanche]",no,
argent brûlé,9a,,,[Poix ; noir] [Poix ; noire] [Poix Noir] [poix noire] [Poix noire] [Poix; noire],no,
argent brut,9a,,,[Poix molle],no,
argent carragoux,9a,,,[poix grasse] [Poix grasse],no,
argent en barils,9a,,,"[Bray, Goudron, résine et poix ; Poix blanche et résine]",no,
argent en barres,9a,,,[Poix ; blanche],no,
argent en lingots,9a,,,[poix] [Poix],no,
argent en lingots par Calais,9a,,,[Poil pour doublage],no,
argent et or,9a,,,[Poil ; de vache] [Poil de vache],no,
argent et or billon,9a,,,[Poil ; de sanglier] [Poil ; de snaglier] [poil de sanglier] [Poil de sanglier] [Poil de Sanglier] [Poil; de sanglier] [Poils ; de sangliers] [Poils de sanglier],no,
argent faux,8,,,[Poil de porcs et de angliers] [Poil ; de porc et sanglier] [Poil de porc et sanglier] [Poils ; De porc et sanglier] [Soie de porc et sanglier],no,
argent faux et or faux,8,,,[Poil ; de porc] [Poil ; de porc ou de soie],no,
argent faux et or faux traits,8,,,[Poil ; de lou],no,
argent fin,9a,,,[Poil ; de lievre] [Poil ; de liévre] [Poil ; de lièvre] [poil de lievre] [Poil; de lievre],no,
argent monnayé et nogat d'or,9a,,,[Poil de lièvres et de lapins] [Poil ; de lièvre et lapin] [Poil de lièvre et lapin] [poil de lievres et lapins] [Poils ; de lièvre et lapin] [Poils ; De lievres et lapin] [Poils ; De lievres et lapins],no,
argent talari,9a,,,[Poil ; de lapin] [poil de lapin] [Poil de lapin] [Poil; de lapin] [Poils ; de lapin],no,
argent vif,5,,,[Laine en poil],no,
argenterie,8,,,[Coton en poil],no,
argenterie épée,8,,,[Poil ; de chevrolins] [Poil ; de chevrotin] [Poil ; de chevrotins] [Poil ; de chevrottin] [Poil de chevrotin] [Poil de chevrotins] [Poil; de chevrotin],no,
argenterie et bijouterie,8,,,[Poil ; de chevreau] [poil de chevreau] [Poil de chevreau],no,
argenterie et bijouterie et orfèvrerie,8,,,[Poil ; de chevre ; simple] [Poil ; de chèvre ; simple] [Poils ; De chevre ; Simple] [Poils ; De chevres ; Simple],no,
argenterie et orfévrerie,8,,,"[Poil de chèvre, de lièvre et lapin] [Poil de chèvre, lièvre et lapin] [Poil de chêvre, lièvre et lapin] [Poils de chèvre, lièvre et lapin] [1///Matières premières///Poil de chevre, lièvre et lapin] [1///Matières premières///Poil de chèvre, lièvre et lapin]",no,
argenterie et orfèvrerie,8,,,[Poil ; de chevre] [Poil ; de Chevre] [Poil ; de chèvre] [Poil ; de chevres] [poil de chevre] [Poil de chevre] [poil de chevres] [Poil de chevres] [Poil; de chevre],no,
argenterie et orfèvrerie vermeil,8,,,[Poil ; de chevaux],no,
argenterie vieille,8,,,[poil de chameau et de bievre],no,
argile et terre pour engrais,2,,,[poil de chevres et chameau],no,
aristoloche,2,,,[Poil ; de chameau] [Poil ; de Chameau] [Poil ; de chameaû] [Poil ; de chameaux] [poil de chameau] [Poil de chameau] [Poil de chameau ou de chevre] [poil de chameaux] [Poil de chameaux] [Poil; de chameau] [poils ; de chameau] [Poils ; De chameaux],no,
armement de tables,,,,[poil de castor et de élan],no,
armes,8,,,[Poil ; de castor] [Poil ; de Castor] [Poil ; de castors] [poil de castor] [Poil de castor] [Poils ; de castor],no,
armes à feu,8,,,[Poil ; de carton],no,
armes à feu de munitions,8,,,[Poil ; de bouc],no,
armes à feu de munitions fines,8,,,[Poiles ; De bœuf et vache] [Poils ; De bœufs et vaches],no,
armes à feu et artillerie,8,,,[Poil de Bœuf (c'est de la laine)],no,
armes blanches,8,,,[Poil ; de beuf] [Poil ; de bœuf] [Poil de beuf] [Poil de bœuf] [Poil; de beuf],no,
armes de guerre,8,,,[Poil ; de ?],no,
armes et artillerie artillerie en canons pierriers espingoles et mortiers,8,,,[Poil ; d'Espagne ; d'argent],no,
armes et munitions,8,,,[Poil ; blanc],no,
armes lames,8,,,[plumes pour dévidoirs],no,
armes remontrances,8,,,[Plumes ; noire] [Plumes ; noires] [Plumes; Noires],no,
armoires,8,,,[Plumes idem],no,
armoires ayant servi,8,,,[Plumes ; en ?],no,
armoires d'acajou,8,,,[Plumes ; duves] [Plumes ; duvet] [Plumes duvet],no,
armoires de bois des Indes,8,,,[Plume de soye],no,
armoires de chêne,8,,,[Plume à lin] [Plumes ; a écrire brutes] [Plumes ; a lin] [Plumes ; à lin] [Plumes A Lin] [Plumes de Lin],no,
armoires de chêne ornée,8,,,[Plumes ; de coq] [Plumes ; de coqs],no,
armoires de noyer,8,,,[Plumes d'oyseaux],no,
armoires de sapin,8,,,[Plumes ; d'oye ; à lit] [Plume ; d'oye ; à lit],no,
armoisin,6f,,,[Plume d'oye] [Plume d'oÿe] [plumes ; d'oye] [Plumes ; d'oye] [Plumes ; d'oyes] [Plumes d'oie] [Plumes d'oye] [Plumes d'oÿe] [Plumes d'oyes] [Plume ; d'oye],no,
armure de fer,8,,,[Plumes ; d'edredon] [Plumes ; D'edredon] [Plumes ; d'édredon] [Plumes d'édredon],no,
armure vieille,8,,,[Plumes d'autruche et de vautour],no,
arpois,???,,,[Plumes d'autruche et autres de parure],no,
arquebuse,8,,,[///Industrie Etrangère///Plumes d'autruche] [///Industrie étrangère///Plumes d'Autruche] [Plume ; d'autruche] [plume d'autruche] [Plumes ; d'autruche] [Plumes ; d'autruches] [plumes d'autruche] [Plumes d'autruche] [Plumes d'autruches],no,
arrosoirs,6j,,,[Plumes ; d'aiglon],no,
arrosoirs de bois,6b,,,[Plume ; d'aigledon] [Plumes ; d'aigle ; dou] [Plumes ; d'aigledon] [Plumes ; d'aigre ; dou] [Plumes; d'aigledon],no,
arrosoirs de cuivre,6j,,,[Plumes de parure brutes],no,
arrosoirs de fer-blanc,6j,,,[Plumes ; brutes],no,
arrosoirs de sapin,6b,,,[Plumes ; a volans] [Plumes ; à volans] [Plumes ; à volant] [Plumes ; a volants] [Plumes ; à volants],no,
arsenic,2,,,[Plumes ; à plumets],no,
artichauts,0a,,,[Plumes ; à Phants],no,
artichauts confits,0a,,,[Plumes ; à manchons] [Plumes; à manchons],no,
artichauts frais,0a,,,[Plues ; à lit] [Plume ; à lit] [Plume a lit] [plume à lit] [Plume à lit] [Plume à Lit] [Plumes ; a lit] [Plumes ; a Lit] [Plumes ; A lit] [Plumes ; à lit] [Plumes ; a lits] [Plumes ; A lits] [Plumes a lit] [Plumes a Lit] [plumes à lit] [Plumes à lit] [Plumes à Lit] [Plumes; à lit] [Plumes ; à lit ; communes] [Plume; De lit] [Plumes ; de lit] [Plumes de lit],no,
artichauts marinés,0a,,,[Plumes ; a cure dents] [Plumes ; à cure dents] [Plumes ; à cure-dent] [Plumes ; à curedent] [Plumes ; a curedents] [Plumes ; à curedents] [Plumes ; à curedents?] [Plumes; à curedents],no,
artichauts secs,0a,,,[///Industrie Etrangère///Plumes de toute sorte] [///Industrie étrangère///Plumes de toute sorte] [Plumes] [plumes communes] [Plumes de toute sorte] [Plumes de toutes sortes] [Plumes ; diverses] [Plumes ; Diverses],no,
artifice,8,,,[Poc salé],no,
artifice fusées etc.,8,,,[Ploc ; non filé] [Plocq ; non filé] [Ploq ; non filé],no,
artillerie,8,,,[Plocq ; de 30 pieds],no,
asa fœtida,2,,,[Ploc] [Plock] [plocq] [Plocq] [Plocs] [Ploq],no,
asperges,0a,,,[Platre moulu],no,
asperges et scorsonères,0a,,,[Platre gris],no,
asphaltum,2,,,[plâtres et pierres dito par livre],no,
assiette,9c,,,[plâtres et pierres dito],no,
assiette de Biarritz,6k,,,[platre ; en pierre],no,
assiette de bois,6b,,,[platre] [Platre] [Plâtre] [platres] [Platres],no,
assiette de faïence,6k,,,[plantes de vignes] [Plants ; de vigne] [Plants ; de vignes],no,
assiette de porcelaine,6k,,,[plantes de tabac],no,
assiette de terre,6k,,,[Plants ; de murier] [Plants ; de muriers] [Plants ; de nesuriers] [Plants de meurier],no,
assiette et plats de terre,6k,,,[Plants ; de jasmin] [Plants; de jasmin],no,
asustum,2,,,[Plants ; de jardin],no,
attaches de cuivre,6j,,,[Plants ; de citroniers] [Plants ; de citronnier] [Plants; de citronniers],no,
attelles de colliers,7,,,[Plants ; de cedra],no,
aube,8,,,[Plants ; de bois],no,
auchinoise,???,,,[Plantes d'oranges] [Plantes ; d'orangers] [plantes d'orangers] [Plants ; d'orange] [Plants ; d'orangers] [plants d'oranger] [Plants d'orangers] [Plants; d'orangers],no,
auclimes,???,,,[Plants d'oignons],no,
auf,2,,,[Plants ; d'oignons],no,
auf ouvré,2,,,[Plantes ; d'asperges] [Plants ; d'asperges] [Plants d'asperges] [Plants; d' asperges],no,
auf travaillé,2,,,[Plants ; d'arbres] [Plants d'arbres],no,
augemy,???,,,"[Plantes, herbes, racines, &c] [Plantes, herbes, racines, etc.]",no,
auges,9c,,,[plantes de romarins],no,
auges de carreaux,6k,,,[plantes d'asperges et jets de houblon],no,
augustins,???,,,"[Planches de sapin ; de Rebut de 7,5 pieds]",no,
aurcsats,???,,,[Planches ; de sapin ; de rebus] [Planches ; de Sapin ; de rebus] [Planches ; de sapin ; de rebut],no,
autel de marbre,6k,,,[Planches ; de rebut],no,
avelanèdes,5,,,[Drogues ; médécinales ; pignons d'Inde] [Drogues ; Médécinales ; Pignons d'Inde] [Pignon ; d'Inde] [Pignons ; d'inde] [Pignons d'Inde] [Pignons; d'inde],no,
avelines,0a,,,[Pierres ; serpentine],no,
avelines et noisettes sèches,0a,,,[pierres pour faire sucre] [pierres pour raffiner sucre],no,
avirons,7,,,[Pierres ; minérales],no,
avirons bruts,7,,,[Pierres ; marcassite],no,
avirons de 12 pieds,7,,,[Pierres ; maganaise] [Pierres ; maganese],no,
avirons de 18 pieds,7,,,[pierre maguisse minerale pour la fabrique de Tournai],no,
avirons de 30 pieds,7,,,[Pierres et chanvre],no,
avirons de 5 pieds,7,,,[Pierres ; de vin] [pierres de vin] [Pierres de vin],no,
avirons de 8 à 12 pieds,7,,,[Pierre ; de verre] [Pierres ; de verre] [Pierres ; De verre],no,
avirons de bois,7,,,[pierres de touche] [pierres de touches],no,
avirons polis,7,,,[Pierre ; de Suisse] [Pierres ; de suisse] [Pierres ; de Suisse] [Pierres; de Suisse],no,
avoine,0a,,,[Pierre de Saint Cast] [Pierres ; de S Tat] [Pierres ; de St Cast] [Pierres ; de St. Fas] [Pierres ; de V. Cat] [Pierres de Saint Cast] [Pierres; de St. Cast],no,
avoine en gerbes,0a,,,[Pierres ; de roche] [Pierres; de roche],no,
avoine et haricots,0a,,,[pierres de Namur],no,
avoine et orge etc.,0a,,,[Pierres ; de mine],no,
avoine mondée,0a,,,[pierre de Milan],no,
avoine moulée,0a,,,[Pierres de meule] [Pierres de meulles],no,
azur,5,,,[Pierres; de matte],no,
azur commun,5,,,[pierres de marbre],no,
azur et bleu de Prusse,5,,,[Pierre ; de Malte] [pièrre de malte] [Pierres ; de malle] [Pierres ; de malte] [Pierres ; de Malte] [Pierres ; de matte],no,
azur et cobalt,5,,,[Pienne de laine] [Pienne; de laine] [Pierre ; de laine],no,
azur fin,5,,,[Pierres ; de grison] [Pierres ; de Grison] [Pierres de grison] [Pierres; de grison],no,
azur gros,5,,,[Pierre de grès],no,
babassis,,,,[Pierres de fusils],no,
babouches,8,,,[Pierre de four] [Pierre de fous] [Pierres ; de four] [Pierres ; de fous] [pierres de four] [Pierres de four],no,
babouches de maroquin,8,,,[Pierres ; de composition],no,
bacs d'1 aime,6k,,,[Pierre ; de chaux] [Pierres ; de chaux] [Pierres; de chaux],no,
bacs de pierre,6k,,,[Pierre de bleu],no,
bacs de pierre bleue,6k,,,[Pierre ; de bidache] [Pierres ; de bidache] [Pierre de Bidache] [Pierres de Bidache],no,
bacs de pierre d'1 aime,6k,,,[pierres de Bentem],no,
bacs de pierre de 4 aimes,6k,,,[Pierres ; de bas de meule?],no,
bacs de pierre de demi d'aime,6k,,,[Pierres ; d'yacinthe],no,
bacs de pierre de moindre classe,6k,,,[Pierre ; d'emery ; en poudre],no,
bacs de pierre de trois-quart d'aime,6k,,,[Pierre ; d'emery] [Pierre ; d'Emery] [Pierre ; d'émery] [Pierres ; d'emeri] [Pierres ; d'émeri] [Pierres ; d'emeric] [Pierres ; d'emerie] [Pierres ; d'emery] [Pierres ; d'Emery] [Pierres ; D'emery] [Pierres ; d'émery] [Pierres ; d'èmery] [Pierres ; d'Emmery] [pierres d'Emery] [Pierres d'Emery] [Pierres; d'emery],no,
bacs de pierre en dessous d'1 aime,6k,,,[Pierre ; d'elan],no,
bacs de pierre en dessus d'1 aime,6k,,,[Pierres; d'alphate],no,
badiane,2,,,[Pierres ; d'arquebusad] [Pierre ; d'arquebuse],no,
badiane ou anis étoilé de la Chine,2,,,[pierre d'ardoises] [Pierres ; d'ardoise] [Pierres ; d'ardoises] [pierres d'ardoises] [pierres d'ardoizes],no,
baffetas,,,,[pierres d'architecture],no,
baffetas blanc,6g,,,[Pierre ; d'aimant] [pierre d'Aiman] [Pierre d'aimant] [Pierres ; d'aiman] [Pierres ; d'aimant] [Pierres ; d'aunan] [pierres d'aimant] [Pierres; d'aiman],no,
baffetas bleu,6g,,,[Pierres d'absinte],no,
baffetas des Indes,6g,,,[Pierre calaminaire ou calamine] [Pierres ; calamines] [Pierres ; celaremies?],no,
bagarot,???,,,[Pierres ; bleues ; brulées],no,
bagues,8,,,[Pierre ; bleue] [pierre Bleu] [Pierre bleue] [pierre Bleues] [Pierres ; bleu] [Pierres ; bleue] [Pierres ; bleüe] [Pierres ; bleues] [Pierres ; bleües] [Pierres ; bleues?] [pierres bleues] [pierres Bleues] [Pierres bleues],no,
bagues à pierres fausses,8,,,[Pierres ; blanche ; à bâtir],no,
bagues d'argent,8,,,[Pierre ; blanche] [Pierres ; blanche] [Pierres ; blanches] [Pierres; blanche],no,
bagues d'or,8,,,[Pierres ; à repasser],no,
bagues de cuivre,6j,,,[Pierre ; à rasoir] [Pierres ; a rasoir] [Pierres ; à rasoir] [Pierres ; à razoir] [Pierres ; a razoirs] [Pierres ; à razoirs] [Pierres a Razoir] [pierres à razoir] [Pierres; à razoir],no,
bagues de laiton,8,,,[pierre ponce et à polir],no,
bagues de verre,8,,,[Pierres ; à polir],no,
baguettes,9c,,,[pierres à mordre tabac],no,
baguettes à chandelle,9c,,,[pierres à mordre moutarde de 1 1/2 à 3 pieds],no,
baguettes à étoffe,6j,,,[pierres à mordre],no,
baguettes d'étain,6j,,,[Pierre à meule] [Pierres ; a meules] [Pierres ; à meules] [Pierres a meules] [Pierres à meules] [Pierrres a meulle],no,
baguettes de bois,6b,,,[Pierres à meuler],no,
baguettes de bois doré,6b,,,[Pierres ; à meubles],no,
baguettes de cuivre,6j,,,[Pierres ; A maganese],no,
baguettes de fer à fusil,8,,,[Pierres ; à huile],no,
baguettes de fusil,8,,,[Pierre ; à fusil] [Pierre ; à fusils] [pierre a Fusil] [Pierre a fusil] [Pierre à fusil] [Pierre a fusils] [Pierre à fusils] [Pierre à fuzil] [Pierres ; à fulils] [Pierres ; à fusil] [Pierres ; A fusile] [Pierres ; A fusiles] [Pierres ; a fusils] [Pierres ; A fusils] [Pierres ; à fusils] [Pierres ; à fusis] [Pierres a fusil] [Pierres à fusil] [Pierres a fusils] [pierres à fusils] [Pierres à fusils] [Pierres à fuzil] [Pierres; à fusil] [Pierres; a fusils] [Pierres; à fusils],no,
bahuts,8,,,[Pierres ; à foyer],no,
baie de laurier,2,,,[Pierres a four],no,
baignes,6e,,,[Pierre ; à filtrer ; l'eau] [Pierre ; à filtrer l'eau] [Pierres ; à filtrer ; l'eau] [Pierres ; à filtrer l'eau] [Pierres a filtrer l'eau] [Pierres; à filtrer l'eau] [Pierres ; à fittrer l'eau],no,
baignoires,8,,,[Pierre ; à filtrer] [Pierres ; a filtrer] [Pierres ; à filtrer],no,
baignoires d'acajou,8,,,[pierre à feu] [Pierres a feu],no,
baignoires de cuivre,8,,,[pierres à polir et à faux],no,
baignoires de sapin,8,,,"[Pierre ; à faulx] [Pierre ; à faux] [Pierres , à faulx] [Pierres ; A faube] [Pierres ; a faulx] [Pierres ; à faulx] [Pierres ; à faux] [pierres a faulse] [pierres a faulx] [Pierres a faulx] [pierres à faulx] [Pierres à faulx] [pierres a faune] [Pierres a faux] [pierres à faux] [pierres à saulx] [Pierres; à faulx] [Pierres; A faux]",no,
baignoires de tôle,8,,,[Pierre ; à faire chaux] [Pierres ; à f chaux] [Pierres ; à f. chaux] [Pierres ; à f.chaux] [Pierres ; à f.échaux] [Pierres ; a faire chaux] [Pierres ; à faire chaux] [Pierres ; à faire chaux?] [Pierres ; à fre chaux] [Pierres ; à faire la chaux],no,
baigots,???,,,[Pierres a evier],no,
baillarge,0a,,,[Pierre ; à distiler ; d'eau],no,
bailles,6b,,,[pierres à diquer],no,
bajutapau,6g,,,[pierre à chaux] [Pierres ; a chaux] [Pierres ; A chaux] [Pierres ; à chaux] [Pierres ; blanche ; à faire chaux] [Pierres ; blanches ; à faire chaux],no,
bajutapau commun,6g,,,[Pierres ; à calfetrer],no,
bajutapau des Indes,6g,,,[Pierre ; à broyer ; le cacao],no,
bakeliau et stockfis,???,,,[pierre à broyer couleurs et tabac],no,
balais,8,,,[pierres à broyer couleurs et moudre tabac],no,
balais coupés,8,,,[pierres à aiguiser ou siquets],no,
balais de bois,8,,,[pierres à aiguiser milanese ou fiquets],no,
balais de brandes,8,,,[pierres tendres à eguiser],no,
balais de bruyère,8,,,[Pierres ; à aiguser] [Pierres ; à affiler] [pierres à affiler] [Pierre ; à aiguiser] [Pierre ; à éguiser] [Pierre à aiguiser] [Pierre a eguiser] [pierre A Eguises] [Pierres ; à aiguiser] [Pierres ; a eguiser] [Pierres ; A eguiser] [Pierres ; A éguiser] [Pierres ; à eguiser] [Pierres ; à éguiser] [pierres à aiguiser] [Pierres à aiguiser] [Pierres a eguiser] [Pierres a Eguiser] [Pierres a éguiser] [pierres à eguiser] [Pierres à eguiser] [Pierres à Eguiser] [Pierres à éguiser] [Pierres; à éguiser],no,
balais de chanvre,8,,,[pierre à affiler Milanese ou fiquets],no,
balais de crin,8,,,[pierres à affiler de 5 à 6 pieds],no,
balais de foyer,8,,,[pierres à affiler de 3 à 4 pieds],no,
balais de jonc,8,,,[pierres à affiler de 1 à 2 1/2 pieds],no,
balais de jonc petits,8,,,[Pierres ; à],no,
balais de laine à laver les planchers,8,,,"[Ouvrages en pierre] [Ouvrages en pierres] [pierres] [Pierres] [Pierres, chaux et plâtre, etc] [Pierres ; diverse] [Pierres ; diverses] [Pierres ; Diverses] [Pierres diverses] [Pierres; Diverses] [Pierres, meules &C] [Pierres ou caillouts]",no,
balais de paille,8,,,[Penne],no,
balais de paille de riz,8,,,[Lin ; en pelotte] [Lin ; en pelottes],no,
balais de palme,8,,,[Peau ; pelleterie ; crüe] [Peaux ; pelleterie ; crue] [Peaux ; pelleterie ; crüe] [Peaux ; pelleterie ; crues] [Peaux ; pelleterie ; crües] [Peaux ; petterie ; crue] [Peaux ; petteterie ; crue] [Peaux ; sellchrie ; crue] [Peaux; pelleterie; crüe] [Pelleterie ; crue] [pelleterie ; crüe] [Pelleterie ; crüe] [Pelleterie crue] [Pelleterie Crue] [Pelleterie cruë] [Pelletrie crue] [Pelleterie ; non apprêtée] [Pelleterie ; non aprestée],no,
balais de plumes,8,,,[Pellesteries commune Cruë] [Pellestrie commune Crue] [Pelleterie ; commune ; crue] [pelleterie ; commune ; crüe] [pelleterie commune crue] [Pelleterie commune crue] [Pelleterie ; commune ; non apprêtée],no,
balais de poil,8,,,[peaux en poil de barbarie],no,
