product,orthographic_normalization,note
Drogueries ; pour peinture et teinture ; graine d'écarlatte,drogue ; pour la peinture et la teinture ; graine d'écarlate,
Drogueries ; chimique et métallique ; argent ; vif,drogue ; chimique et métallique ; argent ; vif,
Drogueries ; chimique et métallique,drogue ; chimique et métallique,
Drogueries ; médécinales ; Mane,drogue ; médicinale ; manne,
Graines ; huile d'olive,graine ; huile d'olive,
Fruits ; noisettes,fruit ; noisette,
Ouvrage ; de verre ; en rasade,ouvrage ; de verre ; en rasade,
Toile ; chanvre ; blanche,toile ; de chanvre ; blanche,
Gaze ; en crèpe,gaze ; en crêpe,
Cuivre ; en pain ; en brut,cuivre ; en pain ; en brut,
Cendre ; de fonde,cendre ; fonde,
"Canelle, giroffle, poivre, etc.","canelle, giroffle, poivre, etc.",
Drogues ; médecinales ; manne,drogue ; médicinale ; manne,
Drogues ; gomme,drogue ; gomme,
Pâtes d'Italie,pâte d'Italie,
Gaze ; de crèpes,gaze ; en crêpe,
Fer ; en balon,fer ; en ballon,
Bois ; cercles,bois ; cercle,
Poissons ; salés et marinés,poisson ; salé ; et mariné,
Poissons ; de mer ; salés,poisson ; de mer ; salé,
Pâtes d'Italie ; Vermichel,pâte ; d'Italie ; vermicelle,
Graines ; lin,graine ; de lin,
Grains ; diverses,graine ; diverse,
Bestiaux ; chèvres et boucs,bestiau ; chèvre et bouc,
Pierre ; de verre ou éclatante,pierre ; de verre ; ou éclatante,
Cordages ; d'auffe,cordage ; d'auf,
Peaux ; de chèvre ; verte,peau ; de chèvre ; verte,
Graines ; de chanvre et de trèfle,graine ; de chanvre et de trèfle,
Fleur ; d'orange,fleur ; d'oranger,
Cendre ; de barille,cendre ; barille,
Tabac ; du Brésil,tabac ; de Brésil,
Drogueries ; pour peinture et teinture ; curcuma,drogue ; pour la peinture et la teinture ; curcuma,
Drogueries ; médécinales ; salsepareille,drogue ; médicinale ; salsepareille,
Drogueries ; médécinales ; ipécacuana,drogue ; médicinale ; ipécacuanha,
Drogueries ; médécinales ; cassia lignea,drogue ; médicinale ; cassia lignea,
Drogueries ; gomme ; élastique,drogue ; gomme ; élastique,
Nacre ; en coquille,nacre ; en coquille,
Toille ; des Indes,toile ; des Indes,
Ivoire ; diverse,ivoire ; divers,
Bois ; de coco,bois ; de coco,
Tabac ; divers,tabac ; divers,
Drogues ; pour teinture et teinture ; indigo,drogue ; pour la peinture et la teinture ; indigo,
Drogues ; médécinales ; Salsepareille,drogue ; médicinale ; salsepareille,
Drogues ; médécinales ; Safran,drogue ; médicinale ; safran,
Drogues ; médécinales ; réglisse,drogue ; médicinale ; réglisse,
Drogues ; médécinales ; jus ; de réglisse,drogue ; médicinale ; jus de réglisse,
Vins ; communs,vin ; communs,
Eau ; de vie ; rectifiée,eau ; de vie ; rectifiée,
Salé et mariné ; anchois,anchois ; salé et mariné,
Poisson ; morue,poisson ; morue,
Huile ; d'olive ; importée en grande partie à Marseille,huile ; d'olive ; importée en grande partie à Marseille,
Fruits ; raisins,fruit ; raisin,
Fruits ; oranges,fruit ; orange,
Poterie ; en jarres,poterie ; jarre,
Peaux ; de chèvre ; passées,peau ; de chèvre ; passée,
Ouvrage ; de cordonnier,ouvrage ; de cordonnier,
Ouvrage ; de bois en aviron,ouvrage ; de bois ; aviron,
Ouvrage ; d'auffe,ouvrage ; d'auf,
Mouchoirs ; à la valeur,mouchoir ; à la valeur,
Pierre ; de jayes,pierre ; de jais,cnrtl.fr : JAYET ; Synon. De jais
Pelleterie ; non apprêtée,pelleterie ; non apprêtée,
Peaux ; d'agneaux ; en poil,peau ; d'agneau ; en poil,
Fer ; en barre et verges,fer ; en barre et verge,
Cendre ; fonde,cendre ; fonde,
Cendre ; à savon,cendre ; à savon,
Cendre ; bourde,cendre ; bourde,
Cendre ; barille,cendre ; barille,
Bois ; mêlée,bois ; mêlée,
Bois ; teinture et Marqueterie,bois ; de teinture et marqueterie,
Peaux ; tannées et corroyées,peau ; tannée ; et corroyée,
Morues ; salées,morue ; salée,
Poissons ; divers ; salés,poisson ; divers ; salé,
Voitures ; diverses,voitures ; diverses,
Vinaigre ; ordinaire,vinaigre ; ordinaire,
Toilles ; platille,toile ; platille,"Encyclopédie, Diderot & d'Alembert : PLATILLE, s. f. (Toilerie.) on appelle platilles, certaines especes de toiles de lin très - blanches, qui se fabriquent en plusieurs endroits de France, particulierement dans l'Anjou, & en Picardie."
Tabac ; du Brésil pris à Lisbonne par les bâtiments français négriers expédiés des ports de France pour la Côte d'or,tabac ; du Brésil ; pris à Lisbonne par les bâtiment français négrier ; expédié des port de France pour la Côte d'or,
Toilles ; des Indes ; provenant du commerce étranger,toiles ; des Indes ; provenant du commerce étranger,
Toilles ; de coton ; peintes ; nationales,toiles ; de coton ; peintes ; nationales,
Vins et autres boissons ; vin ; de liqueurs ; de différentes espèces,vins ; et autres boissons ; vin ; de liqueur ; de différentes espèces,
Vins et autres boissons ; vin ; divers ; de Bordeaux,vins ; et autres boissons ; vin ; divers ; de Bordeaux,
Vins et autres boissons ; vin ; divers,vins ; et autres boissons ; vin ; divers,
Vins et autres boissons ; cidre,vins ; et autres boissons ; cidre,
Vins et autres boissons ; bierre,vins ; et autres boissons ; bière,
Verroterie et rassade,verroterie ; et rassade,cnrtl.fr : verroterie : Ensemble de menus ouvrages de verre coloré et travaillé destinés à la décoration ou à la parure. Rassade : Perle de verre ou d'émail utilisée pour la fabrication des colliers ou des bracelets de pacotille dont on faisai
Verrerie ; de toute espèce,verrerie ; de toute espèce,
Ustencils ; divers ; pour la pêche,ustensiles ; divers ; pour la pêche,
Toilles ; à voiles,toile ; à voile,
Toilles ; Nankin ; de l'Inde,toiles ; nankin ; de l'Inde,"cnrtl.fr : Nankin : Toile de coton à tissu serré et solide, de couleur jaune clair, fabriquée originairement à Nankin, puis aux Indes et en Europe, utilisée principalement dans la confection masculine."
Toilles ; fil et coton,toile ; fil ; et coton,
Toilles ; gingas ; nationales,toile ; gingas ; nationale,"cnrtl.fr : Gingas : Toile, généralement à carreaux bleus et blancs, servant à la confection des matelas."
Toilles ; d'emballage,toile ; d'emballage,
Toilles ; à carreaux et à matelats,toile ; à carreaux ; et à matelas,
Toilles ; coutil,toile ; coutil,"cnrtl.fr : Coutil : Toile de chanvre, de lin ou de coton, d'un tissage croisé, fortement serré, propre à faire des tentes, des enveloppes de matelas, d'oreillers, etc., ou à confectionner certains vêtements."
Toilles ; de lin ; peintes et imprimées ; nationales,toiles ; de lin ; peintes ; et imprimées ; nationales,
Toiles ; peintes et indiennes ; de l'Inde,toiles ; peintes ; et indiennes ; de l'Inde,
Toiles ; peintes et indiennes ; étrangères,toiles ; peintes ; et indiennes ; étrangères,
Toiles ; peintes et indiennes ; nationales,toiles ; peintes ; et indiennes ; nationales,
Toilles ; siamoises ; fil et coton,toiles ; siamoises ; de fil ; et coton,"cnrtl.fr : Siamois : Tissu de soie ou de coton imitant la mousseline dont les ambassadeurs du Siam firent présent à Louis XIV. Les rideaux de siamoise qui garnissaient les carreaux de la soupente se fermèrent (Balzac, Œuvres div., t. 1, 1830, p"
Toilles ; de Rouen ; imitant celles de l'Inde,toiles ; de Rouen ; imitant celles de l'Inde,
Toilles ; des Indes ; provenant du commerce français,toiles ; des Indes ; provenant du commerce français,
Toilles ; de coton ; blanches ; de l'Inde,toiles ; de coton ; blanches ; de l'Inde,
Toilles ; de coton ; étrangères,toiles ; de coton ; étrangères,
Toilles ; de coton ; blanches ; nationales,toiles ; de coton ; blanches ; nationale,
Toilles ; de lin ; blanches et assorties,toiles ; de lin ; blanches ; et assorties,
"Toilles ; de lin ; écrue, grosse et ordinaire",toiles ; de lin ; écrues ; grosses ; et ordinaires,
Toilles ; blanche ; de Saint Quentin et Valenciennes,toile ; blanche ; de Saint Quentin et Valenciennes,
Toilles ; de chanvre ; diverses,toiles ; de chanvre ; diverses,
Toilles ; bazin,toile ; basin,cnrtl.fr : Basin : Étoffe croisée dont la chaîne est ordinairement de fil et la trame de coton :
Toilles ; linon,toile ; linon,
Toilles ; batiste,toile ; batiste,cnrtl.fr : Batiste : Toile fine et blanche de lin ou parfois de chanvre
Toilles ; diverses ; mêlées,toiles ; diverses ; mêlées,
Tapis ; divers,tapis ; divers,
Sacs ; de toille,sac ; de toile,
Quincailleries ; de fer,quincaillerie ; de fer,
Quincailleries ; de cuivre,quincaillerie ; de cuivre,
Quincailleries ; d'acier,quincaillerie ; d'acier,
Poudre ; à tirer (d'après les états fournis par le directeur des poudres et salpètre),poudre ; à tirer ; d'après les états fournis par le directeur des poudres et salpètre,
"Poisson ; salé ; harengs, sardines et saumon salé",poisson ; salé ; hareng ; sardine ; et saumon salé,
Poisson ; salé ; morue ; verte,poisson ; salé ; morue ; verte,
Poisson ; salé ; morue sèche et stocfich ; suivant l'état des primes,poisson ; salé ; morue séchée ; et stockfish ; suivant l'état des primes,"cnrtl.fr : STOCKFIS(C)F : Morue séchée à l'air; p. ext., poisson séché."
Plumes ; d'oye ; à lit,plume ; d'oie ; à lit,
Plomb ; en planches ; saumon et rouleau,plomb ; en planche ; en saumon ; et en rouleau,
Pierres ; à bâtir et à paver,pierre ; à bâtir ; et à paver,
Peaux et pelleterie ; de veaux ; tannées et corroyées,peau ; et pelleterie ; de veau ; tannée ; et corroyée,
Peaux et pelleterie ; de moutons ; aprpêtées et tannées,peau ; et pelleterie ; de mouton ; apprêtée ; et tannée,
Peaux et pelleterie ; de maroquins,peau ; et pelleterie ; de maroquin,
Peaux et pelleterie ; de chats,peau ; et pelleterie ; de chat,
Peaux et pelleterie ; de chamois,peau ; et pelleterie ; de chamois,
Parasols ; en soye,parasol ; de soie,
Papeterie ; registres ; en blanc,papeterie ; registre ; en blanc,
Papeterie ; papier peint et à tapisserie,papeterie ; papier peint et à tapisserie,
Papeterie ; papier commun et à enveloppes,papeterie ; papier commun et à enveloppe,
Papeterie ; papier à écrire ; toutes espèces,papeterie ; papier à écrire ; toute espèce,
"Ouvrages ; de terre ; cuite ; en carreaux, tuiles, terrailles; briques, etc.","ouvrage ; de terre ; cuite ; en carreau, tuile, terraille, brique, etc.",
Ouvrages ; fleurs ; artificielles,ouvrage ; de fleur ; artificielle,
Ouvrages ; d'horlogerie,ouvrage ; d'horlogerie,
Ouvrages ; en fer ; blanc,ouvrage ; en fer ; blanc,
Ouvrages ; de cuivre ; dorés et argentés,ouvrage ; de cuivre ; doré et argenté,
Ouvrages ; sellerie,ouvrage ; de sellerie,
Ouvrages ; souliers ; couverts ; en étoffes ; de soye ; pour femmes,ouvrage ; de soulier ; couvert ; en étoffe ; de soie ; pour femme,
Ouvrages ; souliers ; pour enfants,ouvrage ; de soulier ; pour enfant,
Ouvrages ; souliers ; pour femmes,ouvrage ; de soulier ; pour femme,
Ouvrages ; souliers ; pour hommes,ouvrage ; de soulier ; pour homme,
Ouvrages ; pantoufles,ouvrage ; de pantoufle,
Ouvrages ; bottes,ouvrage ; botte,
Outils ; divers,outil ; divers,
Mousselines ; nationales,mousseline ; nationale,
Mouchoirs ; de gaze ; divers,mouchoir ; de gaze ; divers,
Mouchoirs ; de linon,mouchoir ; de linon,
Mouchoirs ; de batiste,mouchoir ; de batiste,
Mouchoirs ; de coton ; étrangers,mouchoir ; de coton ; étranger,
Mouchoirs ; de coton ; de France,mouchoir ; de coton ; de France,
Mouchoirs ; de coton ; de l'Inde,mouchoir ; de coton ; de l'Inde,
Mèches ; à canon,mèche ; à canon,
Liqueurs et sirops ; divers,liqueur et sirop ; divers,
Lingerie ; chemises ; diverses,lingerie ; chemise ; diverse,
Liège ; en planches et bouchons,liège ; planche et bouchon,
Légumes ; de toutes espèces,légume ; divers,
Instruments ; divers ; propres aux arts libéraux,instrument ; divers ; propre aux arts libéraux,
Graines ; de toutes espèces,graine ; diverse,
Gazes ; diverses ; mêlées ; de fil ; en soye,gaze ; diverse ; mêlée ; de fil ; en soie,
"Fruits ; crus, secs et à l'eau de vie ; fruits ; à l'eau de vie",fruit ; à l'eau de vie,
"Fruits ; crus, secs et à l'eau de vie ; raisins ; secs",fruit ; sec ; raisin,
"Fruits ; crus, secs et à l'eau de vie ; prunes ; sèches",fruit ; prune ; sèche,
"Fruits ; crus, secs et à l'eau de vie ; amandes ;cassées",fruit ; amande ; cassée,
"Fruits ; crus, secs et à l'eau de vie ; amandes ; en coques",fruit ; amande ; en coque,
"Fruits ; crus, secs et à l'eau de vie ; divers",fruit ; divers,
Fil ; à coudre ; fin,fil ; à coudre ; du fin,
Etoffes ; de soye et fleuret,étoffe ; de fleuret et soie,
Etoupes ; à calfater,étoupe ; à calfeutrer,
Fers ; de fonte ; ouvré ; de différentes manières,fer ; de fonte ; ouvré ; divers,
"Fers ; en feuilles, feuillards et tôle","fer ; en feuille, feuillard et tôle",
Fers ; en barres et verges,fer ; en barre et verge,
Fayences ; diverses,faïence ; diverse,
Etoupes ; à calsater,étoupe ; à calfeutrer,
Etoffes ; mêlées ; de soye,étoffe ; mêlée ; de soie,
Etoffes ; au quart ; de soye,étoffe ; au quart de soie,
Etoffes ; de soye ; riches,étoffe ; de soie ; riche,
Etoffes ; de soye ; brodées,étoffe ; de soie ; brodée,
Etoffes ; de soye et soyeries,étoffe ; de soie,
Epiceries ; huile ; de poisson,épicerie ; huile ; de poisson,
Epiceries ; huile ; d'olives,épicerie ; huile ; d'olive,
Epiceries ; huile ; de noix,épicerie ; huile ; de noix,
Epiceries ; huile ; de lin et de graines,épicerie ; huile ; de lin et de graine,
Epiceries ; girofle,épicerie ; girofle,
Epiceries ; chocolat,épicerie ; chocolat,
Epiceries ; canelle,épicerie ; cannelle,
Epiceries ; diverses,épicerie ; diverse,
Eau ; d'odeur et essences diverses ; quintessence ; de rose,eau ; de senteur ; rose,
Eau ; d'odeur et essences diverses ; essence ; de rose,eau ; de senteur ; rose,
Eau ; d'odeur et essences diverses ; d'odeurs diverses,eau ; de senteur ; diverse,
Drogues ; de toutes espèces ; diverses ; pour la peinture et teinture,drogue ; pour la peinture et la teinture ; diverse,
Drogues ; de toutes espèces ; rhubarbe,drogue ; rhubarbe,
Drogues ; de toutes espèces ; sels ; médécinals ; divers,drogue ; sel ; médicinal ; divers,
Drogues ; de toutes espèces ; Salsepareille,drogue ; salsepareille,
Drogues ; médécinales ; mane,drogue ; médicinale ; manne,
Draps et draperie ; divers ; de laine,drap et draperie ; de laine ; diverse,
Dorures ; fines,dorure ; fine,
Dorures ; fausses,dorure ; fausse,
Dentelles ; de fil ; diverses,dentelle ; de fil ; diverse,
Cuivre ; en feuilles ; en planches,cuivre ; en feuille ; en planche,
Cuirs ; divers ; tannés,cuir ; divers ; tanné,
Crin ; aprêté et frisé,crin ; apprêté et frisé,
Cordes ; à instruments,corde ; à instrument,
Comestibles ; graisses ; diverses,comestible ; graisse ; diverse,
Comestibles ; cuisses ; d'oyes,comestible ; cuisse ; d'oye,
Comestibles ; lard ; salé,comestible ; lard ; salé,
Comestibles ; jambon,comestible ; jambon,
Comestibles ; cochon salé et petit salé,comestible ; cochon ; salé,
Comestibles ; bœuf ; salé,comestible ; bœuf ; salé,
Comestibles ; chairs ; salées ; diverses,comestible ; chair ; salée ; diverse,
Comestibles ; ris,comestible ; riz,
Comestibles ; grains ; comestibles ; divers,comestible ; grains ; divers,
Comestibles ; pâtes d'Italie et vermichel,comestible ; pâte d'Italie et vermicelle,
Comestibles ; fromages ; divers,comestible ; fromage ; divers,
Comestibles ; farines,comestible ; farine,
Comestibles ; confitures ; diverses,comestible ; confiture ; diverse,
Comestibles ; biscuit,comestible ; biscuit,
Comestibles ; beurre ; salé,comestible ; beurre ; salé,
Caves et canevelle ; de six flacons,cave ; avec 6 flacons,
Cendres ; soude et potasse,cendre ; soude et potasse,
"Braigras, goudron et résine",bray ; goudron et résine,
Bonneterie ; de fil et coton,bonneterie ; de fil et coton,
Bois ; divers ; en planches,bois ; divers ; en planche,
Bêtes ; de somme ; diverses,bête de somme ; diverse,
"Armes et artillerie ; artillerie ; en canons, pierriers, espingoles et mortiers","arme ; artillerie ; en canon, pierrier, espingole et mortier",
Armes et artillerie ; armes ; à feu,arme et artillerie ; arme ; à feu,
Armes et artillerie ; armes ; blanches,arme et artillerie ; arme ; blanche,
Agrais ; de navires,agrès ; de navire,
Acons ; en gabares ; démontés,arçon démonté ; en gabare,
Toiles ; des Indes ; Nankins,toiles ; des Indes ; nankin,"cnrtl.fr : Nankin : Toile de coton à tissu serré et solide, de couleur jaune clair, fabriquée originairement à Nankin, puis aux Indes et en Europe, utilisée principalement dans la confection masculine."
Toiles ; des Indes ; guingamps,toiles ; des Indes ; de guingan,"cnrtl.fr : Guingan : Toile de coton fine, originairement importée de l'Inde."
Toiles ; des Indes ; guinée ; bleue,toiles ; des Indes ; guinée ; bleue,
Toiles ; des Indes ; guinée ; blanche,toiles ; des Indes ; guinée ; blanche,
Toiles ; des Indes ; coton ; blanche,toiles ; des Indes ; coton ; blanche,
Toiles ; des Indes ; challe,toiles ; des Indes ; châle,cnrtl.fr : Châle : Pièce d'étoffe carrée ou triangulaire que les femmes portent sur leurs épaules en la croisant sur la poitrine
Toiles ; des Indes ; caladaris,toiles ; des Indes ; Caladaris,"Encyclopédie, Diderot & d'Alembert : CALADARIS, s. f. toile de coton rayée de rouge ou de noir, qu'on apporte des Indes orientales, sur - tout de Bengale. La piece a huit aunes de long, sur 7/8 d'une aune de large."
Toiles ; des Indes ; Bazin,toiles ; des Indes ; basin,cnrtl.fr : Basin : Étoffe croisée dont la chaîne est ordinairement de fil et la trame de coton :
Thés ; verd,thé ; vert,
Thés ; tonkay,thé ; tonkay,
Thés ; saotchaon,thé ; saotchaon,
Thés ; hayssuen,thé ; hayssuen,"Le Journal de pharmacie et des sciences accessoires de L. Colas, 1816, rapporte que le thé hayssuen est un thé vert"
