marchandises,marchandises_norm_ortho,mériteplusdetravail,imprimatur,nbr_dans_bdc
Tapisserie; de la Marche,tapisserie de la Marche,,Pierre Gervais,1
Tapisserie; de laine,tapisserie de laine,,Pierre Gervais,1
Tapisserie; de Roüen,tapisserie de Rouen,,Pierre Gervais,5
Tapisserie; de toile cirée,tapisserie de toile cirée,,Pierre Gervais,1
Tapisserie; fine ; coutil,tapisserie fine coutil,,Pierre Gervais,1
Tapisserie/papiers,tapisserie papier,,Pierre Gervais,
Tapisseries ; d'Aubusson,tapisserie d'Aubusson,,Pierre Gervais,4
Tapisseries ; d'Auvergne,tapisserie d'Auvergne,,Pierre Gervais,1
Tapisseries ; de Bruxelles et autres,tapisserie de Bruxelles et autres,,Pierre Gervais,5
Tapisseries ; de Cuir ; doré,tapisserie de cuir doré,,Pierre Gervais,4
Tapisseries ; de flandre,tapisserie de Flandre,,Pierre Gervais,1
Tapisseries ; de moquette,tapisserie de moquette,,Pierre Gervais,1
Tapisseries ; de Roüen,tapisserie de Rouen,,Pierre Gervais,3
Tapisseries ; des Gobelins,tapisserie des Gobelins,,Pierre Gervais,1
Tapisseries des Gobelins,,,,1
Tapisseries diverses,tapisserie diverse,,Pierre Gervais,11
Tapisseries filozelle et laine,tapisserie filoselle et laine,,Pierre Gervais,1
Tapisseris de toile peinte,tapisserie de toile peinte,,Pierre Gervais,1
Tappisserie d'auvergne,tapisserie d'Auvergne,,Pierre Gervais,1
Tappisserie de Rouen,tapisserie de Rouen,,Pierre Gervais,1
Tapsal,tapsel,,Pierre Gervais,1
Tapsce,tapsel,x,Pierre Gervais,1
Tapsel,tapsel,,Pierre Gervais,91
Tapsel grand,tapsel grand,,Pierre Gervais,1
Tapsel large,tapsel large,,Pierre Gervais,1
Tapsels,tapsel,,Pierre Gervais,9
Tarnatanes,tarnatanes,x,Pierre Gervais,1
Tarramerita,terramerita,x,Pierre Gervais,1
Tarta,tarta,x,Pierre Gervais,1
Tartarre,tartarre,x,Pierre Gervais,1
Tarte glan,tarte glan,,Pierre Gervais,1
Tartre,tartre,x,Pierre Gervais,368
tartre,tartre,,Pierre Gervais,8
Tartre ; emetique,tartre émétique,,Pierre Gervais,3
Tartre ; rouge,tartre rouge,,Pierre Gervais,1
Tartre ; vitriolé,tartre vitriolé,,Pierre Gervais,1
Tartre blanc,tartre blanc,,Pierre Gervais,1
Tartre de vin,tartre de vin,,Pierre Gervais,
Tartre dit lie devin,tartre dit lie de vin,,Pierre Gervais,1
Tartre et harpoix,tartre et harpoix,x,Pierre Gervais,
Tartre et lie de vin,tartre et lie de vin,,Pierre Gervais,21
Tartre et térébenthine,tartre et térébenthine,,Pierre Gervais,
Tase rouge,tase rouge,x,Pierre Gervais,1
Tases,tasses,x,Pierre Gervais,1
Tases ; de vermillon,tasses de vermillon,x,Pierre Gervais,1
Tasse ; de fayance,tassee de faïence,,Pierre Gervais,1
Tasseaux,tasseaux,,Pierre Gervais,1
Tasses,tasses,,Pierre Gervais,1
Tasses ; de vermillon,tasses de vermillon,,Pierre Gervais,1
Tasses de terre blanche,tasses de terre blanche,,Pierre Gervais,1
Tasses de vermillon,tasses de vermillon,x,Pierre Gervais,2
Tasses et soucoupes ; de fayence,tasses et soucoupes de faïence,,Pierre Gervais,1
taTabac en manoque,tabac en manoque,x,Pierre Gervais,1
Taubine,taupine,x,Pierre Gervais,1
Taupine ; soye et coton,taupine soie et coton,x,Pierre Gervais,1
Taupinnes soye et cotton,taupine soie et coton,x,Pierre Gervais,1
Taureau,taureaux,,Pierre Gervais,1
Taureaux,taureaux,,Pierre Gervais,4
Tavelle,tavelle,x,Pierre Gervais,23
tavelle,tavelle,x,Pierre Gervais,1
Tavelle ; de laine,tavelle de laine,x,Pierre Gervais,1
Tavelle fil et laine,tavelle fil et laine,x,Pierre Gervais,1
tavelles,tavelle,x,Pierre Gervais,1
Tavette,tavelle,x,Pierre Gervais,3
Tayolle,tayolles,,Pierre Gervais,13
Tayolle de coton,tayolles de coton,,Pierre Gervais,1
tayolle de coton,tayolles de coton,,Pierre Gervais,1
Tayolle de laine,tayolles de laine,,Pierre Gervais,1
tayolle de laine,tayolles de laine,,Pierre Gervais,2
tayolle de soye,tayolles de soie,,Pierre Gervais,1
Tayolles,tayolles,,Pierre Gervais,17
tayolles de soye,tayolles de soie,,Pierre Gervais,1
Tayotte,tayolles,,Pierre Gervais,1
tegers de Cuivre,tegers de cuivre,c,Pierre Gervais,1
Teinture,teinture,,Pierre Gervais,14
Teinture commune,teinture commune,,Pierre Gervais,1
Teinture préparée,,,,1
Teintures,teinture,,Pierre Gervais,11
teintures,teinture,,Pierre Gervais,1
teintures mellées,teinture mêlée,,Pierre Gervais,
Telescope,téléscope,,Pierre Gervais,4
Telescope ; de bois ; uni,téléscope de bois uni,,Pierre Gervais,1
Telescope ; en cuivre ; poli,téléscope en cuivre poli,,Pierre Gervais,1
Telescopes,téléscope,,Pierre Gervais,2
Tenaille,tenaille,,Pierre Gervais,1
Tenaille ; grossière,tenaille grossière,,Pierre Gervais,2
Tenailles,tenaille,,Pierre Gervais,2
tendeurs de voile,tendeurs de voile,,Pierre Gervais,
tendeurs pour voiles,tendeurs pour voile,,Pierre Gervais,
Tentes,tentes,,Pierre Gervais,1
tentes,tentes,,Pierre Gervais,
Tentes ; canonnières,tentes canonnières,,Pierre Gervais,1
tentes et voiles,tentes et voile,,Pierre Gervais,
tentes et voiles (en rolles ou pièces,tentes et voile en rolles ou pièces,,Pierre Gervais,
tentes et voiles (en rolles ou pièces),tentes et voile en rolles ou pièces,,Pierre Gervais,
Tepis,tapis,x,Pierre Gervais,1
Teraille,terraille,,Pierre Gervais,6
Téraille,terraille,,Pierre Gervais,1
teraille blanche,terraille blanche,,Pierre Gervais,2
teraille commune,terraille commune,,Pierre Gervais,1
teraille de gray,terraille de grès,,Pierre Gervais,8
Teraille diverse,terraille diverse,,Pierre Gervais,5
Teraille noire,terraille noire,,Pierre Gervais,1
teraille noire,terraille noire,,Pierre Gervais,2
Terbenthine,térébenthine,,Pierre Gervais,1
Terc,terc,x,Pierre Gervais,1
Tercq,terc,x,Pierre Gervais,3
Terebanthine,térébenthine,,Pierre Gervais,1
Terebantine,térébenthine,,Pierre Gervais,12
terebantine,térébenthine,,Pierre Gervais,3
Térébantine,térébenthine,,Pierre Gervais,2
Térébantine ; de venise,térébenthine de Venise,,Pierre Gervais,1
Terebenthine,térébenthine,,Pierre Gervais,160
terebenthine,térébenthine,,Pierre Gervais,1
Térebenthine,térébenthine,,Pierre Gervais,4
Térébenthine,térébenthine,,Pierre Gervais,82
Térébenthine ; compacte,térébenthine compacte,,Pierre Gervais,26
Térébenthine ; essence,térébenthine essence,,Pierre Gervais,50
Térébenthine ; liquide,térébenthine liquide,,Pierre Gervais,23
Térébenthine (huile et essence de ),térébenthine huile et essence de,,Pierre Gervais,15
Térébenthine (huile et essence de),térébenthine huile et essence de,,Pierre Gervais,16
"Térébenthine (pâte, huile et essence de)",térébenthine pâte huile et essence de,,Pierre Gervais,54
Terebenthine en pate,térébenthine en pâte,,Pierre Gervais,3
Terebenthine en pâte,térébenthine en pâte,,Pierre Gervais,1
Térébenthine en pâte,térébenthine en pâte,,Pierre Gervais,9
"Térébenthine en pâte, huile et essence",térébenthine en pâte huile et essence,,Pierre Gervais,19
Térébenthine et blanc de plomb,térébenthine et blanc de plomb,,Pierre Gervais,
Térébenthine et résine,térébenthine et résines,,Pierre Gervais,
Térébenthine et tartre,térébenthine et tartre,,Pierre Gervais,
Terebentine,térébenthine,,Pierre Gervais,18
Térébentine,térébenthine,,Pierre Gervais,3
Terebentine ; commune,térébenthine commune,,Pierre Gervais,1
Terebentine ; de venise,térébenthine de Venise,,Pierre Gervais,2
Terebentine en pate,térébenthine en pâte,,Pierre Gervais,1
Terendine,terendine,x,Pierre Gervais,1
teriac,thériaque,,Pierre Gervais,1
Teriaque,thériaque,,Pierre Gervais,5
teriaque,thériaque,,Pierre Gervais,5
Tériaque,thériaque,,Pierre Gervais,1
Teribantine d'...tain,térébenthine d' ???,,Pierre Gervais,1
Terique,thériaque,x,Pierre Gervais,1
terixe,terixe,x,Pierre Gervais,1
Termometre,thermomètre,,Pierre Gervais,2
Ternilles,ternilles,x,Pierre Gervais,1
Terra Merita,terra merita,,Pierre Gervais,1
Terra merita,terra merita,,Pierre Gervais,23
terra merita,terra merita,,Pierre Gervais,2
Terra mérita,terra merita,,Pierre Gervais,1
Terra veritas,terra merita,x,Pierre Gervais,1
Terra-merita,terra merita,,Pierre Gervais,4
Terraile ; commune,terraile commune,,Pierre Gervais,1
Terraille,terraille,,Pierre Gervais,66
Terraille ; commune,terraille commune,,Pierre Gervais,12
terraille blanche,terraille blanche,,Pierre Gervais,5
Terraille commune,terraille commune,,Pierre Gervais,1
terraille de gray,terraille de grès,,Pierre Gervais,4
Terraille noire,terraille noire,,Pierre Gervais,1
terraille noire,terraille noire,,Pierre Gervais,3
Terraille noire de genes,terraille noire de Gênes,,Pierre Gervais,1
Terraille noire de Gennes,terraille noire de Gênes,,Pierre Gervais,1
Terraille; Grise,terraille grise,,Pierre Gervais,1
Terraille; Noire,terraille noire,,Pierre Gervais,2
Terrailles,terraille,,Pierre Gervais,5
terrailles blanches,terraille blanche,,Pierre Gervais,1
Terrameria,terra merita,,Pierre Gervais,1
Terramerita,terra merita,,Pierre Gervais,8
terramerita,terra merita,,Pierre Gervais,5
Terramérita,terra merita,,Pierre Gervais,2
Terrasse,terrasse,,Pierre Gervais,1
Terre,terre,,Pierre Gervais,9
"Terre , magnanaise",terre manganèse,,Pierre Gervais,1
Terre ; ?,terre ?,,Pierre Gervais,1
Terre ; à batir,terre à bâtir,,Pierre Gervais,
Terre ; à bâtir,terre à bâtir,,Pierre Gervais,1
Terre ; a ciment,terre à ciment,,Pierre Gervais,1
Terre ; à ciment,terre à ciment,,Pierre Gervais,1
Terre ; à fayance,terre à faïence,,Pierre Gervais,1
Terre ; à foulon,terre à foulon,,Pierre Gervais,9
Terre ; à fouton,terre à foulon,,Pierre Gervais,
Terre ; à pipe,terre à pipes,,Pierre Gervais,2
Terre ; a pipes,,,,2
Terre ; à pipes,terre à pipes,,Pierre Gervais,8
Terre ; à piques,terre à pipes,x,Pierre Gervais,1
Terre ; à poterie,terre à poterie,,Pierre Gervais,1
Terre ; à potier,terre à potier,,Pierre Gervais,15
Terre ; a pottier,terre à potier,,Pierre Gervais,7
Terre ; à pottier,terre à potier,,Pierre Gervais,49
Terre ; à pottiers,terre à potier,,Pierre Gervais,2
Terre ; à potties,terre à potier,,Pierre Gervais,4
Terre ; à pouier,terre à potier,,Pierre Gervais,
Terre ; a sucre,terre à sucre,,Pierre Gervais,2
Terre ; à sucre,terre à sucre,,Pierre Gervais,4
Terre ; à Toulon,terre à foulon,,Pierre Gervais,2
Terre ; blanche,terre blanche,,Pierre Gervais,9
Terre ; d'emery,terre d'émeri,,Pierre Gervais,1
Terre ; d'hongrie,,,,1
Terre ; d'ombre,terre d'ombre,,Pierre Gervais,50
Terre ; d'orfebre,terre d'orfèvre,,Pierre Gervais,4
Terre ; de Bologne,terre de Bologne,x,Pierre Gervais,1
Terre ; de Boulogne,terre de Boulogne,x,Pierre Gervais,1
Terre ; de ciment,terre de ciment,,Pierre Gervais,6
Terre ; de Cologne,terre de Cologne,x,Pierre Gervais,4
Terre ; de cologne,terre de Cologne,x,Pierre Gervais,1
Terre ; de creuset,terre de creusets,,Pierre Gervais,2
Terre ; de fayance,terre de faïence,,Pierre Gervais,1
Terre ; de grez,terre de grès,x,Pierre Gervais,1
Terre ; de Mine,terre de mine,,Pierre Gervais,1
Terre ; de mine,terre de mine,,Pierre Gervais,1
Terre ; de monnoye,terre de monnaie,,Pierre Gervais,1
Terre ; de plomb,terre de plomb,,Pierre Gervais,7
Terre ; de porcelaine,terre de porcelaine,,Pierre Gervais,62
Terre ; de Pozolane,terre de pouzzolane,,Pierre Gervais,1
Terre ; de rocou,terre de rocou,,Pierre Gervais,5
Terre ; de Satine,terre de satine,x,Pierre Gervais,
Terre ; de satine,terre de satine,x,Pierre Gervais,1
Terre ; de Veronne,terre de Vérone,,Pierre Gervais,
Terre ; de veronne,terre de Vérone,,Pierre Gervais,2
Terre ; de verrerie,terre de verrerie,,Pierre Gervais,1
Terre ; diverse,terre diverse,,Pierre Gervais,2
Terre ; dombre,terre d'ombre,,Pierre Gervais,1
Terre ; du Limousin,terre du Limousin,,Pierre Gervais,1
Terre ; glaise,terre glaise,,Pierre Gervais,4
Terre ; grasse,terre grasse,,Pierre Gervais,12
Terre ; jaune,terre jaune,,Pierre Gervais,5
Terre ; maganaise,terre maganaise,,Pierre Gervais,3
Terre ; maganaize,terre maganaize,,Pierre Gervais,1
Terre ; noire,terre noire,,Pierre Gervais,1
Terre ; pour verrerie,terre pour verrerie,,Pierre Gervais,1
Terre ; pourie,terre pourrie,x,Pierre Gervais,3
Terre ; pozolane,terre pouzolanne,,Pierre Gervais,1
Terre ; pozolanne,terre pouzolanne,,Pierre Gervais,1
Terre ; rouge,terre rouge,,Pierre Gervais,14
Terre ; segillé,terre segillée,x,Pierre Gervais,
Terre ; segillée,terre segillée,x,Pierre Gervais,1
Terre ; seguillée,terre segillée,x,Pierre Gervais,1
Terre ; Séguillée,terre segillée,x,Pierre Gervais,1
Terre ; verte,terre verte,,Pierre Gervais,13
Terre a barils,terre à barils,,Pierre Gervais,1
Terre a faire fayence,terre à faire faïence,,Pierre Gervais,1
terre à faire pippes,terre à faire pipes,,Pierre Gervais,
Terre a fayance,terre à faïence,,Pierre Gervais,4
Terre a fayence,terre à faïence,,Pierre Gervais,2
terre à fouler,terre à fouler,,Pierre Gervais,
Terre a pipes,terre à pipes,,Pierre Gervais,1
terre à pipes,terre à pipes,,Pierre Gervais,1
Terre a pottier,,,,7
terre a pottier,,,,3
terre à pottier,terre à potier,,Pierre Gervais,
terre à pottier et à faire pipes,terre à potier et à faire pipes,,Pierre Gervais,
terre à pottier et à fouler,terre à potier et à fouler,,Pierre Gervais,
Terre à raffiner le sucre,terre à raffiner le sucre,,Pierre Gervais,1
Terre a sucre,terre à sucre,,Pierre Gervais,28
Terre à sucre,terre à sucre,,Pierre Gervais,1
Terre a teindre,terre à teindre,,Pierre Gervais,1
Terre Bentine,térébenthine,,Pierre Gervais,2
terre commune,terre commune,,Pierre Gervais,
Terre D'ombre,terre d'ombre,,Pierre Gervais,1
Terre d'Ombre,terre d'ombre,,Pierre Gervais,5
Terre d'ombre,terre d'ombre,,Pierre Gervais,9
terre d'ombre,terre d'ombre,,Pierre Gervais,3
terre d'ombre de Cologne et de Roucou,terre d'ombre de Cologne et de rocou,,Pierre Gervais,
Terre d'ombre et autres pour la peinture,terre d'ombre et autres pour la peinture,,Pierre Gervais,4
terre d'orcre,terre d'ombre,x,Pierre Gervais,1
terre de cologne,terre de Cologne,,Pierre Gervais,
Terre de fayance,terre de faïence,,Pierre Gervais,3
Terre de fayence,terre de faïence,,Pierre Gervais,1
Terre de foulon,terre de foulon,,Pierre Gervais,3
Terre de France,terre de France,,Pierre Gervais,
Terre de graide,terre de graide,x,Pierre Gervais,1
Terre de Gray,terre de grès,x,Pierre Gervais,2
Terre de gray,terre de grès,x,Pierre Gervais,1
Terre de Grez,terre de grès,x,Pierre Gervais,1
Terre de marne,terre de marne,,Pierre Gervais,6
Terre de marne et argile,terre de marne et argile,,Pierre Gervais,7
Terre de marne et autres pour engrais,terre de marne et autres pour engrais,,Pierre Gervais,10
terre de mirthe,terre de myrthe,x,Pierre Gervais,1
terre de mulardeau,terre de mulardeau,x,Pierre Gervais,
Terre de pipe,terre de pipes,,Pierre Gervais,16
Terre de pipes,terre de pipes,,Pierre Gervais,3
Terre de plomb,terre de plomb,,Pierre Gervais,1
Terre de porcelaine,terre de porcelaine,,Pierre Gervais,7
terre de porcelaine,terre de porcelaine,,Pierre Gervais,7
terre de Rome,terre de Rome,,Pierre Gervais,
terre de Rouen,terre de Rouen,,Pierre Gervais,
Terre de soufre,terre de soufre,,Pierre Gervais,
Terre de Suède,terre de Suède,,Pierre Gervais,
Terre de veronne,terre de Vérone,,Pierre Gervais,2
Terre de Verrone,terre de Vérone,,Pierre Gervais,1
terre dite souda,terre dite souda,x,Pierre Gervais,
Terre dOmbre,terre d'ombre,,Pierre Gervais,1
Terre du Faubourg Saint Antoine,terre du Faubourg Saint-Antoine,,Pierre Gervais,1
Terre du Limousin,terre du Limousin,,Pierre Gervais,1
Terre en grais,terre en grès,,Pierre Gervais,1
Terre figillée,terre segillée,x,Pierre Gervais,1
Terre grasse,terre grasse,,Pierre Gervais,1
terre houille,terre houille,,Pierre Gervais,
terre jaune,terre jaune,,Pierre Gervais,
terre jaune ou herbe à teindre,terre jaune ou herbes à teindre,,Pierre Gervais,
Terre maganese,terre manganèse,,Pierre Gervais,2
Terre maganèse,terre manganèse,,Pierre Gervais,1
Terre manganèse,terre manganèse,,Pierre Gervais,6
Terre murita,terra merita,,Pierre Gervais,1
Terre pour engrais et argile,terre pour engrais et argile,,Pierre Gervais,12
Terre pour le goldron,terre pour le goudron,,Pierre Gervais,1
terre pour verrerie,terre pour verrerie,,Pierre Gervais,
Terre pozolane,terre pouzolanne,,Pierre Gervais,2
Terre pozolanne,terre pouzolanne,,Pierre Gervais,1
Terre rouge,terre rouge,,Pierre Gervais,5
terre rouge,terre rouge,,Pierre Gervais,
terre segillée,terre segillée,,Pierre Gervais,1
terre verte,terre verte,,Pierre Gervais,
Terre verte de Veronne,terre verte de Vérone,,Pierre Gervais,1
Terre; à batir,terre à bâtir,,Pierre Gervais,3
Terre; à fouton,terre à foulon,,Pierre Gervais,1
Terre; à pipes,terre à pipes,,Pierre Gervais,1
Terre; à pottier,terre à potier,,Pierre Gervais,7
Terre; à pouier,terre à potier,,Pierre Gervais,1
Terre; à sucre,terre à sucre,,Pierre Gervais,3
Terre; Blanche,terre blanche,,Pierre Gervais,1
Terre; D'ombre,terre d'ombre,,Pierre Gervais,1
Terre; d'ombre,terre d'ombre,,Pierre Gervais,5
Terre; de porcelaine,terre de porcelaine,,Pierre Gervais,2
Terre; de Satine,terre de satine,x,Pierre Gervais,1
Terre; de Veronne,terre de Vérone,,Pierre Gervais,2
Terre; grasse,terre grasse,,Pierre Gervais,2
Terre; maganaise,terre manganèse,,Pierre Gervais,1
Terre; Pozolane,terre pouzolanne,,Pierre Gervais,2
Terre; rouge,terre rouge,,Pierre Gervais,1
Terre; segillé,terre segillée,,Pierre Gervais,1
Terre;Rouge,terre rouge,,Pierre Gervais,2
Terrementil,terrementil,x,Pierre Gervais,1
Terrerie,terrerie,,Pierre Gervais,13
Terrerie ; blanche,terrerie blanche,,Pierre Gervais,1
Terres,terre,,Pierre Gervais,8
Terres ; à pottier,terre à potier,,Pierre Gervais,2
Terres ; diverses,terre diverse,,Pierre Gervais,9
Terres ; mayaneses (?),terre manganèse,,Pierre Gervais,1
Terres ; Pozolane,terre pouzzolane,,Pierre Gervais,3
Terres a pipes,,,,1
Terres de marne et autres engrais,terre de marne et autres engrais,,Pierre Gervais,7
Terres de toutes sortes,terre de toute sorte,,Pierre Gervais,8
Terres de verrerie,terre de verrerie,,Pierre Gervais,1
Terres diverses,terre diverse,,Pierre Gervais,25
Terres et argiles propres aux engrais,terre et argile propres aux engrais,,Pierre Gervais,3
Terriers ; de fer,terriers de fer,,Pierre Gervais,1
Terriers de fer,terriers de fer,,Pierre Gervais,1
Terrine de grez,terrine de grès,,Pierre Gervais,1
Terse ; à ciment,terre à ciment,,Pierre Gervais,1
Terse ; à pipes,terre à pipes,,Pierre Gervais,1
Terse ; d'ombre,terre d'ombre,,Pierre Gervais,1
Terse ; de porcelaine,terre de porcelaine,,Pierre Gervais,3
Terse ; graisse,terre grasse,x,Pierre Gervais,1
Testes ; a perruques,têtes à perruques,,Pierre Gervais,2
Testes ; de carabé,têtes de carabé,,Pierre Gervais,1
Testes ; de geroffle,têtes de girofle,,Pierre Gervais,1
Testes ; de morue,têtes de morue,,Pierre Gervais,1
Testes ; de pavots,têtes de pavot,,Pierre Gervais,1
Testes de basin brodées,têtes de basin brodées,,Pierre Gervais,1
Testes de clous,têtes de clous,,Pierre Gervais,1
Testes de cuir en poil,têtes de cuir en poil,,Pierre Gervais,1
testes de cuir en poil,têtes de cuir en poil,,Pierre Gervais,1
Testes de morue,,,,1
Testes de sucre,têtes de sucre,,Pierre Gervais,1
Tête ; de choux,têtes de chou,,Pierre Gervais,1
Tête ; de clouds ; de geroffle,têtes de clou de girofle,,Pierre Gervais,1
Tête ; de morue ; des Isles,têtes de morue des Îles,,Pierre Gervais,1
Tete de geroffle,têtes de girofle,,Pierre Gervais,1
Tete de morue,,,,1
Tête de moruë,,,,1
Têtes ; à perruques,têtes à perruques,,Pierre Gervais,1
Tetes ; de choux,tetes de chou,,Pierre Gervais,2
tetes de cabillau,tetes de cabillaud,,Pierre Gervais,1
Tetes de cuirs en poil,têtes de cuir en poil,,Pierre Gervais,1
têtes de cuirs en poil,têtes de cuir en poil,,Pierre Gervais,1
Têtes de geroffle,têtes de girofle,,Pierre Gervais,1
Têtes de morue,têtes de morue,,Pierre Gervais,
Tétras noirs,tétras noirs,,Pierre Gervais,
Textile,textile,,Pierre Gervais,
Textile ; Gronekens,textile Gronekens,x,Pierre Gervais,
Textile ; Gronen,textile Gronen,x,Pierre Gervais,
Textile ; Stramian,textile Stramian,x,Pierre Gervais,
Textile Hondschodt,textile Hondschoote,,Pierre Gervais,
Textile très lourd,textile très lourd,x,Pierre Gervais,
Teyeres ; d'etain,théières d'étain,,Pierre Gervais,2
teyeres d'etaim,théières d'étain,,Pierre Gervais,2
The,thé,,Pierre Gervais,6
the,thé,,Pierre Gervais,2
Thé,thé,,Pierre Gervais,999
thé,thé,,Pierre Gervais,10
Thè,thè,,Pierre Gervais,2
Thé ; ?,thé ???,,Pierre Gervais,2
The ; bou,the bou,x,Pierre Gervais,1
Thé ; bou,thé bou,x,Pierre Gervais,2
Thé ; boue,thé bou,x,Pierre Gervais,
Thé ; bouy,thé bou,x,Pierre Gervais,1
Thé ; de l'Inde,thé des Indes,,Pierre Gervais,1
Thé ; par Dunkerque,thé par Dunkerque,,Pierre Gervais,1
Thé ; par Saint-Louis et Pontarlier,thé par Saint-Louis et Pontarlier,,Pierre Gervais,1
Thé ; verd,thé vert,,Pierre Gervais,1
Thé bou,thé bou,,Pierre Gervais,1
Thé Bou,,,,1
Thé Bouy,thé bou,x,Pierre Gervais,1
Thé divers,thé divers,,Pierre Gervais,1
Thé et porcelaine,thé et porcelaine,,Pierre Gervais,
Thé étranger,thé étranger,,Pierre Gervais,1
Thé étranger ; par Strasbourg,thé étranger par Strasbourg,,Pierre Gervais,1
Thé Filée,thé filé,,Pierre Gervais,1
Thé vert,thé vert,,Pierre Gervais,11
Thé vert commun,thé vert commun,,Pierre Gervais,2
Theloc,theloc,x,Pierre Gervais,1
Thepaya,thepaya,x,Pierre Gervais,1
Thépays,thepaya,x,Pierre Gervais,1
thepieres d'Etain,théières d'étain,x,Pierre Gervais,1
Therebantine,térébenthine,,Pierre Gervais,3
therebantine,térébenthine,,Pierre Gervais,2
Therebantine de Venise,térébenthine de Venise,,Pierre Gervais,1
Therebenthine,térébenthine,,Pierre Gervais,1
Thérébenthine,térébenthine,,Pierre Gervais,2
Therebentine,térébenthine,,Pierre Gervais,19
therebentine,térébenthine,,Pierre Gervais,1
ThéreBentine,térébenthine,,Pierre Gervais,1
Thérébentine,térébenthine,,Pierre Gervais,5
Thérébentine ; commune,térébenthine commune,,Pierre Gervais,1
Thérébentine ; de Venise,térébenthine de Venise,,Pierre Gervais,1
Therebentine en paste,térébenthine en pâte,,Pierre Gervais,1
Therebentine en pate,térébenthine en pâte,,Pierre Gervais,2
Thérebentine en pâte,térébenthine en pâte,,Pierre Gervais,2
Thérébentine et harpoix,térébenthine et harpoix,x,Pierre Gervais,
Therebentines,térébenthine,,Pierre Gervais,1
therebentinne,térébenthine,,Pierre Gervais,
Théreses de taffetas,térébenthine,,Pierre Gervais,1
theriac,thériaque,,Pierre Gervais,1
Theriaque,theriaque,,Pierre Gervais,34
theriaque,theriaque,,Pierre Gervais,2
Thériaque,thériaque,,Pierre Gervais,26
Theriaque de Venise,theriaque de Venise,,Pierre Gervais,1
Therinque,thériaque,,Pierre Gervais,1
Thés,thé,,Pierre Gervais,20
Thés ; bony,thé bou,x,Pierre Gervais,1
Thés ; camphon,thé camphon,x,Pierre Gervais,1
Thés ; campony,thé camphon,x,Pierre Gervais,1
Thés ; hayssuen,thé hayssuen,x,Pierre Gervais,1
Thés ; saotchaon,thé saotchaon,x,Pierre Gervais,1
Thés ; tonkay,thé tonkay,x,Pierre Gervais,1
Thés ; verd,thé vert,,Pierre Gervais,1
Thés divers,thé divers,,Pierre Gervais,2
Theyere d'étain,théières d'étain,,Pierre Gervais,1
Theyeres,théières,,Pierre Gervais,1
Theyères,théières,,Pierre Gervais,1
Theyeres ; d'etain,théières d'étain,,Pierre Gervais,1
Théyeres ; de cuivre,théières de cuivre,,Pierre Gervais,1
Theyeres ; de fer blanc,théières de fer-blanc,,Pierre Gervais,1
Theyères ; de métal,théières de métal,,Pierre Gervais,1
Theyeres d'Etain,théières d'étain,,Pierre Gervais,1
Theyeres d'etain,théières d'étain,,Pierre Gervais,1
theyeres d'Etain,théières d'étain,,Pierre Gervais,1
Theyeres de cuivre,théières de cuivre,,Pierre Gervais,1
theyeres de cuivre,théières de cuivre,,Pierre Gervais,1
Theyeres de metal,théières de métal,,Pierre Gervais,1
Theyeres de terre noire,théières de terre noire,,Pierre Gervais,1
Thome,thome,x,Pierre Gervais,1
Thon,thon,,Pierre Gervais,2
thon,thon,,Pierre Gervais,1
Thon ; à l'huile,thon à l'huile,,Pierre Gervais,1
Thon ; frais,thon frais,,Pierre Gervais,9
Thon ; mariné,thon mariné,,Pierre Gervais,126
Thon ; marinée,thon mariné,,Pierre Gervais,1
Thon ; salé,thon salé,,Pierre Gervais,37
Thon ; salés,thon salé,,Pierre Gervais,1
Thon ; thomine,thon thonine,x,Pierre Gervais,1
Thon ; thonine,thon thonine,x,Pierre Gervais,22
Thon ; tonine,thon thonine,x,Pierre Gervais,1
thon frais,thon frais,,Pierre Gervais,1
Thon mariné,thon mariné,,Pierre Gervais,22
thon mariné,thon mariné,,Pierre Gervais,2
Thon salé,thon salé,,Pierre Gervais,1
thon salé,thon salé,,Pierre Gervais,2
"Thon, mariné",thon mariné,,Pierre Gervais,6
Thon; frais,thon frais,,Pierre Gervais,1
Thon; mariné,thon mariné,,Pierre Gervais,12
Thonine,thonine,,Pierre Gervais,7
thonine,thonine,,Pierre Gervais,2
thonnine,thonine,,Pierre Gervais,1
Thuile,tuiles,,Pierre Gervais,1
Thuiles,tuiles,,Pierre Gervais,4
Thuille,tuiles,,Pierre Gervais,1
Thuilles,tuiles,,Pierre Gervais,4
Thyeres de cuivres,théières de cuivre,,Pierre Gervais,1
tiercons en Bottes,tierçons en bottes,,Pierre Gervais,1
Tiers à tonneaux,tiers à tonneaux,,Pierre Gervais,1
Tiges ; de bottes,tiges de bottes,,Pierre Gervais,1
Tilles a tonnelier,tilles à tonnelier,x,Pierre Gervais,1
Timbres,timbres,,Pierre Gervais,1
tin canarie,tin canarie,x,Pierre Gervais,1
Tiretaine,tirtaine,x,Pierre Gervais,3
Tiretaine de laine,tirtaine de laine,x,Guillaume Daudin,1
tiretaine et miselaine,tirtaine et miselaine,x,Pierre Gervais,
tiretaine et miselaine / aune,tirtaine et miselaine aune,x,Pierre Gervais,
Tirtaine,tirtaine,x,Pierre Gervais,7
Tissu,tissus,,Pierre Gervais,
